normalized_A1,normalized_A2,normalized_A3,normalized_A4,normalized_A5,normalized_A6,normalized_A7,normalized_A8,normalized_B1,normalized_B2,normalized_B3,normalized_B4,normalized_B5,normalized_B6,normalized_B7,normalized_B8,normalized_C1,normalized_C2,normalized_C3,normalized_C4,normalized_C5,normalized_C6,normalized_C7,normalized_C8,normalized_D1,normalized_D2,normalized_D3,normalized_D4,normalized_D5,normalized_D6,normalized_D7,normalized_D8,normalized_E1,normalized_E2,normalized_E3,normalized_E4,normalized_E5,normalized_E6,normalized_E7,normalized_E8,normalized_F1,normalized_F2,normalized_F3,normalized_F4,normalized_F5,normalized_F6,normalized_F7,normalized_F8,normalized_G1,normalized_G2,normalized_G3,normalized_G4,normalized_G5,normalized_G6,normalized_G7,normalized_G8,normalized_H1,normalized_H2,normalized_H3,normalized_H4,normalized_H5,normalized_H6,normalized_H7,normalized_H8,normalized_GASR0_274625
-0.0003658963781431046,-0.001227006551040133,-0.0004070021394527723,-0.00034424250373743526,-0.00011600033221259576,-0.00018985601282339726,-0.00018048089126065925,-0.0011376229305751773,0.0008796700900552956,-0.0020865501405962217,-0.0013435985793968097,1.4297546584440823e-06,0.008066980479936925,-0.002404610549468278,-0.0008853283014307323,-0.00046158699387710556,-0.0013246523783300157,-0.00012078834326401111,0.0009305089420155177,-0.0030451799553400383,0.00010437623724546263,-0.001328797024608086,-0.004860014766233989,-3.0674338947322966e-05,0.0011692418663500348,0.0026180975970897524,1.1620945002732697e-05,-0.0014443599823992237,-0.0018227769156672347,-0.0009920233193085881,-0.02627137557657022,-0.005072319667343228,0.014580386694903691,-0.0010832245401930507,-0.0007993156558331327,0.0010125255354096474,0.0007309316264019206,-0.0008144431279339948,-0.00591966738616323,-0.009883406918428483,-0.000573528591121697,-0.0020341567586579234,-0.0007266389943161311,-0.0018686010286903532,-0.0037422877248943776,-0.006948470070299195,-0.002167579570810374,-0.0011528684354803476,-0.0019710269567297933,-0.0001974618815802076,0.0012116763849021606,-0.0010159785417916956,-0.005610506671760107,0.004388186057885823,0.0010556102949068613,0.002479449285764712,-0.004669707175872451,0.0005847349156462567,0.0010623129822495692,-0.00012011386934795976,-7.702280965837804e-05,0.0020380112377320625,-0.00038651905864539593,-0.0012727957988936112,-0.03820326019896436
-0.0006492300843051746,-0.0013963475612722709,-0.00035758809226371646,-0.00031746086053707767,-0.00012192072772576612,-0.00018644366866138462,-0.0001354132913164996,-0.0010824338238627496,0.0005503246950455676,-0.0016642479015712697,-0.001373034305525711,-6.947400098655798e-06,0.0072439631308280905,-0.0023826675270024467,-0.0009262582350376691,-0.00035174240192614725,-0.001467541332748401,-0.00023288575603730433,0.0023308669697763573,-0.003254455925721156,0.00010603967051947549,-0.001134538986646949,-0.004944097783076251,-8.280147183281628e-05,0.0014539516646661088,0.0017941905079683629,0.0004200005706400667,-0.0010243490573216274,-0.001280145673254518,-0.00098102602039718,-0.021241848783398964,-0.0014872595495246665,0.01530329312863743,-0.0010569432922895583,-0.000840828774137159,0.0008499127798935469,0.0006319207502269997,-0.0009439917354536753,-0.00639889764498236,-0.009990626768377586,-0.0005500151688806465,-0.0018685371028313025,-0.0007282072786071181,-0.0015369505242814885,-0.0038114181625482635,-0.006873538544043711,-0.0019193362245752965,-0.0010952747991329614,-0.002076737518480254,-0.0003598068936844223,0.0011122411258199794,-0.0011270954098827612,-0.004794855148370081,0.003871962674353968,0.0007492360125569419,0.0011221218793930898,-0.004820787130403126,0.00035497388996375,0.0006241925342440613,-0.00012467375533520286,-0.00010365182249616467,0.0018949746494829611,-0.0004634315871171468,-0.0018565104488467155,-0.03820326019896436
-0.0008819658488723459,-0.0014271193327388687,-0.00031485151469423656,-0.0002942061677906338,-0.00012680189163982725,-0.00018412904220188597,-9.4564383334661e-05,-0.0010336581983124704,0.00022798098270260247,-0.0013103264420332161,-0.0013992982239411367,-1.396348613413867e-05,0.0065068191699646505,-0.002369592966251388,-0.0009619772968444407,-0.00025855955223264004,-0.0015833696177716128,-0.00033432710305714153,0.003579263181349157,-0.0034125506608411182,0.0001074708567292415,-0.0009567801422045719,-0.005005537635758506,-0.00012753635132334296,0.001691578690963702,0.0010327639549618794,0.0007815579641583525,-0.0006715275446804725,-0.0008392745530176882,-0.0009703094242010657,-0.017107975797672537,0.0014671122978602291,0.01591416282353375,-0.001030522834082781,-0.0008765196546635101,0.0007130005618682933,0.0005502013947515927,-0.001049878471811705,-0.006862493996940167,-0.009988255971894455,-0.0005292854958638404,-0.0017113992546682333,-0.0007266156899412568,-0.0012578324189511658,-0.003866863391279174,-0.006785370869271445,-0.0016952713441777956,-0.0010452666600426763,-0.002176359101165537,-0.0004986015109809117,0.0010302835834548052,-0.0012124189302390453,-0.004088927901293338,0.003426036789545117,0.00048587999074412025,-0.00010049873663930953,-0.004944044444661233,0.00014367220142874615,0.0002529308218768289,-0.00012929658409199796,-0.00012458384627012098,0.0017682689502986904,-0.0005128255971449391,-0.002360975060914816,-0.03820326019896436
-0.0010674645980918163,-0.0013339541589119097,-0.00027833459265058647,-0.00027423748220045674,-0.00013069928332931635,-0.00018283081651337962,-5.788445553733812e-05,-0.0009907849865747886,-8.5470674991317e-05,-0.001020091430331882,-0.001422368047890088,-1.9702014872780005e-05,0.005851541671058724,-0.0023640396516865225,-0.000992743355478054,-0.0001810818427605554,-0.0016748944705271551,-0.0004255403020829718,0.0046828692426914564,-0.0035233057244185018,0.00010866925572661223,-0.0007947297019027522,-0.00504569690910639,-0.00016541334665021168,0.0018854896115509945,0.0003311679852544547,0.0011004472292894807,-0.00038122054852063325,-0.0004922641475104683,-0.0009598478310254288,-0.013805827774903578,0.003836498240173958,0.016415409079138188,-0.00100400575432269,-0.0009067519726497775,0.0005999726944938555,0.0004844294233279367,-0.0011337655750897069,-0.007310355022700499,-0.00988570066033656,-0.0005110474170091361,-0.0015625148992007842,-0.0007220998691539471,-0.0010274071358363779,-0.003909487130267286,-0.006684776895483524,-0.0014940142318372596,-0.001002228287853013,-0.00226919501320777,-0.0006149862208191248,0.000964726360119128,-0.001273796751414591,-0.0034851993521459734,0.0030453151072762363,0.0002617186409528127,-0.0011922291838366572,-0.0050410137245463504,-4.93833608830041e-05,-5.5953537231201445e-05,-0.0001339360119548827,-0.00014022333946850374,0.001656884854808638,-0.0005371044582644924,-0.0027913317662675574,-0.03883900833588605
-0.0012090872582098955,-0.0011314843332634883,-0.000247579512038798,-0.00025731386046867755,-0.00013366836216832656,-0.0001824676746644549,-2.532379614661462e-05,-0.000953303121300042,-0.000388139906053131,-0.0007888485348170882,-0.0014422214906189001,-2.42464977394663e-05,0.0052741237078235415,-0.002364660367779603,-0.0010188142795651833,-0.00011835267147353168,-0.0017448731281425323,-0.0005069532708738,0.005648856819760351,-0.0035905626801722157,0.00010963432736521561,-0.0006475968763633988,-0.005065938187945096,-0.00019696682704473112,0.00203905109273661,-0.00031324735396964787,0.0013808224697655636,-0.00014875317288742806,-0.00023121504928658165,-0.0009496155411752305,-0.011271475870604175,0.005666600642779462,0.016809445194995165,-0.000977434641758368,-0.0009318894033341074,0.0005090129909290919,0.00043326069930782474,-0.0011973152833688605,-0.007742379302927094,-0.009692366965060817,-0.0004950087772540579,-0.0014216557214613568,-0.0007148954570813659,-0.0008418350980737843,-0.003940153098692778,-0.006572566472180963,-0.0013141941897729659,-0.0009655439522073817,-0.0023545485630289686,-0.000710101510549066,0.000914492058126104,-0.0013130765219625529,-0.0029761439225441944,0.0027247043313642916,7.292837466676971e-05,-0.0021568860837033466,-0.005113229575958389,-0.00022440600789597198,-0.0003069419254593253,-0.0001385456952602837,-0.0001509747605795697,0.0015598130776415253,-0.0005386715400116371,-0.0031527226960745836,-0.04008974040452673
-0.0013101947554737814,-0.0008343421492658099,-0.0002221284587651251,-0.00024319435929776034,-0.00013576458753128406,-0.00018295829972336808,3.167306615203813e-06,-0.0009207015351383463,-0.0006781363385007788,-0.0006119034238392107,-0.0014588362653742415,-2.768044615919507e-05,0.0047705583539714436,-0.0023701078990019386,-0.0010404479377328357,-6.941543633531833e-05,-0.0017960628277453594,-0.0005789939271896305,0.006484397578514267,-0.0036181630918210583,0.00011036553149734729,-0.0005145908762085316,-0.005067624057099818,-0.00022273116173832097,0.002155629800828507,-0.0009031320155261646,0.0016268377893180475,3.054947817449083e-05,-4.822785090008441e-05,-0.000939586854955432,-0.009440991240286967,0.007003121871039353,0.017098684470649994,-0.000950852085139231,-0.0009522956219544243,0.00043830526433352723,0.0003953510860434939,-0.001242189834730234,-0.008158465418283911,-0.009417661017424916,-0.000480877421536241,-0.0012885934064823523,-0.0007052380945590242,-0.0006972767287999337,-0.003959725015736271,-0.0064495494488647775,-0.0011544405202039698,-0.0009345979227488588,-0.0024317230590510386,-0.0007850878675201844,0.0008785032797886672,-0.0013321058904371963,-0.00255423603410454,0.0024591111656258047,-8.431439662981433e-05,-0.002998286057743882,-0.005162226604797482,-0.0003816089505348508,-0.0005045157251868382,-0.00014307929034462763,-0.00015724256809157566,0.0014760443334262963,-0.0005199302119226479,-0.003450289981505872,-0.041344611852810575
-0.0013741480161302277,-0.00045715990039096877,-0.00020152361873559954,-0.00023163803538972516,-0.00013704341879261506,-0.00018422137475848643,2.7638564526366594e-05,-0.0008924691607398172,-0.0009535696003513117,-0.0004845617657479595,-0.0014721900854028913,-3.0087371556741793e-05,0.00433683868321566,-0.0023790350298252827,-0.0010579021986077963,-3.3313535309664744e-05,-0.0018312208064633628,-0.0006420901887894681,0.007196663184910523,-0.003609948523083606,0.00011086232797619111,-0.00039492091206028146,-0.00505211710139597,-0.00024324071996240093,0.002238592402135531,-0.001441135952230943,0.0018426472916788228,0.00016136230061980505,6.459685509541124e-05,-0.0009297360726714388,-0.00825044503946415,0.007891764290316461,0.0172855402056471,-0.0009243006732148062,-0.0009683343037485415,0.0003860333278666861,0.00036935644688695923,-0.0012700514672555618,-0.00855851194943491,-0.009070988948785552,-0.00046836119479298777,-0.0011630996392960613,-0.0006933634224227658,-0.0005898924511518189,-0.003969066600577498,-0.006316535675036095,-0.0010133825253498818,-0.0009087744691212984,-0.002500021809696218,-0.0008410857790823734,0.0008556826274195295,-0.001332732505391454,-0.002211950108442884,0.0022434423138770754,-0.00021383326145285597,-0.0037202457274624345,-0.00518953941696354,-0.0005212053997245558,-0.0006531563187925915,-0.0001474904535443411,-0.00015943122049277836,0.0014045693367914502,-0.0004832838435328002,-0.0036891757537308445,-0.04259948330109453
-0.0014043079664260993,-1.4569880111059419e-05,-0.00018530717785647521,-0.0002224039454469251,-0.00013756031532641266,-0.0001861755828383993,4.813968936412394e-05,-0.0008680949307550145,-0.0012125493196223358,-0.00040212922889348857,-0.0014822606639514069,-3.155078535688194e-05,0.003968957769268311,-0.0023900945447211663,-0.0010714349308169613,-9.090366360209323e-06,-0.0018531043014238247,-0.0006966699734327619,0.007792825304906881,-0.003569760537678879,0.00011112417665404273,-0.0002877961945403351,-0.0050207799056588565,-0.00025902987094816865,0.0022913055629654178,-0.0019299091168997196,0.002032405080580002,0.0002483601904035293,0.00011515847614629315,-0.0009200374946277678,-0.007635908423648585,0.008378230265973396,0.01737242569953157,-0.0008978229947343985,-0.0009803691239543832,0.000350380994687427,0.0003539326451906799,-0.001282562419025579,-0.008942417477043718,-0.008661756890500416,-0.0004571679419621555,-0.0010449461049348852,-0.0006795070815082127,-0.0005158426882660994,-0.003969041572397192,-0.006174335000195819,-0.0008896495074298683,-0.0008874578609678885,-0.0025587481233861897,-0.0008792357325851929,0.0008449527033322912,-0.0013168040153791472,-0.0019417605671755434,0.0020726044799352916,-0.00031945180831849385,-0.004326581714363731,-0.005196702618356253,-0.0006434085663894473,-0.0007573450886562139,-0.00015173284119607278,-0.00015794517627143456,0.001344378802366597,-0.00043113580437847965,-0.003874522143919479,-0.04272204932272761
-0.00140403553260815,0.0004787956181018238,-0.000173021322034006,-0.00021525114617182428,-0.00013737073650710308,-0.00018873960703147397,6.472039290716936e-05,-0.000847067777833943,-0.0014531851243312355,-0.0003599114816256188,-0.0014890257142666785,-3.2154198984613025e-05,0.003662908685842625,-0.0024019392281613428,-0.0010813040029870047,4.210672549298522e-06,-0.0018644705497545822,-0.0007431611988790721,0.008280055604460879,-0.003501440699325453,0.00011115053738408598,-0.00019242593427082344,-0.004974975054713671,-0.0002706329839273769,0.002317135949626792,-0.0023721014623480086,0.0022002652597528094,0.0002962180434804562,0.00011135641969839405,-0.0009104654211298246,-0.0075334525483523596,0.008508222163372992,0.017361754251848716,-0.0008714616384476459,-0.000988763757809874,0.00032953207795549666,0.00034773554430644893,-0.0012813849281222423,-0.009310080581774405,-0.008199370973926423,-0.00044700550798104643,-0.0009339044884310033,-0.0006639047126514308,-0.00047128786327954586,-0.003960513650375641,-0.006023757273844965,-0.0007818707686632065,-0.0008700323679320388,-0.0026072053085429703,-0.0009006782153784254,0.0008452361098394423,-0.0012861680689540966,-0.001736141831918725,0.0019415043676167532,-0.0004049936257425335,-0.004821110639951942,-0.005185250814875753,-0.0007484316614542186,-0.0008215634171567787,-0.00015576010963602727,-0.00015318889391569002,0.0012944634447802361,-0.00036588946399518374,-0.004011471283241419,-0.04228014530568691
-0.0013766916409234664,0.0010083043007753645,-0.00016420823717400168,-0.00020993869426655376,-0.0001365301417092235,-0.00019183213040585567,7.743038693264204e-05,-0.0008288766346272736,-0.001673586642495506,-0.0003532141922943932,-0.0014924629495949304,-3.198112386493257e-05,0.0034146845066513887,-0.002413221864617121,-0.0010877672837448227,7.546183454998356e-06,-0.0018680767885830285,-0.0007819917828875145,0.008665525749530278,-0.0034088305717421274,0.00011094087001906061,-0.00010801934187354423,-0.004916065133385716,-0.0002785844281311123,0.002319450228428055,-0.0027703629413918796,0.0023503819329298015,0.0003096107558060446,6.109009319832381e-05,-0.0009009941524824594,-0.007879148569088112,0.008327442347877856,0.017255939162142964,-0.0008452591931035203,-0.0009938818805529381,0.0003216703908304197,0.00034942100758628136,-0.0012681812326263975,-0.00966139984429093,-0.007693237330420821,-0.00043758173778751797,-0.0008297464748168171,-0.000646791956687709,-0.00045238839932892905,-0.00394434655369269,-0.00586561234548455,-0.0006886756112692849,-0.0008558822596572702,-0.0026446966735886868,-0.000906553714812186,0.0008554554492541389,-0.0012426723146701235,-0.0015875683242885241,0.0018450486807384259,-0.0004742823022412246,-0.005207649125731462,-0.00515671861242184,-0.0008364878958435629,-0.0008502926866733596,-0.0001595259152006312,-0.00014556683191413455,0.0012538139786613112,-0.0002899481919191871,-0.004105165302866309,-0.04185271229065102
