normalized_A1,normalized_A2,normalized_A3,normalized_A4,normalized_A5,normalized_A6,normalized_A7,normalized_A8,normalized_B1,normalized_B2,normalized_B3,normalized_B4,normalized_B5,normalized_B6,normalized_B7,normalized_B8,normalized_C1,normalized_C2,normalized_C3,normalized_C4,normalized_C5,normalized_C6,normalized_C7,normalized_C8,normalized_D1,normalized_D2,normalized_D3,normalized_D4,normalized_D5,normalized_D6,normalized_D7,normalized_D8,normalized_E1,normalized_E2,normalized_E3,normalized_E4,normalized_E5,normalized_E6,normalized_E7,normalized_E8,normalized_F1,normalized_F2,normalized_F3,normalized_F4,normalized_F5,normalized_F6,normalized_F7,normalized_F8,normalized_G1,normalized_G2,normalized_G3,normalized_G4,normalized_G5,normalized_G6,normalized_G7,normalized_G8,normalized_H1,normalized_H2,normalized_H3,normalized_H4,normalized_H5,normalized_H6,normalized_H7,normalized_H8,normalized_GASR0_274625
-0.001094772390271559,0.0011760938555807066,-0.00038092896026697964,-0.0002178765370007829,-7.66582012128314e-05,-8.248255411891225e-05,-0.00019011991666684214,-0.0005312539679290795,-0.0004926986412925327,-0.0011316261511358228,-0.0016792509266886357,3.99667206538723e-05,0.0029893607453272963,0.0005809469925392996,-0.0008684478354469283,-0.00012352717988173278,-0.00036978771988604997,-0.0004510120855309996,-0.004854000315058227,-0.002602574960413717,-4.3724606682005174e-05,0.0008414559276186395,-0.005396874226941573,-0.0001878982783198868,0.0016472649666907646,-0.008177994190208593,-0.0008798709104783642,-0.0003001775654868366,0.001710333295354971,-0.0012255914464216477,0.008369210745829303,0.010571523204153443,0.01355958039640015,-0.0010526995162993824,-0.00015718575303547144,0.0009317661919281406,0.00021593984615386752,-0.000571911986075313,0.01383134904839145,0.00270803333811398,-0.0005887018546274492,-0.0018374923728848858,-0.0008705401508228849,0.0009711425369713922,-0.003062701187389494,-0.007361669991881592,-0.000693421372105929,-0.0009162764755811237,-0.004596006972061417,-0.0011533890638394384,-0.0009203104299594367,-0.001507220953957833,-0.0007975966715995098,-0.007092737442202401,-0.001901067934211298,0.016041409838743803,-0.005416503604981915,-0.0013458874586094183,-0.00145275914725429,-0.00035364852816222037,-0.00023344860274476797,0.0014632111746188947,8.39769647185129e-05,-9.702189157001495e-05,-0.03559302589015734
-0.0012216438503127591,0.0009525475926481786,-0.0003890667606488707,-0.0002329013332756924,-7.636566610369488e-05,-0.00010814885410959096,-0.00029898207552436773,-0.0006205963536474179,-0.0010600808220198044,-0.0012451791511292054,-0.001769624467654718,3.245144342312045e-05,0.003094544644878683,0.0006163507613135,-0.0008779639160043651,-0.0001342117446458957,-0.00046385373813273567,-0.0004679480127183222,-0.004961090016211922,-0.002583012956897668,-4.6927139280339425e-05,0.0006985383097728448,-0.005506033433179902,-0.0001923723783555653,0.0013057002223217928,-0.007538452806586271,-0.0005709650593334059,-0.0005807625766252045,0.0015376079775466511,-0.0012388793832349698,0.006768254479535996,0.009293474095899645,0.011174711950534322,-0.0010566204875216423,-6.931539250365493e-05,0.0009643783311945597,0.0002490189138657506,-0.0006353679103390242,0.014423344885859946,0.0018746848594510812,-0.0005860588672127465,-0.0019311571480459255,-0.0008330449995730405,0.001085864841287254,-0.0030535076830819907,-0.007452427120569705,-0.0006728906100293974,-0.000935875151598764,-0.004069800415400615,-0.001036971774419082,-0.0008233531326381494,-0.001348303261794137,-0.0008049204257195575,-0.005985123340962573,-0.002072973641061293,0.015502399356210672,-0.0054357840805764335,-0.001362902154622203,-0.001182578536906509,-0.0003184610461662851,-0.00023796850974133754,0.0014178345216733224,-2.4403695975450113e-05,0.0002476839802987296,-0.036951326799306905
-0.001325609623685109,0.0007670017063445833,-0.00039688118810121686,-0.0002459408723052281,-7.647948268285631e-05,-0.0001290787389566228,-0.0003855167217958755,-0.0006960206603937591,-0.0015092203783972913,-0.001359480851400252,-0.0018441663678930853,2.5078055024163604e-05,0.0031460430395326977,0.0006322574020145577,-0.0008886570217837564,-0.00014406461469407272,-0.0005522069525081275,-0.00048075896454824463,-0.004991768872949831,-0.0025676662394751304,-4.932472315610781e-05,0.0005730072829555066,-0.005592056485338004,-0.0001965007782976924,0.0010198563144478978,-0.007017675569124804,-0.00033715009664092577,-0.0008132281394866991,0.0014131675169222202,-0.0012488333577730382,0.005390986947196197,0.008308985682105474,0.009107511368067867,-0.0010569510524658376,6.693820716607846e-06,0.0009886595165231604,0.00027312671428458835,-0.0006831414541301761,0.01496363880099194,0.0011592014719923327,-0.0005799205449404932,-0.002002371879931908,-0.0007994626175853448,0.0011830337651559386,-0.003018112287803465,-0.007506995426480589,-0.000634652652587886,-0.000949910486611194,-0.0036136027639912527,-0.0009288309916930526,-0.0007327601604164569,-0.001206958722706153,-0.0007959723266678376,-0.005014771539118779,-0.0022134515782561426,0.015062015963029696,-0.005449445408049036,-0.00137248860912631,-0.0009750490587622229,-0.00028387985256339565,-0.00023990893227754384,0.001382153162153399,-0.0001142034529523217,0.0005164567646371854,-0.03828283884067252
-0.001407986984660714,0.0006166182242324236,-0.00040437862896702814,-0.0002571084251715705,-7.696977594962018e-05,-0.0001456132140971178,-0.0004513202074284406,-0.0007584612611852837,-0.0018490886296025355,-0.0014732786479754179,-0.0019038494089539393,1.7862036994387154e-05,0.003149497241363264,0.0006324758536759845,-0.0009003468960525618,-0.0001531373756291643,-0.0006346442892668502,-0.0004896271425910426,-0.004952594046138237,-0.0025557651759967603,-5.098797965297219e-05,0.00046392724626476145,-0.005656180816722034,-0.00020019604817356207,0.0007847586792635308,-0.00660669595722696,-0.0001698730581316532,-0.0010011469205124524,0.0013321540705646395,-0.0012555087745366178,0.004224888575326435,0.007591160671353903,0.00733668773305296,-0.0010539450970697972,7.170276737888948e-05,0.0010053523788724483,0.0002891537860225668,-0.0007163223847611588,0.015454383052334597,0.0005552376482340637,-0.0005706832857248489,-0.0020530390847807167,-0.0007694928901308407,0.0012633092332299256,-0.0029594430824748663,-0.007527516862080308,-0.0005807200493432862,-0.0009587979949901015,-0.003222919525405432,-0.0008287647052613867,-0.0006485518056331685,-0.001082135983807575,-0.0007728956293472367,-0.00417473194670126,-0.002324530019441662,0.014712131314617238,-0.005457341782409086,-0.0013749802679782208,-0.0008247247867403384,-0.0002500293443832291,-0.00023945755275933678,0.0013542017335301804,-0.00018664323464245847,0.0007155973975969676,-0.03964113974982231
-0.0014700932075119022,0.0004985591738746464,-0.0004115654695897586,-0.00026651726295701117,-7.780667090329096e-05,-0.0001580932849688521,-0.0004979888843695823,-0.0008088525290398385,-0.002088656894813301,-0.0015853199368804916,-0.0019496463723871482,1.0818870872064679e-05,0.00311054856244386,0.000620815055331736,-0.0009128532820782409,-0.0001614816130534047,-0.0007109626746627518,-0.0004947347484173248,-0.00485012269664431,-0.002546540134312658,-5.198753011415036e-05,0.00037036259879852373,-0.005699643860638037,-0.00020337075801002413,0.000595432752962699,-0.006296547450296064,-6.058097953620667e-05,-0.001148091586143929,0.0012897097955577586,-0.0012589610380264737,0.0032574397904434615,0.007113101772227681,0.005840950129542444,-0.0010478565072721269,0.00012657232823731768,0.0010151995492009291,0.00029799066769164995,-0.0007360004695436961,0.015897729898435076,5.644786067238172e-05,-0.0005587434874797514,-0.0020850612788299028,-0.000742835702480682,0.0013273511701621388,-0.0028804281480173666,-0.007516133379835144,-0.000513105349857379,-0.0009629531911070632,-0.0028932562072149226,-0.0007365709047240099,-0.0005707483606278707,-0.0009727836922122091,-0.0007378335886604193,-0.0034580544737392582,-0.0024082372382643324,0.014444617066388998,-0.0054593273986661695,-0.0013707105770345285,-0.0007261597947593179,-0.00021703391865501853,-0.00023680205359222217,0.0013320148732749448,-0.000242943969476217,0.0008514068153302468,-0.04002878848892222
-0.0015132455665112232,0.0004099865828335325,-0.00041844809631275126,-0.00027428065674350854,-7.896029254328418e-05,-0.0001668599570087137,-0.0005271191045664869,-0.0008481288369743822,-0.002236896493207019,-0.0016943521141422613,-0.0019825300397430246,3.964038194803621e-06,0.003034838314847965,0.0006010839460146578,-0.0009259959231283643,-0.00016914891256936126,-0.0007809590349502349,-0.000496263983597367,-0.004690911985334778,-0.0025392214822733683,-5.239399588330418e-05,0.0002913777396547079,-0.005723683050391948,-0.00020593747783437255,0.0004469039717396317,-0.006078263527735106,-7.208965850935556e-07,-0.0012576348028223716,0.0012809768489849827,-0.001259245552743149,0.002476121019063804,0.006847911693309339,0.004599007641588715,-0.0010389391690109884,0.0001721633840456871,0.0010189436584673306,0.00030052789790380174,-0.0007432654757897339,0.01629583159784076,-0.0003435134181957178,-0.0005444975481193604,-0.002100340978317239,-0.0007191909399059115,0.0013758195006046137,-0.0027839955653521375,-0.0074749869322113804,-0.00043382110369205584,-0.0009627915893342109,-0.0026201183169920483,-0.0006520475796807368,-0.0004993701177398169,-0.0008778504950343047,-0.0006929294595101609,-0.0028577890302625697,-0.002466601508370414,0.014251344873761784,-0.00545525645182976,-0.0013600129821517148,-0.0006739081567378458,-0.00018501797240833007,-0.00023213011718181686,0.0013136272188594145,-0.0002843265858835098,0.0009301859539885271,-0.03981579395292989
-0.0015387613359305607,0.0003480624786722508,-0.00042503289547923817,-0.00028051187761335417,-8.040076586912637e-05,-0.00017225423565458975,-0.0005403072199662295,-0.0008772245580069837,-0.0023027787439613423,-0.001799122575786738,-0.0020034731925717697,-2.686979499122444e-06,0.0029280078106495022,0.0005770914647587055,-0.0009395945624706137,-0.00017619085977949034,-0.0008444302963834804,-0.000494397049702,-0.004481519073076146,-0.0025330395877288803,-5.227799830376245e-05,0.00022603706793167255,-0.0057295358192896995,-0.00020780877767367922,0.00033419777178855803,-0.0059428776689472995,1.8260154990734634e-05,-0.0013333492369889122,0.0013010973879297172,-0.0012564177231875195,0.0018684126877039908,0.0067686931431818476,0.003589569353244171,-0.0010274469682244325,0.00020933681555779238,0.0010173273376299363,0.00029765601527076413,-0.000739207170811329,0.01665084040909881,-0.0006509917158742384,-0.0005283418655577243,-0.002100780699480609,-0.0006982584876780162,0.00140937414920983,-0.002673073415400351,-0.0074062194716749685,-0.0003448798604092085,-0.0009587287040430104,-0.0023990113623083564,-0.0005749927197319371,-0.00043443736930814936,-0.0007962850393874454,-0.0006403264967990152,-0.002366985526300658,-0.002501651103405944,0.014124186392151072,-0.0054449831369092205,-0.0013432209291863728,-0.0006625239465947175,-0.0001541059026726188,-0.0002256294259337377,0.0012970734077546453,-0.0003120120122945824,0.0009582357497233129,-0.03959779707307598
-0.0015479577900423536,0.0003099488889533042,-0.0004313262534323403,-0.0002853241966486175,-8.2098215880122e-05,-0.0001746171263432572,-0.0005391495825163295,-0.0008970740651547127,-0.002295274966254035,-0.0018983787178402656,-0.002013448612423585,-9.118700671550961e-06,0.002795698361921728,0.0005526465505969469,-0.0009534689433723376,-0.0001826590402864703,-0.0009011733852166692,-0.0004893161483011665,-0.004228501120735362,-0.0025272248185297386,-5.1710158718965005e-05,0.00017340498272733207,-0.005718439600637448,-0.00020889722755490503,0.0002523395893034852,-0.005881423353335635,4.915139460992535e-06,-0.0013788075550850154,0.0013452135694751455,-0.0012505329538600174,0.0014217952228805508,0.006848548830427514,0.002791344348561209,-0.001013633790850954,0.00023895350352742817,0.001011093217647696,0.0002902655584047231,-0.0007249153219205384,0.016964908590756167,-0.0008723325598664067,-0.0005106728377090031,-0.0020882829585576745,-0.0006797382310677058,0.0014286750406309334,-0.002550589779082957,-0.007311972950692303,-0.00024829416957061756,-0.0009511800496053713,-0.00222544085073606,-0.0005052043144773144,-0.00037597040767223255,-0.000727035972385659,-0.0005821679554300907,-0.001978693871883097,-0.0025154142970174043,0.014055013276973671,-0.005428361648914248,-0.0013206678639949843,-0.0006865612382483954,-0.0001244221064774509,-0.00021748766225349048,0.0012803880774321375,-0.0003272211771397915,0.0009418571386865526,-0.0393883239238807
-0.0015421522031188184,0.0002928078412394175,-0.00043733455651540076,-0.00028883088493159015,-8.402276757590865e-05,-0.00017428963451260326,-0.000525242544163862,-0.0009086117314353048,-0.0022233564792626392,-0.001990867936329188,-0.002013429080848228,-1.531564378498551e-05,0.002643551280738121,0.0005315581425633376,-0.0009674388091009956,-0.00018860503969242437,-0.0009509852277039821,-0.0004812034809655863,-0.0039384152891792645,-0.0025210075425264877,-5.0761098472462685e-05,0.00013254588313982296,-0.005691631827741017,-0.00020911539750545494,0.00019635486047886452,-0.005884934060303437,-3.220297890527135e-05,-0.001397582423551813,0.001408467550705117,-0.0012416466492616296,0.0011237490511097903,0.007060581463629534,0.0021830417115926704,-0.0009977535228283818,0.00026187432870861116,0.0010009839294791156,0.00027924706591786475,-0.000701479696429419,0.017240188401360657,-0.001013881477675782,-0.0004918868624871342,-0.0020647502717859867,-0.0006633300553464672,0.0014343820995201817,-0.0024194727373212377,-0.007194389321729555,-0.00014607658073828578,-0.0009405611403929814,-0.0020949122898471506,-0.0004424803535169053,-0.0003239895251712088,-0.0006690519411428619,-0.0005205970903056079,-0.001685963977039906,-0.002509919362850832,0.014035697183645945,-0.0054052461828543175,-0.0012926872324343641,-0.000740574105617342,-9.609098085205936e-05,-0.00020789250854713615,0.001261605865362947,-0.00033117500884927153,0.0008873510570301946,-0.03917075487606769
-0.001522661849432283,0.00029380136309309357,-0.0004430641910716515,-0.00029114521354434153,-8.614454595567977e-05,-0.0001716127655996269,-0.0005001824568561242,-0.000912771929866163,-0.002095994602164586,-0.0020753376272798496,-0.002004387379396455,-2.1262327300930473e-05,0.002477207879172161,0.0005176351796909451,-0.0009813239029243803,-0.00019408044360036403,-0.0009936627500998219,-0.00047024124926564603,-0.00361781873927447,-0.002513618127569228,-4.9501438907584294e-05,0.00010252416826728172,-0.005650349933906562,-0.00020837585755240084,0.0001612690215084811,-0.005944443269253696,-8.454123583856443e-05,-0.001393246508830659,0.001486001488702593,-0.001229814213892677,0.0009617545989089038,0.007377893751370657,0.0017433705263905086,-0.0009800600500954326,0.0002789601718546919,0.0009877421040827006,0.0002654910764217089,-0.0006699900616496945,0.017478832099458996,-0.0010819839968060352,-0.0004723803378062774,-0.002032085155403429,-0.0006487338457852321,0.0014271552505298324,-0.0022826503710364765,-0.007055610537252788,-4.023964347399378e-05,-0.0009272874907776396,-0.002002931187213508,-0.0003866188264506354,-0.0002785150141444426,-0.0006212815927728599,-0.00045775715632889735,-0.0014818457518002148,-0.002487194574552709,0.014058109767583149,-0.005375490933738791,-0.0012596124803608832,-0.0008191166226205748,-6.923692282601035e-05,-0.0001970316472200695,0.001238761409019018,-0.00032509443585337916,0.000801018440905521,-0.03895881346509855
