component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_813024,FLW0_813024,ANLT0_813024,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.02182006835935,1031.492919921875,5.6230010986328125,5992.525390625,6425.4091796875,4523.6181640625,7835.58740234375,6992.6494140625,975.323486328125,17253.9921875,722.6360473632812,683.16064453125,578.2298583984375,690.1075439453125,579.9222412109375,827.0206909179688,337.5827941894531,3107.106201171875,1451.56201171875,479.1995544433594,64096.2109375,46455.98828125,15351.6484375,14393.078125,483.5020446777344,148.0771026611328,387.2580871582031,296.3851318359375,118.45660400390624,141.91180419921875,139.1768341064453,171.42481994628906,342.095947265625,301.2740173339844,315.4598693847656,279.7180480957031,1494.75634765625,1148.6011962890625,440.9899597167969,544.9288940429688,371.5826721191406,757.3690795898438,14375.7841796875,14783.3505859375,442.8159484863281,1154.5206298828125,458.8598327636719,196.82041931152344,50806.86328125,49863.1015625,52730.66796875,56408.453125,229.25999450683597,556.8948364257812,408.1487731933594,273.1635131835937,18636.95703125,17281.30859375,14592.3046875,16490.509765625,8066.11083984375,8503.4296875,8615.318359375,7622.7255859375,9191,27.68498039245605,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.436765670776367,21.18246459960937,1010.5507202148438,197993.953125,4.463423728942871,0,10463011,True,BME690,23762,0,0,0,10458681,24484,0,24.03482818603516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:52.261,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1594.0,22450161.0,22.63,15.49,1400.0,1397.44,21470046.0,300.0,302.54,000000000DFEC3B8,0.0,0.05,22160332.0,-0.01,3700.0,3698.73,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.02061462402344,1032.3538818359375,5.645595550537109,5992.2666015625,6425.5595703125,4522.75439453125,7835.572265625,6992.5986328125,974.888427734375,17133.134765625,721.8680419921875,682.9014282226562,578.0059204101562,690.1696166992188,580.3817138671875,827.0588989257812,337.6351928710937,3085.295166015625,1456.1064453125,478.9779968261719,64100.62890625,46456.78515625,15352.0791015625,14393.2041015625,483.2649230957031,148.0903778076172,387.7580871582031,296.5544738769531,118.4317626953125,141.90968322753906,139.20108032226562,171.3875274658203,342.07958984375,301.252685546875,315.4028625488281,279.6796569824219,1494.704833984375,1148.5255126953125,441.015869140625,544.878662109375,371.4662170410156,757.1923217773438,14368.041015625,14776.865234375,442.67181396484375,1157.738525390625,458.8481140136719,196.8751678466797,50808.74609375,49861.5859375,52732.82421875,56408.98828125,229.25440979003903,556.6013793945312,408.0811767578125,273.1276550292969,18636.376953125,17280.970703125,14592.4111328125,16490.630859375,8065.6923828125,8502.5654296875,8615.984375,7622.7841796875,9492,27.604394912719727,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.436765670776367,21.1702823638916,1010.5523681640624,197278.734375,4.460856914520264,0,10463451,True,BME690,23763,0,0,0,10458681,24484,0,24.03482818603516,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:52.563,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1594.0,22450161.0,22.63,15.49,1400.0,1397.44,21470046.0,300.0,302.54,000000000DFEC3B8,0.0,0.05,22160332.0,-0.01,3700.0,3698.73,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.03842163085935,1032.4879150390625,5.636811256408691,5992.56494140625,6425.52197265625,4523.29931640625,7835.7626953125,6992.93798828125,975.4268798828124,17191.986328125,722.4227294921875,681.90380859375,578.0486450195312,689.0794067382812,579.8657836914062,827.2860717773438,337.6635437011719,3117.1259765625,1454.5927734375,479.0204162597656,64103.375,46457.453125,15351.236328125,14393.560546875,482.8312377929688,148.07366943359375,387.4302978515625,296.5873107910156,118.4519500732422,141.964599609375,139.20169067382812,171.3819122314453,342.10223388671875,301.2566223144531,315.4453125,279.6668701171875,1494.7244873046875,1148.5155029296875,441.02734375,544.9173583984375,371.3589477539063,758.76220703125,14367.552734375,14784.8310546875,443.1850891113281,1154.9739990234375,458.5314025878906,196.7981109619141,50808.046875,49865.453125,52732.42578125,56406.58203125,229.23129272460935,556.4943237304688,407.9570617675781,273.2958068847656,18639.02734375,17281.32421875,14592.3603515625,16490.4609375,8066.06005859375,8502.44140625,8615.748046875,7622.99658203125,9793,27.604394912719727,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.436765670776367,21.1702823638916,1010.5523681640624,197278.734375,4.460856914520264,0,10463451,True,BME690,23763,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:52.870,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1594.11,22450161.0,22.63,15.49,1400.0,1397.55,21470046.0,300.0,302.44,000000000DFEC3B8,0.0,0.05,22160332.0,-0.01,3700.0,3698.73,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.0549468994141,1031.5064697265625,5.62806510925293,5992.134765625,6425.67236328125,4522.15625,7835.55908203125,6992.79052734375,973.9857788085938,17323.037109375,721.7069091796875,682.24169921875,578.4097900390625,689.3294067382812,579.9339599609375,827.3142700195312,337.6240539550781,3111.653076171875,1457.5091552734375,478.8866271972656,64103.5625,46455.56640625,15351.4775390625,14393.35546875,483.2713317871094,148.0677032470703,387.5376586914063,296.4118957519531,118.50285339355467,141.9368438720703,139.2492218017578,171.3805389404297,342.0922546386719,301.2767944335937,315.443359375,279.71099853515625,1494.7998046875,1148.62158203125,441.0105285644531,544.9239501953125,371.3539733886719,757.8133544921875,14368.9990234375,14786.2197265625,443.4145202636719,1155.4898681640625,458.3642578125,196.82565307617188,50807.36328125,49861.19140625,52727.17578125,56405.89453125,229.2056121826172,556.9447021484375,408.07659912109375,273.1400756835937,18637.115234375,17281.443359375,14593.6396484375,16490.69140625,8065.95263671875,8502.5380859375,8615.583984375,7623.12841796875,10094,27.68498039245605,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.436433792114254,21.176389694213867,1010.55322265625,196745.71875,4.462058544158936,0,10463891,True,BME690,23764,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:53.165,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1594.83,22450161.0,22.63,15.47,1400.0,1398.35,21470046.0,300.0,301.7,000000000DFEC3B8,0.0,0.06,22160332.0,-0.01,3700.0,3698.73,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.0200958251953,1030.5,5.621657848358154,5992.1259765625,6425.818359375,4523.85791015625,7835.4580078125,6993.22412109375,974.8569946289062,17213.099609375,722.4678344726562,682.55859375,578.2799072265625,690.36474609375,579.982666015625,826.979736328125,337.7710266113281,3091.865966796875,1451.544921875,479.2493896484375,64099.109375,46454.94140625,15351.3486328125,14392.4208984375,482.5787353515625,148.0696563720703,387.3374633789063,296.4454345703125,118.46817016601562,141.92759704589844,139.16961669921875,171.40480041503906,342.06671142578125,301.2625732421875,315.43951416015625,279.712646484375,1494.65234375,1148.477294921875,441.0260620117188,544.9005737304688,371.4383544921875,758.49169921875,14363.3349609375,14786.6083984375,443.1703186035156,1154.6439208984375,459.12738037109375,196.9267120361328,50809.71875,49860.5390625,52722.484375,56405.84375,229.2497711181641,556.626220703125,408.1334228515625,273.05718994140625,18640.833984375,17280.32421875,14593.5400390625,16492.111328125,8066.06787109375,8501.5458984375,8615.6259765625,7623.154296875,10395,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.43610000610352,21.17640495300293,1010.5540771484376,197635.703125,4.461977481842041,0,10464331,True,BME690,23765,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:53.464,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1595.57,22450161.0,22.63,15.46,1400.0,1399.15,21470046.0,300.0,300.95,000000000DFEC3B8,0.0,0.06,22160332.0,-0.01,3700.0,3698.73,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.06321716308597,1031.0355224609375,5.638068675994873,5992.61279296875,6425.81103515625,4523.78173828125,7835.3837890625,6992.87451171875,973.7848510742188,17180.1015625,721.7139892578125,682.3960571289062,578.2828979492188,688.4950561523438,580.0350952148438,827.2247314453125,337.7970275878906,3084.663818359375,1448.9669189453125,479.3695983886719,64108.109375,46455.51171875,15352.2392578125,14392.7119140625,482.718505859375,148.07846069335938,387.28363037109375,296.3376770019531,118.47728729248048,141.91688537597656,139.24685668945312,171.41445922851562,342.0909729003906,301.2693786621094,315.45318603515625,279.671875,1494.5113525390625,1148.539306640625,441.0256958007813,544.86572265625,371.4620056152344,758.98974609375,14378.7646484375,14786.2724609375,443.1818542480469,1154.7467041015625,458.6400451660156,196.71514892578125,50810.33203125,49862.234375,52725.20703125,56406.6171875,229.20591735839844,556.8846435546875,408.4642333984375,272.98028564453125,18640.52734375,17280.599609375,14592.6318359375,16490.787109375,8065.953125,8503.169921875,8615.54296875,7622.865234375,10696,27.68498039245605,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.43610000610352,21.17640495300293,1010.5540771484376,197635.703125,4.461977481842041,0,10464331,True,BME690,23765,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:53.767,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.32,22450161.0,22.63,15.44,1400.0,1399.97,21470046.0,300.0,300.18,000000000DFEC3B8,0.0,0.06,22160332.0,-0.01,3700.0,3698.73,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.0733642578125,1031.992431640625,5.619245529174805,5992.74755859375,6425.79150390625,4523.2900390625,7835.3857421875,6992.34716796875,975.3055419921876,17188.533203125,722.341064453125,682.5736083984375,578.3466186523438,690.2154541015625,579.9747924804688,827.9029541015625,338.0015869140625,3097.904052734375,1451.1829833984375,479.4842834472656,64108.58203125,46457.4140625,15352.9931640625,14393.1279296875,482.5184631347656,148.07516479492188,387.12017822265625,296.2550964355469,118.4646224975586,141.92721557617188,139.1865692138672,171.41078186035156,342.1011962890625,301.27313232421875,315.4602355957031,279.6799011230469,1494.7379150390625,1148.59814453125,441.01507568359375,544.9092407226562,371.3258972167969,758.5029907226562,14377.0849609375,14775.396484375,442.58203125,1156.8134765625,459.0295104980469,196.84214782714844,50811.61328125,49859.92578125,52723.05078125,56400.94140625,229.22091674804688,556.7404174804688,408.2174377441406,272.74908447265625,18637.46484375,17279.82421875,14593.744140625,16489.8046875,8066.24755859375,8502.25,8615.55078125,7623.0341796875,10997,27.68498039245605,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.435768127441406,21.176422119140625,1010.554931640625,197100.765625,4.461896896362305,0,10464771,True,BME690,23766,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:54.067,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.05,22450161.0,22.63,15.47,1400.0,1399.78,21470046.0,300.0,300.55,000000000DFEC3B8,0.0,0.07,22160332.0,-0.01,3700.0,3699.51,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.07005310058597,1031.139892578125,5.615440368652344,5992.60546875,6425.40673828125,4522.76806640625,7835.59619140625,6992.42236328125,972.8883056640624,17279.298828125,721.9854736328125,683.1395874023438,578.0003662109375,689.1597900390625,579.7694702148438,826.840087890625,337.61883544921875,3103.958984375,1450.067138671875,479.25592041015625,64096.67578125,46457.9375,15352.603515625,14392.62890625,482.0917663574219,148.1153106689453,387.3548889160156,296.3430480957031,118.46378326416016,141.9395751953125,139.18356323242188,171.40231323242188,342.1103210449219,301.2859191894531,315.4865417480469,279.7115783691406,1494.5711669921875,1148.5526123046875,441.0011596679688,544.881103515625,371.279541015625,757.5928344726562,14373.08984375,14783.85546875,443.1025390625,1154.47802734375,458.9634094238281,196.7562561035156,50815.03515625,49860.6796875,52727.2421875,56397.15625,229.19467163085935,556.4675903320312,407.8410339355469,273.1264343261719,18645.99609375,17279.40234375,14594.173828125,16490.373046875,8066.20263671875,8503.3125,8615.392578125,7622.9716796875,11600,27.68498039245605,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.435436248779297,21.176437377929688,1010.483154296875,196568.6875,4.461816787719727,0,10465211,True,BME690,23767,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:54.670,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.54,22450161.0,22.64,15.56,1400.0,1398.77,21470046.0,300.0,302.01,000000000DFEC3B8,0.0,0.08,22160332.0,-0.01,3700.0,3701.56,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.0806121826172,1031.41064453125,5.620489120483398,5992.80908203125,6425.740234375,4522.798828125,7836.16064453125,6992.5595703125,975.1807861328124,17253.443359375,722.2474365234375,683.03955078125,578.494873046875,688.960205078125,580.0759887695312,828.542236328125,337.6620483398437,3108.386962890625,1449.781005859375,479.38775634765625,64098.26953125,46459.3984375,15351.8173828125,14392.5576171875,482.9059448242188,148.0675048828125,387.33795166015625,296.3724670410156,118.4443817138672,141.92465209960938,139.22268676757812,171.4041290283203,342.0993957519531,301.2705078125,315.4639587402344,279.7057189941406,1494.7171630859375,1148.545166015625,441.0256042480469,544.9302978515625,371.2409973144531,757.8956909179688,14375.2607421875,14784.8447265625,443.2004699707031,1154.5997314453125,459.3735046386719,196.7356719970703,50813.69921875,49860.8671875,52729.4453125,56403.4453125,229.2367401123047,556.3211669921875,408.0069580078125,273.2998046875,18640.392578125,17279.837890625,14593.900390625,16490.2421875,8066.158203125,8502.6796875,8615.412109375,7622.94970703125,11900,27.5238094329834,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.435436248779297,21.176437377929688,1010.4236450195312,196215.5625,4.461816787719727,0,10465651,True,BME690,23768,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:54.970,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.17,22450161.0,22.64,15.59,1400.0,1398.55,21470046.0,300.0,301.78,000000000DFEC3B8,0.0,0.08,22160332.0,-0.01,3700.0,3702.04,000000000DFEC3B1
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,30186f4a-836c-4621-a92b-d12828add40f,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,199.0363922119141,1031.5001220703125,5.621696949005127,5993.0078125,6425.1494140625,4523.3095703125,7835.95751953125,6992.70068359375,973.126953125,17194.482421875,722.4396362304688,683.5620727539062,578.5291137695312,689.4893798828125,579.8286743164062,827.2633666992188,337.5146789550781,3077.441650390625,1451.4488525390625,478.9776611328125,64102.99609375,46459.64453125,15351.599609375,14393.708984375,482.9420166015625,148.1230926513672,387.1040649414063,296.4804992675781,118.47132873535156,141.9343719482422,139.22142028808594,171.42880249023438,342.1126708984375,301.2735900878906,315.4405822753906,279.6749267578125,1494.7396240234375,1148.556884765625,441.031982421875,544.880615234375,371.2663879394531,758.4080200195312,14374.2080078125,14786.6591796875,443.4235534667969,1154.35693359375,459.2263793945313,196.7733154296875,50811.578125,49862.4296875,52729.15234375,56400.90234375,229.2404937744141,556.68408203125,407.8767395019531,273.1505432128906,18641.21875,17280.962890625,14593.0517578125,16492.04296875,8066.69775390625,8503.5185546875,8615.37109375,7622.43212890625,12201,27.604394912719727,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.435436248779297,21.176437377929688,1010.3675537109376,196923.078125,4.461816787719727,0,10466091,True,BME690,23769,0,0,0,10463684,24484,0,24.490976333618164,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 15:26:55.271,"{'cid': '531dd36a-085d-401e-adf9-4763355bb2d2', 'uuid': 'd9fb96c0-aafa-4fd7-bbc6-dd9787ae8d81', 'annotationId': '30186f4a-836c-4621-a92b-d12828add40f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773415611894, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T15:26:52.100Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.67,22450161.0,22.63,15.6,1400.0,1398.72,21470046.0,300.0,300.15,000000000DFEC3B8,0.0,0.06,22160332.0,-0.01,3700.0,3701.78,000000000DFEC3B1
