delta_seconds,normalized_A1,normalized_A4,normalized_B6,normalized_F5,normalized_G4,normalized_G5,normalized_H4,normalized_H5,normalized_A1_std,normalized_A4_std,normalized_B6_std,normalized_F5_std,normalized_G4_std,normalized_G5_std,normalized_H4_std,normalized_H5_std,median_time_AmbientSamplingRFC,median_time_BreathSampleCollection,median_time_FeNOWindow,median_time_FeNOMeasurement,median_time_CleaningCycle,min_time_AmbientSamplingRFC,min_time_BreathSampleCollection,min_time_FeNOWindow,min_time_FeNOMeasurement,min_time_CleaningCycle,max_time_AmbientSamplingRFC,max_time_BreathSampleCollection,max_time_FeNOWindow,max_time_FeNOMeasurement,max_time_CleaningCycle,event_name,reference_event_name,reference_event_value_normalized_A1,reference_event_value_normalized_A4,reference_event_value_normalized_B6,reference_event_value_normalized_F5,reference_event_value_normalized_G4,reference_event_value_normalized_G5,reference_event_value_normalized_H4,reference_event_value_normalized_H5,reference_event_iqr_normalized_A1,reference_event_iqr_normalized_A4,reference_event_iqr_normalized_B6,reference_event_iqr_normalized_F5,reference_event_iqr_normalized_G4,reference_event_iqr_normalized_G5,reference_event_iqr_normalized_H4,reference_event_iqr_normalized_H5,unadjusted_delta_seconds
0.0,-0.0009024252837057656,3.4794815715932795e-05,0.0004834230418150565,-0.00029387351721086306,0.00028405548414744963,0.00046702966393177283,9.549711475493883e-05,2.580777864256145e-05,0.0002084423609460817,9.046257207334651e-05,0.0009320742886522737,0.00149859080388981,0.000421679378374451,0.0012877349854517606,0.00019081133346010581,7.664314553357254e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,0.0
0.30363483126763924,-0.0008345323146832668,3.199711213717069e-05,0.000456275427132004,-0.00026058859112848234,0.0002113307197646725,0.0003949247187867851,7.735412694673361e-05,2.3368603477722012e-05,0.00035982721706350146,0.00010415958480293602,0.0013129567610891614,0.001269555061603761,0.0005127843456505853,0.0006811883317789229,0.00020417123945430947,6.993748414092394e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,0.30363483126763924
0.6072696625352785,-0.0007767855069665605,2.9497129525581008e-05,0.00042505041269616777,-0.0002274624815800227,0.00014719002607425647,0.0003241638890883363,6.161347304875937e-05,2.07966263218152e-05,0.00038821366383190686,0.00010015830760475646,0.002024093487319421,0.001069512877838849,0.0005907956080930854,0.0003508745936033467,0.0001780533429870079,7.423589339195053e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,0.6072696625352785
0.9109044938029177,-0.0007285197049180464,2.7274469664318667e-05,0.0003972151498901585,-0.00019505982219448467,9.059720486772675e-05,0.0002604980631244144,4.633278509013956e-05,1.7881994414789676e-05,0.0004499728951263519,9.253763682794541e-05,0.002617507976461984,0.0008998584100287953,0.0005356632396733406,0.0006747793462088724,0.0001905724613168117,7.329638391933335e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,0.9109044938029177
1.214539325070557,-0.0006853047474842667,2.463926866903473e-05,0.00038682448121941124,-0.00015915239701124885,4.1421208078871294e-05,0.0001811108566916574,3.630861022423935e-05,1.5122066637129014e-05,0.0002870228179698591,9.516411952171682e-05,0.003021347377176295,0.0007826903781792549,0.0004936833904715999,0.0010196865286576718,0.0002104201935216674,7.145908385871496e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,1.214539325070557
1.5181741563381963,-0.0006509323246850166,2.2610194272739292e-05,0.0003792448495150244,-0.00012753510034824476,1.7506334018570213e-07,0.00011848590833869219,2.6330815632616145e-05,1.2246035605395766e-05,0.00022848339804101034,0.00010154433882039416,0.0033077909252962265,0.0006785112669898224,0.0004604135045349503,0.0013259307622169373,0.0002185976712511983,6.971090521261825e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,1.5181741563381963
1.8218089876058354,-0.0006276555315512439,2.1507902152109045e-05,0.00035643380604159715,-0.00010217907397326318,-3.45316888191326e-05,8.061178981148372e-05,1.3648548870854412e-05,9.086373517966427e-06,0.00022604158317365435,0.0001059581544743734,0.003577224986866314,0.0005748690285456377,0.00043775293456647403,0.0016488961541659924,0.00023350770551988553,6.920029582211697e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,1.8218089876058354
2.1254438188734746,-0.0006108678876803196,2.055606319193662e-05,0.0003339414500022201,-7.840417872900163e-05,-6.326379886030974e-05,4.707279150161429e-05,2.0645498471415244e-06,5.858111573886572e-06,0.00025336884916351746,0.0001085566295991803,0.0037559917253152135,0.0004959856471953695,0.0004251992441454724,0.0018866320428034774,0.000233749115820244,6.876830192253977e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,2.1254438188734746
2.429078650141114,-0.000599847476493934,1.9736263068423093e-05,0.00031130469371144515,-5.6313477855383126e-05,-8.65297055060509e-05,1.7917387138957456e-05,-8.507756415947389e-06,2.6333826970777685e-06,0.00026425939622871936,0.00010945026090685522,0.0038528161785924956,0.0004403461370803305,0.0004213046603476348,0.002049021722260145,0.00023274538278680813,6.838977489036379e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,2.429078650141114
2.7327134814087533,-0.0005934457632583796,1.900125872469662e-05,0.00028913614793671854,-3.6104279097034734e-05,-0.00010501946231685223,-7.102403222930065e-06,-1.8249924810559612e-05,-6.323127081536293e-07,0.00023392036850040536,0.00010876012458428008,0.003877975440371404,0.0004055680503778948,0.00042456462338865796,0.002142869648185557,0.0002306928471288051,7.36529943031694e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,AmbientSamplingRFC,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,2.7327134814087533
