delta_seconds,normalized_E1,normalized_E2,normalized_E3,normalized_E4,normalized_E5,normalized_E6,normalized_E7,normalized_E8,normalized_F1,normalized_F2,normalized_F3,normalized_F4,normalized_F5,normalized_F6,normalized_F7,normalized_F8,normalized_G1,normalized_G2,normalized_G3,normalized_G4,normalized_G5,normalized_G6,normalized_G7,normalized_G8,normalized_H1,normalized_H2,normalized_H3,normalized_H4,normalized_H5,normalized_H6,normalized_H7,normalized_H8,normalized_E1_std,normalized_E2_std,normalized_E3_std,normalized_E4_std,normalized_E5_std,normalized_E6_std,normalized_E7_std,normalized_E8_std,normalized_F1_std,normalized_F2_std,normalized_F3_std,normalized_F4_std,normalized_F5_std,normalized_F6_std,normalized_F7_std,normalized_F8_std,normalized_G1_std,normalized_G2_std,normalized_G3_std,normalized_G4_std,normalized_G5_std,normalized_G6_std,normalized_G7_std,normalized_G8_std,normalized_H1_std,normalized_H2_std,normalized_H3_std,normalized_H4_std,normalized_H5_std,normalized_H6_std,normalized_H7_std,normalized_H8_std,median_time_AmbientSamplingRFC,median_time_BreathSampleCollection,median_time_FeNOWindow,median_time_FeNOMeasurement,median_time_CleaningCycle,min_time_AmbientSamplingRFC,min_time_BreathSampleCollection,min_time_FeNOWindow,min_time_FeNOMeasurement,min_time_CleaningCycle,max_time_AmbientSamplingRFC,max_time_BreathSampleCollection,max_time_FeNOWindow,max_time_FeNOMeasurement,max_time_CleaningCycle,event_name,reference_event_name,reference_event_value_normalized_E1,reference_event_value_normalized_E2,reference_event_value_normalized_E3,reference_event_value_normalized_E4,reference_event_value_normalized_E5,reference_event_value_normalized_E6,reference_event_value_normalized_E7,reference_event_value_normalized_E8,reference_event_value_normalized_F1,reference_event_value_normalized_F2,reference_event_value_normalized_F3,reference_event_value_normalized_F4,reference_event_value_normalized_F5,reference_event_value_normalized_F6,reference_event_value_normalized_F7,reference_event_value_normalized_F8,reference_event_value_normalized_G1,reference_event_value_normalized_G2,reference_event_value_normalized_G3,reference_event_value_normalized_G4,reference_event_value_normalized_G5,reference_event_value_normalized_G6,reference_event_value_normalized_G7,reference_event_value_normalized_G8,reference_event_value_normalized_H1,reference_event_value_normalized_H2,reference_event_value_normalized_H3,reference_event_value_normalized_H4,reference_event_value_normalized_H5,reference_event_value_normalized_H6,reference_event_value_normalized_H7,reference_event_value_normalized_H8,reference_event_iqr_normalized_E1,reference_event_iqr_normalized_E2,reference_event_iqr_normalized_E3,reference_event_iqr_normalized_E4,reference_event_iqr_normalized_E5,reference_event_iqr_normalized_E6,reference_event_iqr_normalized_E7,reference_event_iqr_normalized_E8,reference_event_iqr_normalized_F1,reference_event_iqr_normalized_F2,reference_event_iqr_normalized_F3,reference_event_iqr_normalized_F4,reference_event_iqr_normalized_F5,reference_event_iqr_normalized_F6,reference_event_iqr_normalized_F7,reference_event_iqr_normalized_F8,reference_event_iqr_normalized_G1,reference_event_iqr_normalized_G2,reference_event_iqr_normalized_G3,reference_event_iqr_normalized_G4,reference_event_iqr_normalized_G5,reference_event_iqr_normalized_G6,reference_event_iqr_normalized_G7,reference_event_iqr_normalized_G8,reference_event_iqr_normalized_H1,reference_event_iqr_normalized_H2,reference_event_iqr_normalized_H3,reference_event_iqr_normalized_H4,reference_event_iqr_normalized_H5,reference_event_iqr_normalized_H6,reference_event_iqr_normalized_H7,reference_event_iqr_normalized_H8,unadjusted_delta_seconds
0.0,0.0027876444684748146,7.012857564292485e-05,0.0002947064191074045,-0.00030579134693233814,-3.625043164858788e-05,0.0003336919750609901,-0.010429961840074897,0.001372653178232075,0.00011344486774647055,0.00016725423412726758,0.00028414101907867637,-0.00010963957128311552,8.506653580999667e-05,0.0013261940802683282,-0.00045361992499224344,0.0003757810685456331,5.507339773891395e-06,0.0003372520999975315,0.00021490025112504973,0.0003549282130975051,-0.0006175815032741117,-0.0008303712070912184,-0.0003035929984553265,0.008998781372894938,0.0007990222116915468,-0.0002676703320224405,-0.0009440686383114904,-0.00012609190588417363,-6.512256513468984e-06,0.00039033076257939393,-0.00017036242690555704,0.0010349578137121673,0.0023909482198214427,0.00041909754223956597,0.00020067135649526335,0.0007346804375194527,0.0004122022585167917,0.00021853706833407927,0.0063549520005360405,0.004544884353553713,0.0002569380514207964,0.00019714535629189456,0.0003804037504222535,0.0011914565181438963,0.0004168667780806157,0.0001477225960488937,0.0018758499682374197,0.0005462205515236462,0.003225581312422565,0.00040554934785075325,0.0005655087449563112,0.0006212719224741869,0.0014369889821139736,0.005998047761204273,0.001628323387566688,0.01584794416259716,0.0007177725624809561,0.0013416741739822324,0.001856404233867126,0.0004109845618878172,5.3347253119229165e-05,0.000430595582065596,0.0008453682047223632,0.004984094097029823,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,0.0
0.3027799101824102,0.0011570685786660765,8.539659163697187e-05,0.0002616286494262522,-0.00029350040047530323,-3.132809705270623e-05,0.00032048578750228904,-0.01119304782492475,0.001377718429900802,0.0001154558623981344,0.00010338098531644949,0.0002711593542949581,-0.00016701635198354013,7.194401000711113e-05,0.001263163834098906,-0.000390579535093893,0.00037807503705656134,0.0002679100618589486,0.0003414303610479905,0.00020219413303060896,0.0003679987526715479,-0.0005701065323438079,-0.0004682204811625432,-0.00021504796546926793,0.006978924934211211,0.0008318599861394717,-0.00010198230003916794,-0.0007752523676665294,-0.0001265803199374872,-2.188716237470211e-06,0.0006212250332046545,-0.00017678039766054834,0.0012025128501029438,0.0006882348068544331,0.0004193111880889187,0.00026145468992100525,0.0007008980389248187,0.00032623397918675755,0.000236904850821854,0.00446125771274364,0.005998107428346092,0.00017226352847425657,0.00028146955186341256,0.00038662673555321805,0.0012125237049251676,0.00041664444093246836,0.0004273086465129371,0.001721172543502,0.0005571552892722209,0.0028580621121248573,0.00018182726845020623,0.0004390996375678712,0.0005829174437126946,0.0013653795048083747,0.005355223677687096,0.0017542658810990937,0.01397780662079988,0.00070477790865055,0.001216101886905002,0.001441333203318283,0.0003319672958973804,4.553120001270692e-05,0.00013101512612150143,0.000788594387648355,0.004025238207077705,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,0.3027799101824102
0.6055598203648204,-0.0002508349195168921,9.55090789208071e-05,0.00022767196759230032,-0.0002826096361134941,-2.9236402623759795e-05,0.00030621167328062784,-0.011808304151479777,0.0013739422386903175,0.00011617047092758466,3.92697465688731e-05,0.00025666806095937003,-0.0002276623205096565,6.137921908562795e-05,0.001194872545634332,-0.0003378686628341737,0.0003756443093077866,0.00047642398209524423,0.00034299658132415557,0.0001894253465439607,0.00037533995060449375,-0.0005256880123802735,-0.00015167187200630997,-0.0001492234962068388,0.005224718497216104,0.000853360503673853,4.108431585793369e-05,-0.0006376486331567382,-0.00012794842150878362,1.1143848170253851e-06,0.0008090515431506192,-0.00018062569762350027,0.0013497553473829885,0.0030499549077468,0.00041573469880613694,0.00026746877907542145,0.0006684880185254975,0.00024672030074236295,0.000283052050545347,0.0028620502543850327,0.0068363434268991895,0.0001521955987087474,0.0005259054442748899,0.000390382044396818,0.0007005415834195176,0.00030692562512576636,0.000645561059739194,0.0015838952288641484,0.0005680734104458067,0.002505896994564906,0.00016947554104383933,0.00032613775928942636,0.0005454453954342622,0.00034327617752537336,0.004767669837917807,0.0018167183331373573,0.011747626863003078,0.0006864483467484933,0.0010957729989110817,0.0013692371829337456,0.0002608018064113312,3.8468363687261444e-05,0.0004291859690546098,0.0007503506667549272,0.003239804155020181,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,0.6055598203648204
0.9083397305472305,-0.0014503048730263458,0.0001006411122817912,0.0001935093717480967,-0.00027273919034441116,-3.0208698140164666e-05,0.000291273486373805,-0.012270556927407944,0.0013659650604090773,0.00011578997136008781,-2.3114576039198494e-05,0.00024068601078777128,-0.0002865674998133702,5.275395740151896e-05,0.0011228996973194692,-0.0002962473557704787,0.0003691562391429753,0.0006360259368395073,0.0003421183318292771,0.00017703956631482675,0.0003770230308745603,-0.0004893693674781886,0.0001211597297860632,-0.00010549752075971093,0.0037318086340592444,0.0008642848354184589,0.00016190947720009434,-0.0005286417721247825,-0.00013000173576524677,3.4501473481332337e-06,0.000953015679689638,-0.0001822090449696045,0.0014794473920783815,0.005172653199418824,0.00039072905751753303,0.0002505788167248522,0.0006371873932926603,0.00019902674982549958,0.00034122220587176914,0.002306594566585279,0.007085881658820049,0.0001642237759847453,0.0007350179976159685,0.0003913508154502405,0.0005086822183615928,0.0001960354098086283,0.0007536339442373123,0.001461792726325909,0.0005785272314379163,0.001934276512465211,7.896618605276432e-05,0.00023033128620322178,0.0005098650862093836,0.0004614678241743378,0.004228296395377769,0.0014746252232854663,0.010015859742886853,0.0006883447339278645,0.0009201148507545603,0.0013646547250763571,0.00020583304191601313,3.697570681506727e-05,8.374475423652975e-05,0.0006925151364519093,0.0027278421465606055,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,0.9083397305472305
1.2111196407296407,-0.002457633561575323,0.00010151139628170889,0.00015925883841566097,-0.00026387901026013417,-3.3262411603964e-05,0.0002756198649068025,-0.012598325461038954,0.0013521266037730148,0.00011422796497799477,-8.487722026883744e-05,0.00022353591650216227,-0.0003463626173334168,4.6303527956702804e-05,0.0010465987102299163,-0.0002638277401236011,0.0003586131753421094,0.0007507961984657517,0.0003387161817757954,0.0001648519886559037,0.0003737842027378128,-0.0004575350014717367,0.00035127920775555616,-8.108018810180501e-05,0.0024753915158260897,0.0008656365899533433,0.0002627505214188079,-0.00044495210249863044,-0.00013260931566065468,4.902933404493209e-06,0.0010599673205942087,-0.00018164427330465876,0.0015907559548219018,0.006920138856705797,0.00036044471405949797,0.0002124990577681391,0.0005507526881351408,0.0001508396961674143,0.00033604106488994913,0.0018887456825868038,0.006652290075872088,0.000176872894861209,0.0009097213228455763,0.0003900468654092758,0.0007492020296145408,0.000106069483294316,0.0008388313413189553,0.001354095494330612,0.000588512046230052,0.0012578016612550507,3.742950625170929e-05,0.00015654498275768588,0.0004761095852257304,0.0010734933660959288,0.0037443797336708965,0.0012158462583176004,0.008748802382734393,0.0007268725762396174,0.0007518409348135974,0.0010745999485587711,0.00016470900044495942,4.0841247985698705e-05,8.2601567963584e-05,0.000617281131139489,0.002247320593164155,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,1.2111196407296407
1.513899550912051,-0.0032899880296884364,9.836884698410846e-05,0.00012523683431039118,-0.0002556868986536375,-3.86142978233083e-05,0.0002594688649436878,-0.012793723177922572,0.001334488037868496,0.00011170644663034915,-0.0001450208101922195,0.00020524145534443717,-0.0004039100191907152,4.1624945347921824e-05,0.0009673347289087568,-0.00024113066888137275,0.0003446637280292141,0.0008249454054376706,0.0003331988929340006,0.00015300901169747427,0.0003658474284276843,-0.00043182798663295814,0.0005418613716560806,-7.452436704791377e-05,0.0014422886853734987,0.0008581420540447013,0.0003446901680785135,-0.00038464386055984983,-0.0001356902172936773,5.561345260442302e-06,0.0011302014539104597,-0.00017923297573811924,0.0016863353299287822,0.0068203810845951915,0.0003322442261979358,0.00017965492083337988,0.000468312869007958,7.362213839040126e-05,0.0003210048703212356,0.0015219866403189727,0.005786802070464317,0.00019409775958605463,0.0010524139308264228,0.00038645093745629677,0.0012004125068211518,5.1163208423687825e-05,0.0009028644557638844,0.001258774030336417,0.0005974626576844589,0.0006871181808108328,8.094162338077312e-05,0.00010116598843071558,0.00044435056444564673,0.0015038265286127844,0.003307802853577147,0.0010333939104990616,0.007914644026499199,0.000749682945776002,0.0005978358566262431,0.0008303910293737479,0.00013677295915766227,4.6499344229416195e-05,0.0003540632303855581,0.0005430996172547157,0.0019524798257009096,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,1.513899550912051
1.816679461094461,-0.0039576629934065435,9.17183633993641e-05,9.1841733921822e-05,-0.0002481265090693922,-4.5840608493802324e-05,0.00024296630672581286,-0.012866845322087322,0.0013147428873881734,0.00010827808223218037,-0.0002030261914884823,0.00018606820665850935,-0.00045833266992174865,3.852990380767604e-05,0.0008857605518603643,-0.00022740668324969108,0.00032769516460182883,0.000862821176287545,0.0003256194015232723,0.0001416326802579414,0.000353720285522569,-0.0004118062832125931,0.0006946811778733226,-8.34779865357368e-05,0.0006198765184431002,0.0008427764781322724,0.0004090983132689132,-0.00034476799014828503,-0.00013911310128870714,5.521956959042406e-06,0.0011675399908607524,-0.0001751517400179773,0.0017661429315880355,0.00472685850570821,0.00030613291264748344,0.00015204073266671017,0.0004772541364062411,6.378511586891436e-05,0.00031064729804369286,0.0020138337335359486,0.005008276477675636,0.00020599039708226225,0.0011643600086813119,0.00038038328732387274,0.0016058788280825663,0.00013007832456110577,0.0009477504808373628,0.0011747252687369543,0.0005972805832651128,0.00046348727867898056,0.0001235555591494085,6.268942912693643e-05,0.00040600612294288297,0.0017681751123642339,0.002923649436877295,0.0009197505082002077,0.007587276997390156,0.0007577877733666737,0.00045848242460697655,0.0006296222425097807,0.00012056311845597027,5.3586219366148725e-05,0.0006461156827074616,0.000579046750800848,0.0018240653269368584,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,1.816679461094461
2.1194593712768715,-0.004475126749131768,8.204877314015137e-05,5.9159724466510864e-05,-0.00024114137196260978,-5.4324472019455874e-05,0.00022624431639657982,-0.01283561438444027,0.001289672370078585,0.00010387968965918658,-0.0002597112186908915,0.00016615206484716798,-0.0005119073153651394,3.694082030940568e-05,0.0008016467621267513,-0.0002212442440253194,0.0003077231077979208,0.0008673676594201565,0.0003161625365483771,0.00013055346684143123,0.00033794326663790343,-0.00039500205849474614,0.0008117729338114003,-0.00010578983210903898,-1.683878658465367e-05,0.0008202412973749927,0.00045772881259621717,-0.000322853332229794,-0.00014284185948978232,4.814887769429617e-06,0.0011776430728932619,-0.00016989224866928256,0.0018303334463651987,0.0036254932871761522,0.00028482776522399385,0.0001327107878553907,0.0005046235140679829,0.00010752754347922162,0.00030415586904592053,0.0029619045995740558,0.0043021569565965,0.00021894637028262048,0.0012464545226777168,0.00037216423334347635,0.001975679361864179,0.00023279720393737914,0.000973416158542013,0.0010180849364701823,0.0005844889616779263,0.000572724955049941,0.00015801229835407817,6.625365171258868e-05,0.0003603591621689334,0.0018851079190487525,0.0025901270448098358,0.0008669860383057719,0.007241339438937825,0.0007538810987432116,0.00032934005638879735,0.0004769171695673093,0.00011453783666218844,6.198807485343877e-05,0.0009519550406871005,0.0005943824875958179,0.0018435989150181566,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,2.1194593712768715
2.4222392814592815,-0.004855694261265159,6.984709403599359e-05,2.779648995046922e-05,-0.00023452456834323321,-6.407798322264209e-05,0.00020950308644400025,-0.012702359747840442,0.0012639735182662635,9.880069739580982e-05,-0.0003134911751403415,0.00014581760341895975,-0.0005606343161177117,3.658785414642066e-05,0.0007170635694321957,-0.00022298881316688363,0.000285683169604471,0.0008441686368652987,0.00030516551801723147,0.00012006050230650997,0.00031901845604733153,-0.0003825981628283629,0.0008953690886564271,-0.0001392247770997841,-0.0004739635201488055,0.0007917501294107593,0.0004917305223111179,-0.00031642823472948064,-0.00014671701502812746,3.6057068435578898e-06,0.0011615446100837362,-0.0001635179487555087,0.001880494579590512,0.002862022080538735,0.0003016281820759091,0.0001347134910334343,0.000498457849573929,0.00017274655363372016,0.00030110621355859354,0.0037627897993459947,0.003900596302556004,0.0002317556744123715,0.0013009550024793968,0.0003596101886442078,0.0022979507901690743,0.00033073266999600527,0.0009842279620883717,0.0008371315840173966,0.0005693251421844008,0.0006583782322073585,0.00018493896768900255,5.902137883159358e-05,0.0003149742661504066,0.0018711326555790172,0.0023099894877897952,0.0008661416930493719,0.007363046973829748,0.0007378125633774523,0.00021627042345954988,0.0004541607958625421,0.00011743583635177256,7.108491084901835e-05,0.0012682928745771985,0.0005915358971983611,0.001986457709671199,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,2.4222392814592815
2.7250191916416915,-0.005118558520812997,5.528050558984332e-05,-2.6654593416603976e-06,-0.00022812186711593422,-7.460901492525318e-05,0.00019258655482683757,-0.012477842705487874,0.0012333038702701884,9.28282750065016e-05,-0.0003658861661686873,0.00012483921045500156,-0.0006061688478089222,3.750112367307141e-05,0.0006302171219034182,-0.00023212879192954487,0.00026114732260807294,0.0007945096919278307,0.00029256397008200276,0.00010976508169796358,0.0002969468500881639,-0.0003736707109476677,0.0009474735224021133,-0.0001827376815583081,-0.0007811704431289569,0.0007573053230158222,0.00051271764655561,-0.00032325316131514296,-0.00015069509537001327,1.8518398444641485e-06,0.0011219136662517157,-0.00015609317322769269,0.001917880057500622,0.003443757054442946,0.0003164950709858659,0.00013694751389208812,0.0004738331823310534,0.00019934800490800354,0.000300695142335315,0.004451576745618378,0.003813066747265885,0.0002449495576399188,0.0013416340156147042,0.0003301986560024758,0.002583724847370446,0.0004239195871110239,0.0009784934211162033,0.0007181832024859931,0.0005522245994356522,0.0006478059518867115,0.0002053728955366592,5.112296454782108e-05,0.0002703987222670698,0.00173644345028401,0.002074945701228939,0.0009116609805917516,0.007727063153543835,0.0007130306193181485,0.00012505884376059595,0.0004344003314241712,0.0001281639689731841,8.01928340540606e-05,0.0015963934572516625,0.0005734141885581336,0.002243947462125049,0.0,31.186330748788247,39.36138832371332,43.90308697644948,75.39219763542013,0.0,30.88355083860584,39.05860841353091,43.600307066267064,74.78663781505531,0.0,31.48911065897066,39.66416823389574,44.20586688663189,75.39219763542013,AmbientSamplingRFC,AmbientSamplingRFC,60917633.0,20915.0,85738.0,203010.0,672331.0,4300.0,2806639.0,1121669.0,62708.0,484366.0,21041.0,821881.0,693.0,423507.0,440824.0,235598.0,923349.0,69403.0,77128.0,17173.0,4145.0,273376.0,14856.0,141464.0,31152.0,401582.0,1098344.0,58433.0,7248.0,121988.0,13533.0,598870.0,3.39,0.29,0.17,0.22,0.0,0.28,1.77,0.63,0.18,0.38,0.33,0.36,0.29,1.09,0.35,0.55,0.97,0.26,0.17,0.26,0.1,0.19,0.13,1.23,1.1,0.41,0.17,0.06,0.04,0.07,0.07,0.15,2.7250191916416915
