component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:49.298Z,E,23.23,19.69,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:50.303Z,E,23.23,20.07,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:51.307Z,E,23.25,20.38,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:52.313Z,E,23.23,20.74,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:53.319Z,E,23.25,20.91,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:54.325Z,E,23.25,20.96,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:55.338Z,E,23.26,20.81,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:56.345Z,E,23.25,20.59,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:57.351Z,E,23.25,20.3,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:58.407Z,E,23.25,20.04,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:15:59.412Z,E,23.25,19.88,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:00.418Z,E,23.24,19.74,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:01.423Z,E,23.22,19.53,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:02.428Z,E,23.25,19.41,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:03.434Z,E,23.23,19.29,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:04.440Z,E,23.26,19.16,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:05.447Z,E,23.25,19.08,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:06.452Z,E,23.27,18.98,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:07.459Z,E,23.25,18.9,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:08.520Z,E,23.26,18.86,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:09.527Z,E,23.26,18.81,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:10.532Z,E,23.23,18.73,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:11.541Z,E,23.25,18.68,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:12.547Z,E,23.25,18.63,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:13.553Z,E,23.29,18.6,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:14.562Z,E,23.23,18.53,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:15.567Z,E,23.24,18.49,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:16.572Z,E,23.25,18.47,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:17.579Z,E,23.25,18.38,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:18.586Z,E,23.25,18.35,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:19.592Z,E,23.25,18.28,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:20.647Z,E,23.24,18.25,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:21.654Z,E,23.25,18.24,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:22.661Z,E,23.25,18.18,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:23.666Z,E,23.26,18.14,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:24.671Z,E,23.25,18.08,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:25.677Z,E,23.25,18.08,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:26.686Z,E,23.24,18.05,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:27.693Z,E,23.25,17.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:28.699Z,E,23.25,17.97,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:29.707Z,E,23.27,17.94,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:16:30.713Z,E,23.23,17.9,recoveryOff
