component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_094324,FLW0_094324,ANLT0_094324,bVOC_454625,GASR0_454625,H0_454625,T0_454625,P0_454625
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10679455,7339206.5,4343282.5,211830.40625,158277728,157240640,121038056,121746008,1765.9215087890625,3108.830078125,30980.107421875,33719.37890625,39677.921875,455587.25,8475.05078125,2831.49365234375,1345.709716796875,7020.64990234375,11018054,76819.6796875,3050961.75,359185.96875,28700.044921875,26968.55078125,780377600,462703872,466318080,935972288,430089152,423814112,90915480,91454080,214348016,136470192,125346424,747195968,92988904,93922928,160.6852264404297,58222.9921875,9255428,6580279.0,39300.5390625,100753696,988.2655639648438,440586.21875,105014824,105817392,12612.3095703125,77374.6171875,9973.09375,4857.1279296875,63852.9140625,410254.46875,6250.6201171875,58742.140625,54750.484375,4941296.0,2091585.875,37662.25390625,235054752,236351552,204331248,205910416,5082,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68086039,24484,0,45.59341812133789,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:48.117,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1383.36,22450138.0,12.0,11.4,22040109.0,3800.0,3803.92,22340093.0,1600.0,1595.76,24020116.0,200.0,200.32,21470060.0,0.0,662568.75,57.52,24.45,1015.65
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10713346,7340253.0,4344693.5,211731.203125,158364896,157330128,121149480,121857384,1768.90625,3112.26904296875,30991.650390625,33768.6015625,39500.54296875,446719.09375,8454.916015625,2836.345947265625,1346.4161376953125,7010.39794921875,11019206,76843.9921875,3052063.0,359898.46875,28682.822265625,26924.17578125,780943552,463200256,466778720,936875008,430389632,424111136,90907832,91445792,214438320,136448800,125339032,749495680,93024704,93962592,160.68215942382812,58170.84765625,9260425,6584143.0,39341.8984375,100724304,986.9104614257812,441038.46875,105108664,105911072,12609.1806640625,77357.640625,9955.4013671875,4842.896484375,63885.38671875,410947.28125,6237.52294921875,58843.62890625,54900.73046875,4937940.0,2088488.75,37630.46875,235038144,236336096,204243488,205823872,5385,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68086039,24484,0,45.59341812133789,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:48.418,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1383.36,22450138.0,12.0,11.4,22040109.0,3800.0,3803.92,22340093.0,1600.0,1595.76,24020116.0,200.0,200.32,21470060.0,0.0,662568.75,57.52,24.45,1015.65
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10639106,7325937.5,4334098.5,211124.703125,158143328,157107504,121006544,121715184,1768.8272705078125,3112.314697265625,31008.669921875,33738.734375,39654.23828125,443809.21875,8458.3564453125,2826.5263671875,1345.419677734375,7007.78564453125,11019382,76823.375,3052881.0,360342.4375,28680.333984375,27010.96484375,781275264,463443840,466999744,936043136,430420640,424115680,90919200,91457088,214434320,136461184,125345504,750156992,92989880,93926504,160.6871337890625,58231.0390625,9264514,6583839.5,39258.6015625,100709536,986.5390625,441889.78125,104981064,105779832,12613.1376953125,77380.5234375,9967.1884765625,4852.80908203125,63732.13671875,410041.46875,6237.81640625,58735.15625,54693.39453125,4937225.0,2088021.0,37538.29296875,235128752,236427376,204361712,205948176,5684,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:48.718,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1383.99,22450138.0,12.0,11.44,22040109.0,3800.0,3803.73,22340093.0,1600.0,1596.5,24020116.0,200.0,200.22,21470060.0,0.0,662568.75,57.52,24.45,1015.65
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10620669,7300604.5,4314557.0,211226.984375,158189216,157151824,120996568,121704960,1763.6656494140625,3110.076416015625,31017.962890625,33719.5859375,39807.05078125,453897.15625,8476.3369140625,2836.52001953125,1346.45849609375,7003.40576171875,11019968,76843.9140625,3051339.0,359301.34375,28604.333984375,26835.111328125,781023936,463633280,467215104,936100864,430574144,424267072,90942008,91479248,214493824,136538736,125404720,753806400,92952912,93889536,160.68414306640625,58176.02734375,9270035,6594133.0,39232.28515625,100784408,987.3746337890624,441547.59375,105096864,105895784,12614.2392578125,77389.5234375,9916.765625,4850.978515625,63621.35546875,410434.25,6326.28076171875,59051.2578125,54608.60546875,4931884.5,2083712.5,37565.4453125,235192112,236494160,204433712,206030880,5987,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:49.028,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1385.12,22450138.0,12.0,11.52,22040109.0,3800.0,3803.39,22340093.0,1600.0,1597.9,24020116.0,200.0,200.02,21470060.0,0.0,662568.75,57.51,24.45,1015.65
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10627766,7299725.5,4315604.5,211946.515625,158401120,157358368,121085536,121791192,1765.47216796875,3112.62841796875,31041.052734375,33696.94140625,39441.73828125,452324.375,8461.1044921875,2830.353271484375,1344.9658203125,6999.2490234375,11020118,76844.609375,3051247.0,359646.53125,28653.109375,27006.77734375,787933440,465571648,469150592,950744832,430057408,423789792,90930184,91466912,214683248,136662144,125495912,760193344,92976872,93911336,160.6742706298828,58180.33984375,9267744,6575522.5,39476.5625,100704000,986.3675537109376,439992.9375,105335360,106135712,12619.708984375,77372.2109375,9933.470703125,4836.140625,63769.49609375,410506.25,6236.54052734375,58788.0390625,54856.78125,4927501.5,2080362.625,37558.70703125,235285792,236572144,205053824,206644304,6286,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:49.321,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1386.19,22450138.0,12.0,11.59,22040109.0,3800.0,3803.06,22340093.0,1600.0,1599.23,24020116.0,200.0,199.84,21470060.0,0.0,662568.75,57.5,24.45,1015.65
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10616444,7299415.0,4314844.5,211873.796875,158222496,157182736,120979176,121685728,1768.63232421875,3120.057373046875,31025.421875,33705.140625,39394.37890625,447833.53125,8455.49609375,2827.991455078125,1345.030517578125,7001.87939453125,11020801,76891.7578125,3047395.25,358167.1875,28606.861328125,26917.55078125,797070976,467425408,470964480,961876672,429263520,423072384,90901400,91438104,214410480,136568096,125410392,762218048,92922144,93850432,160.6827850341797,58206.2890625,9248010,6555332.0,39743.625,100719904,989.0035400390624,439164.28125,105342664,106143960,12619.509765625,77378.3671875,9913.9501953125,4849.798828125,63831.34765625,409403.65625,6245.11474609375,58917.828125,54782.88671875,4925664.5,2078651.75,37522.90234375,235454096,236741680,205222832,206810784,6587,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:49.621,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1387.12,22450138.0,12.0,11.66,22040109.0,3800.0,3802.84,22340093.0,1600.0,1600.31,24020116.0,200.0,199.77,21470060.0,0.0,662568.75,57.49,24.45,1015.65
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10600278,7297997.5,4316067.0,212416.90625,158148720,157109200,120928344,121637528,1762.279296875,3118.4169921875,31004.31640625,33708.1015625,39453.07421875,444576.65625,8443.388671875,2827.796630859375,1346.4552001953125,7011.78466796875,11022283,76916.6015625,3045503.75,357794.4375,28578.751953125,26888.31640625,806365120,468858464,472444832,975148544,428053472,421944960,91003488,91541240,214378144,136582288,125415600,765260608,92893544,93816248,160.69300842285156,58190.58984375,9229774,6534168.5,39513.93359375,100685928,988.3372192382812,437975.4375,105159824,105961000,12605.3095703125,77379.421875,9967.1884765625,4854.30126953125,63823.73046875,406942.25,6230.80419921875,58762.1875,54854.4453125,4925280.0,2078284.875,37611.921875,235749440,237039312,205266992,206858144,6888,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:49.922,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1387.51,22450138.0,12.0,11.74,22040109.0,3800.0,3803.0,22340093.0,1600.0,1600.23,24020116.0,200.0,200.24,21470060.0,0.0,662197.02,57.48,24.45,1015.59
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10592749,7288630.0,4309395.0,212775.921875,158249296,157219968,120957104,121668880,1764.1319580078125,3115.9814453125,30997.275390625,33709.64453125,39783.80078125,450664.1875,8444.7255859375,2831.689697265625,1345.7021484375,7001.08935546875,11021186,76888.5859375,3045186.0,357884.65625,28652.5546875,26959.0859375,813760320,470101056,473759392,991918272,426889760,420781056,91071192,91610392,213989520,136306384,125176952,766973184,92800448,93719464,160.69911193847656,58210.015625,9232172,6526912.0,38993.015625,100710632,989.3724365234376,437606.71875,105168312,105971072,12612.6572265625,77427.265625,9956.41796875,4840.54296875,63799.56640625,405457.1875,6249.3388671875,58763.41015625,54890.09765625,4922809.5,2076249.125,37659.0,235509872,236795280,204659296,206258944,7189,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:50.223,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1387.89,22450138.0,12.0,11.81,22040109.0,3800.0,3803.17,22340093.0,1600.0,1600.16,24020116.0,200.0,200.72,21470060.0,0.0,661530.99,57.47,24.45,1015.49
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10611336,7281137.0,4302614.0,213216.3125,158255056,157225856,120989672,121701848,1764.633544921875,3113.581787109375,31000.0625,33723.890625,39409.7890625,440038.15625,8479.32421875,2829.299560546875,1346.9722900390625,7003.23583984375,11021795,76829.1015625,3046853.25,358994.96875,28664.025390625,27020.44921875,816232384,471306496,475019200,1013087744,426008960,419872640,91112136,91650640,213864160,136145408,125055584,769067136,92812008,93730240,160.68408203125,58232.18359375,9243866,6522376.5,38920.9375,100721256,988.4315795898438,437492.25,105104296,105906104,12618.9140625,77415.890625,9966.396484375,4856.65576171875,63903.85546875,404891.34375,6226.68017578125,58849.01171875,54632.89453125,4922741.0,2075943.5,37539.28125,235454800,236733440,204433696,206028112,7492,27.36263656616211,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:50.528,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1388.28,22450138.0,12.0,11.88,22040109.0,3800.0,3803.34,22340093.0,1600.0,1600.09,24020116.0,200.0,201.2,21470060.0,0.0,660856.12,57.46,24.45,1015.39
0000000063-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,204b765c-f777-4861-83db-d5a78429aa95,cef005ed-135f-4b62-b67e-4518ada868d3,10630423,7273311.0,4297580.0,212975.28125,158157408,157134144,121012992,121729504,1764.86962890625,3113.97265625,30996.4296875,33696.14453125,39397.98046875,434153.03125,8474.169921875,2832.954345703125,1347.5416259765625,7008.748046875,11022708,76924.375,3045379.5,358298.46875,28643.859375,27104.232421875,830026368,472427360,476211712,1024939968,425023584,418917472,91166648,91706768,214009760,136069264,124997560,773403776,92781440,93699328,160.7051239013672,58227.47265625,9249523,6512643.5,38810.68359375,100735352,990.34765625,437948.90625,105073840,105878112,12621.88671875,77443.1015625,9971.1044921875,4855.8974609375,63766.80859375,405149.0625,6226.38818359375,58618.83203125,54768.015625,4916126.5,2070407.125,37544.078125,235338656,236615888,204042992,205630544,7792,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,68091050,24484,0,46.018653869628906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5Cylinder25ppmRecoveryOffCopy1-100ppb-14RH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 7, 'detail': 'N/A', 'trialnum': 7, 'TrialName': 'MUX off', 'identifier': '6MICN', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-02-19 18:15:50.826,"{'cid': 'd69c1566-f792-4a0b-b34c-ba90f4d299e8', 'uuid': '43d8c15e-93db-4dce-bfd8-9dc4f84bd972', 'annotationId': '204b765c-f777-4861-83db-d5a78429aa95', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1771524947628, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-02-19T18:15:47.858Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1388.0,1387.94,22450138.0,12.0,11.91,22040109.0,3800.0,3803.24,22340093.0,1600.0,1599.78,24020116.0,200.0,200.84,21470060.0,0.0,660196.73,57.45,24.45,1015.29
