component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:16.631Z,E,22.98,16.05,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:17.636Z,E,22.99,16.06,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:18.691Z,E,23.01,16.03,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:19.700Z,E,22.99,16.09,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:20.705Z,E,22.99,16.07,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:21.711Z,E,22.98,16.04,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:22.719Z,E,22.99,16.01,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:23.725Z,E,22.98,16.02,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:24.731Z,E,22.99,16.06,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:25.742Z,E,22.98,16.03,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:26.748Z,E,22.99,16.04,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:27.756Z,E,22.95,16.02,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:28.764Z,E,23.0,16.0,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:29.771Z,E,22.99,15.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:30.777Z,E,22.97,16.04,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:31.833Z,E,22.98,16.0,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:32.839Z,E,22.97,16.0,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:33.847Z,E,23.01,15.96,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:34.852Z,E,22.98,15.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:35.857Z,E,22.98,15.97,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:36.864Z,E,22.98,15.97,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:37.870Z,E,22.97,15.96,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:38.876Z,E,22.99,15.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:39.885Z,E,22.98,15.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:40.890Z,E,22.99,15.99,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:41.896Z,E,23.0,15.94,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:47.985Z,E,22.98,15.93,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:48.990Z,E,22.98,15.95,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:49.995Z,E,22.98,15.98,recoveryOff
