component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:19.364Z,E,23.12,18.38,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:20.371Z,E,23.1,18.27,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:21.380Z,E,23.11,18.16,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:22.390Z,E,23.11,18.05,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:23.396Z,E,23.11,17.97,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:24.454Z,E,23.11,17.88,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:25.461Z,E,23.09,17.81,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:26.465Z,E,23.11,17.7,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:27.471Z,E,23.12,17.62,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:28.477Z,E,23.12,17.59,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:29.483Z,E,23.1,17.5,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:30.489Z,E,23.1,17.43,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:31.495Z,E,23.1,17.42,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:32.501Z,E,23.11,17.35,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:33.506Z,E,23.11,17.3,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:34.563Z,E,23.1,17.27,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:35.570Z,E,23.11,17.22,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:36.575Z,E,23.12,17.21,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:37.581Z,E,23.11,17.13,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:38.587Z,E,23.11,17.1,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:39.594Z,E,23.1,17.1,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:40.601Z,E,23.11,17.02,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:41.606Z,E,23.1,16.98,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:42.611Z,E,23.11,16.96,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:43.618Z,E,23.11,16.87,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:44.674Z,E,23.1,16.9,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:45.679Z,E,23.1,16.83,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:46.684Z,E,23.08,16.78,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:47.689Z,E,23.11,16.78,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:48.696Z,E,23.1,16.71,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:49.706Z,E,23.1,16.68,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:50.711Z,E,23.11,16.66,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:51.717Z,E,23.09,16.66,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:52.723Z,E,23.1,16.6,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:53.729Z,E,23.12,16.55,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:54.736Z,E,23.09,16.58,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:55.793Z,E,23.08,16.52,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:56.798Z,E,23.09,16.53,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:57.804Z,E,23.11,16.46,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:58.808Z,E,23.1,16.43,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:04:59.813Z,E,23.12,16.44,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:00.818Z,E,23.1,16.38,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:01.823Z,E,23.11,16.35,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:02.829Z,E,23.09,16.35,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:03.835Z,E,23.11,16.35,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:04.891Z,E,23.1,16.34,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:05.897Z,E,23.1,16.35,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:06.909Z,E,23.07,16.24,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:07.916Z,E,23.09,16.25,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:08.922Z,E,23.1,16.26,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:09.930Z,E,23.1,16.21,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:10.936Z,E,23.1,16.25,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:11.941Z,E,23.1,16.18,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:12.947Z,E,23.09,16.16,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:13.952Z,E,23.1,16.17,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:14.957Z,E,23.09,16.14,recoveryOff
