component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:10.277Z,E,23.01,18.77,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:11.283Z,E,23.01,18.81,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:12.290Z,E,23.01,18.86,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:13.296Z,E,23.01,18.76,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:14.302Z,E,23.0,18.64,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:15.308Z,E,23.01,18.49,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:16.314Z,E,23.0,18.41,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:17.369Z,E,23.03,18.26,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:18.376Z,E,23.02,18.21,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:19.386Z,E,23.01,18.12,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:20.391Z,E,23.03,18.05,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:21.398Z,E,23.06,18.0,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:22.406Z,E,23.03,17.94,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:23.412Z,E,23.05,17.88,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:24.418Z,E,23.03,17.82,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:25.424Z,E,23.01,17.79,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:26.430Z,E,23.02,17.75,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:27.436Z,E,23.05,17.67,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:28.490Z,E,23.02,17.63,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:29.495Z,E,23.03,17.59,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:35.540Z,E,23.04,17.43,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:36.547Z,E,23.02,17.41,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:37.554Z,E,23.03,17.36,FeNOMeasurement
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:38.560Z,E,23.03,17.32,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:39.565Z,E,23.04,17.29,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:40.621Z,E,23.04,17.32,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:41.627Z,E,23.05,17.25,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:42.633Z,E,23.02,17.22,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:43.639Z,E,23.04,17.21,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:44.645Z,E,23.03,17.16,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:45.651Z,E,23.02,17.13,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:46.657Z,E,23.02,17.14,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:47.664Z,E,23.0,17.1,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:48.669Z,E,23.03,17.06,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:49.675Z,E,23.03,17.05,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:50.732Z,E,23.03,17.02,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:51.737Z,E,23.02,17.04,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:52.743Z,E,23.02,17.03,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:53.749Z,E,23.01,17.02,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:54.754Z,E,23.01,16.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:55.760Z,E,23.04,16.96,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:56.767Z,E,23.04,16.92,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:57.772Z,E,23.02,16.92,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:58.778Z,E,23.01,16.89,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:46:59.786Z,E,23.04,16.89,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:00.842Z,E,22.99,16.85,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:01.851Z,E,23.01,16.8,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:02.859Z,E,23.01,16.85,recoveryOff
