time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.32,BreathSampleCollection,0.06948726602048728,0.4332839456087326,False,False,65,65,81,81
35.32,BreathSampleCollection,0.11091423792592545,0.06765741001549642,False,False,64,64,80,80
36.32,BreathSampleCollection,0.9546159012994984,0.0022655642388569055,False,True,68,68,85,85
37.32,BreathSampleCollection,0.14043187411543773,0.0004509759184234936,False,True,68,68,85,85
38.32,BreathSampleCollection,5.959938370903307e-05,2.1133317540509432e-08,True,True,64,64,80,80
39.32,BreathSampleCollection,1.0331208312744174e-11,1.1489705697636483e-15,True,True,68,68,85,85
40.32,FeNOWindow,1.5975136774677747e-19,2.548509039919251e-22,True,True,68,68,85,85
41.32,FeNOWindow,4.678897805990813e-22,1.588682698610555e-22,True,True,66,66,80,80
42.32,FeNOWindow,9.276620644508312e-20,9.276620644508312e-20,True,True,74,74,85,85
43.32,FeNOWindow,4.168116456070818e-17,4.168116456070818e-17,True,True,77,77,85,85
44.32,FeNOMeasurement,1.6675191027031508e-13,1.6675191027031508e-13,True,True,76,76,80,80
45.32,FeNOMeasurement,3.725540623948764e-12,3.725540623948764e-12,True,True,84,84,85,85
46.32,FeNOMeasurement,1.4426404120037514e-11,1.4426404120037514e-11,True,True,85,85,85,85
47.32,FeNOMeasurement,5.73368595844769e-11,5.73368595844769e-11,True,True,80,80,80,80
48.32,FeNOMeasurement,1.961940054956064e-12,4.2935156849607027e-13,True,True,85,85,85,85
49.32,FeNOMeasurement,7.552936509569826e-14,8.398360491682687e-15,True,True,82,82,83,83
50.32,FeNOMeasurement,4.979168516757595e-12,4.992547024384807e-13,True,True,65,65,63,63
51.32,FeNOMeasurement,5.374511838217513e-11,4.662077291683343e-12,True,True,54,54,48,48
52.32,FeNOMeasurement,1.2131707368015464e-09,8.316846966525129e-11,True,True,42,42,33,33
53.32,FeNOMeasurement,3.3818083937386972e-06,6.208518738318077e-07,True,True,25,25,13,13
54.32,,,,False,False,16,16,0,0
55.32,,,,False,False,17,17,0,0
56.32,,,,False,False,16,16,0,0
57.32,,,,False,False,16,16,0,0
58.32,,,,False,False,17,17,0,0
59.32,,,,False,False,17,17,0,0
60.32,,,,False,False,16,16,0,0
61.32,,,,False,False,17,17,0,0
62.32,,,,False,False,17,17,0,0
63.32,,,,False,False,14,14,0,0
