time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.327,BreathSampleCollection,0.6807177265191953,0.03196205851770733,False,True,65,65,80,80
35.327,BreathSampleCollection,0.7249980645537359,0.029177578381308387,False,True,64,64,80,80
36.327,BreathSampleCollection,0.1065905595483511,0.7816167040423284,False,False,68,68,85,85
37.327,BreathSampleCollection,0.001009019577167962,0.10807866954452464,True,False,67,67,85,85
38.327,BreathSampleCollection,1.2054884869894082e-08,6.979467473381442e-09,True,True,64,64,80,80
39.327,BreathSampleCollection,1.1971338541702254e-17,4.529345691251619e-22,True,True,68,68,85,85
40.327,FeNOWindow,1.1448646516275043e-24,2.695994666207676e-26,True,True,68,68,85,85
41.327,FeNOWindow,5.543043870746855e-23,7.658012774472335e-24,True,True,66,66,80,80
42.327,FeNOWindow,6.799888968065285e-21,5.394057693917936e-23,True,True,74,74,85,85
43.327,FeNOWindow,2.260900771386313e-18,8.45121999303684e-21,True,True,77,77,85,85
44.327,FeNOMeasurement,1.4070860073261575e-14,5.969366280973962e-17,True,True,76,76,80,80
45.327,FeNOMeasurement,4.4989251568493505e-13,8.182246875447309e-15,True,True,84,84,85,85
46.327,FeNOMeasurement,8.918601159704755e-13,4.626648833690525e-14,True,True,85,85,85,85
47.327,FeNOMeasurement,4.9453075578301846e-14,6.2133827496445285e-15,True,True,80,80,80,80
48.327,FeNOMeasurement,3.559610838987285e-18,8.674423944761921e-19,True,True,85,85,85,85
49.327,FeNOMeasurement,1.765858327456836e-20,5.950842200361762e-21,True,True,82,82,85,85
50.327,FeNOMeasurement,8.983599375465274e-19,4.1278039298417205e-20,True,True,65,65,68,68
51.327,FeNOMeasurement,3.6999471863773714e-18,1.5432170721368243e-19,True,True,54,54,57,57
52.327,FeNOMeasurement,2.360503527340588e-15,1.0344897422511917e-15,True,True,42,42,45,45
53.327,FeNOMeasurement,4.748843829626469e-10,4.748843829626469e-10,True,True,25,25,28,28
54.327,,1.0556608808577624e-06,1.0556608808577624e-06,True,True,16,16,17,17
55.327,,2.5540871152431474e-06,2.5540871152431474e-06,True,True,17,17,14,14
56.327,,2.789324500423493e-05,2.789324500423493e-05,True,True,16,16,10,10
57.327,,8.1580375024984e-06,8.1580375024984e-06,True,True,16,16,7,7
58.327,,0.0003341687552213868,0.0003341687552213868,True,True,17,17,4,4
59.327,,,,False,False,17,17,0,0
60.327,,,,False,False,16,16,0,0
61.327,,,,False,False,17,17,0,0
62.327,,,,False,False,17,17,0,0
63.327,,,,False,False,14,14,0,0
