time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.608,BreathSampleCollection,0.0036173415250932072,0.008214739626403433,True,True,72,72,84,84
35.608,BreathSampleCollection,0.31144448386115553,0.0002720570759830186,False,True,71,71,80,80
36.608,BreathSampleCollection,0.10330527154964642,1.8922153575284403e-07,False,True,79,79,85,85
37.608,BreathSampleCollection,0.00016570416769213822,8.006463553743243e-10,True,True,82,82,85,85
38.608,BreathSampleCollection,6.281956690304012e-11,1.1561160510877492e-16,True,True,80,80,80,80
39.608,FeNOWindow,5.063946822524388e-20,2.8281254466634787e-25,True,True,85,85,85,85
40.608,FeNOWindow,3.6063320251205584e-27,3.897939532318314e-29,True,True,85,85,85,85
41.608,FeNOWindow,1.0117992064398197e-27,9.385827100658193e-28,True,True,80,80,80,80
42.608,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
43.608,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
44.608,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
45.608,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
46.608,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
47.608,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
48.608,FeNOMeasurement,3.130003938590977e-29,3.130003938590977e-29,True,True,84,84,85,85
49.608,FeNOMeasurement,2.0773686841568992e-27,2.0773686841568992e-27,True,True,81,81,77,77
50.608,FeNOMeasurement,2.834246476177285e-21,2.834246476177285e-21,True,True,64,64,57,57
51.608,FeNOMeasurement,7.641396892170311e-17,7.641396892170311e-17,True,True,53,53,42,42
52.608,FeNOMeasurement,4.1686355534244205e-12,4.1686355534244205e-12,True,True,41,41,27,27
53.608,FeNOMeasurement,9.824147755182239e-07,9.824147755182239e-07,True,True,23,23,7,7
