normalized_A1,normalized_A2,normalized_A3,normalized_A4,normalized_A5,normalized_A6,normalized_A7,normalized_A8,normalized_B1,normalized_B2,normalized_B3,normalized_B4,normalized_B5,normalized_B6,normalized_B7,normalized_B8,normalized_C1,normalized_C2,normalized_C3,normalized_C4,normalized_C5,normalized_C6,normalized_C7,normalized_C8,normalized_D1,normalized_D2,normalized_D3,normalized_D4,normalized_D5,normalized_D6,normalized_D7,normalized_D8,normalized_E1,normalized_E2,normalized_E3,normalized_E4,normalized_E5,normalized_E6,normalized_E7,normalized_E8,normalized_F1,normalized_F2,normalized_F3,normalized_F4,normalized_F5,normalized_F6,normalized_F7,normalized_F8,normalized_G1,normalized_G2,normalized_G3,normalized_G4,normalized_G5,normalized_G6,normalized_G7,normalized_G8,normalized_H1,normalized_H2,normalized_H3,normalized_H4,normalized_H5,normalized_H6,normalized_H7,normalized_H8
0.0013591239462655835,0.00736510216712194,-0.010407867723875475,-7.008393315632855e-05,0.001929204021633657,-0.0940822852941674,0.0009680093572186355,-0.02395513913035785,0.05561811946679596,-0.007821401442502762,-0.0005494566620249941,-0.014036962714491175,0.008086786376174437,-0.002233419363308786,-0.0019823336874769115,0.013682906790541738,0.016887208929446285,0.01201741489811936,-0.0034744006702668306,0.004234853223599622,-0.0020294759284478214,0.0009138631722067636,-0.00042355010941941273,0.024667007189512757,-0.009392150612236083,0.016882547830316286,0.054897447024683466,0.035551662868265055,3.77512457907514e-05,-0.31609648453801475,0.0011831128046004835,0.02217024284159952,-0.04668337571433212,-0.037488018835739934,-0.023986816400035194,0.010845174331310714,-0.00032377088369406337,-0.04944053620086142,-0.12015591457540264,0.008813945454257954,0.0012008545292621076,-0.06154415980195582,-0.008342338637257973,-0.012480617168546093,-0.0004034611862602233,0.0006577865725712062,-0.0025661310667082216,0.01640890192371014,-0.0033751474749110777,0.0012460303204411272,0.00479702656897385,-3.845489278886394e-05,-0.0014992159595774712,-0.10831459958260059,0.011301609349390507,0.011835009587199963,0.0018203743951845652,0.0028390980909680508,-0.000975705884728062,5.154850097799368e-05,4.9464514223718226e-05,-0.023930494013477133,0.0005507971173592807,0.005588041895229434
0.0008676777320524298,0.006976900018568655,-0.009706223921588597,-5.3984409442486836e-05,0.0017652499327567295,-0.08467727426503247,0.0007805107194391869,-0.028255165263448623,0.05344988240424531,-0.007663219665831278,-0.0005364493578814411,-0.016669896123678085,0.0077954820505778954,-0.002348850806495384,-0.002459200793827443,0.009623971209632654,0.010670590415007064,0.009064066682775929,-0.003841373917608415,0.0037559576890886515,-0.002323448218937374,0.001219723486923785,-0.0006295768372691635,0.022390098178662443,-0.010584601938870342,0.004060759915943679,0.04681562628070668,0.03166047792998494,-0.0013155664717154902,-0.3114715796872962,0.0018298864033698958,0.02107184435821563,-0.031046334862270708,-0.02396729204560466,-0.021014134232287263,0.012098828343203971,0.0035011884670925753,-0.04642386603226967,-0.10905733932887518,0.009669620092510156,-0.002318634259550034,-0.05807225750920042,-0.00873544993337605,-0.012376791438238,-0.000265449950247576,0.0002956276650785128,-0.002261738841996652,0.015546061086241014,-0.0033905364109172442,0.0011496064559948227,0.004363156565285964,-2.2879866524494474e-05,-0.001796143180994192,-0.11258525786292117,0.0018572648469477038,0.011935433036260212,0.001120070767763659,0.0020720453347744527,-0.0010318235106280271,5.625981626455889e-05,4.615410633657113e-05,-0.022672534602929506,0.0026931558631735353,0.003867092990253118
0.0004467104368148789,0.006593825860623959,-0.009076318756959911,-4.079204052187535e-05,0.0016638729971540922,-0.07607491625810947,0.0006845840534621672,-0.03195030568796098,0.050833794338254634,-0.007518385007582173,-0.0005152098424586748,-0.01872722401469884,0.0074049978534123095,-0.0024435895562573418,-0.0028234929046836443,0.0057464012916645935,0.005309334538275756,0.006431382178973655,-0.004165959936237473,0.0032309395150948994,-0.002556381814463049,0.00149257305994821,-0.0008379052909254225,0.020310932823796035,-0.011309097031398707,-0.006196540190276378,0.03989023840982164,0.02819299832629496,-0.0023550414235248285,-0.30538358411393174,0.0023535158840046755,0.019964881190515538,-0.01764368609221989,-0.0123609874740358,-0.018347628746074762,0.013005090448020784,0.006513227143091882,-0.043501913611608156,-0.09913200025291902,0.010291187926463996,-0.005196616126195264,-0.054793090755905105,-0.009051026543259955,-0.012234210364219789,-0.00014613350982173312,3.094874066533748e-05,-0.0019583711259317793,0.014655627204854582,-0.003361366177111025,0.0010965445609543156,0.0040089242979610695,-9.512135371703145e-06,-0.0020410508684207684,-0.11530556893338606,-0.0060114483593225465,0.011931436788133798,0.0005291897997723449,0.0013757736489397043,-0.0010744404215474734,6.0706925316234006e-05,4.201000635184471e-05,-0.021436710422247818,0.00466675582711118,0.0025403783538435754
9.164086023694118e-05,0.006216775087272142,-0.008511387282044036,-3.0278271558659142e-05,0.0016174208656558609,-0.06823698492053731,0.0006706334188451013,-0.03508210732669137,0.04782521709156273,-0.007385821908857615,-0.0004865774690585578,-0.02024525670065014,0.006924950903097304,-0.002518902635670228,-0.00308312043545933,0.0020671750393397303,0.0007478196485681821,0.004101115421058843,-0.004449893345179645,0.002668740026237071,-0.0027335425962461413,0.0017334096440961844,-0.0010468180367287916,0.018419256786320393,-0.011612587130950702,-0.014077678598290455,0.0340352423235708,0.025120758646424823,-0.003109230232858029,-0.2979559792360884,0.002762414677181413,0.018853517683320442,-0.0063214100803289375,-0.0025462312879338533,-0.015968253576655655,0.013593231223062219,0.00877188485810243,-0.04067558213426481,-0.09031231701304632,0.010697260612586357,-0.007476596883832398,-0.05170118461708095,-0.009293698377679571,-0.012055028132276213,-4.44751529097287e-05,-0.00014437746691076114,-0.0016583173249712369,0.013743549815218303,-0.003293147003693986,0.0010824397894921844,0.0037282106216858235,1.7909168839036482e-06,-0.002237157957717839,-0.11659178740358023,-0.012419237334245659,0.011831274493934174,3.9018406936541794e-05,0.0007475414518809398,-0.0011045965133600344,6.487743186012196e-05,3.713662018545172e-05,-0.020224502085046447,0.006472110253280761,0.0015743928959868203
-0.0002021121979974838,0.005846643092496828,-0.008004664548896034,-2.2214547716559174e-05,0.001618241189091707,-0.06112525389945511,0.000729062875144848,-0.037692117102435696,0.04447951248690907,-0.007264454810759657,-0.00045139159098284143,-0.02126030449462868,0.006364958318053393,-0.002576057067809834,-0.0032459938015680923,-0.0013967295446408734,-0.003069575904799504,0.0020550204433773533,-0.004694908763461347,0.0020783005471343152,-0.0028601964455083895,0.001943230992183853,-0.0012545976410205384,0.016704815727643485,-0.011542023478656072,-0.019770981418044453,0.029164596933496156,0.022415293479605136,-0.0036066895229360796,-0.28931224647193365,0.0030649962135769204,0.017741918181451988,0.0030745124972528792,0.005599850345800128,-0.013856962359287128,0.013892521245630007,0.010336701325921682,-0.03794577479562733,-0.08253070927476935,0.01090644980734412,-0.009202082345620255,-0.04879106416773882,-0.009468095347404892,-0.01184139892819236,4.0561832562069355e-05,-0.00023847822389211348,-0.0013638668455726588,0.012815778453000748,-0.0031913891208682488,0.0011028872957812297,0.0035148963911468822,1.1171906456386438e-05,-0.002387683384745487,-0.11656016788308854,-0.017480809142647713,0.011643199804774351,-0.0003591564950170545,0.00018460716201507132,-0.0011233316819398986,6.875893962376978e-05,3.163835375286084e-05,-0.019037390204939775,0.00810973238579038,0.0009356315266688675
-0.0004391299382042746,0.005484325270282087,-0.007549385609570747,-1.6372314159740498e-05,0.0016586816182915243,-0.05470149684200187,0.0008502764819184883,-0.0398218819379903,0.04085204234703288,-0.007153208154390467,-0.00041049156153316613,-0.02180867770973094,0.005734637216700422,-0.002616319875751505,-0.0033200234184237454,-0.004628334457575156,-0.006198473772511481,0.000274851280275934,-0.004902740810107775,0.0014685624024051158,-0.0029416092434713104,0.0021230348570269175,-0.0014595266701410425,0.015157355309172393,-0.011144357315644338,-0.023464774759484608,0.02519226115114037,0.020048137415065614,-0.00387597591698019,-0.2795758672396341,0.0032696739238675665,0.016634247029731375,0.010698100964375623,0.012200131260265756,-0.011994708729226478,0.013932231093025438,0.011267216260348212,-0.03531339479108342,-0.07571959670359985,0.010937367167203726,-0.010416578324717873,-0.04605725448288933,-0.009578847363206133,-0.01159547693775309,0.00011001415866651598,-0.00025948079652116096,-0.0010773090941942343,0.011878262653869598,-0.003061602758835491,0.0011534822339933637,0.003362862461030458,1.87734495600278e-05,-0.0024958460853642395,-0.11532696498149564,-0.021310870849354346,0.01137546637176845,-0.0006740479903624141,-0.00031577080224054477,-0.0011316858231605886,7.233905233472449e-05,2.561961296909665e-05,-0.01787685539554207,0.009580135468749251,0.0005905891558752874
-0.0006239935606997538,0.005130717014612207,-0.00713878551612257,-1.2523016052035096e-05,0.0017310898040849843,-0.04892748739531683,0.001024678298723325,-0.04151294875615108,0.03699816849467341,-0.0070510063808524315,-0.00036471673401117233,-0.021926686659053618,0.005043604717458461,-0.002640958082571032,-0.0033131197014399927,-0.007610661696761611,-0.008694495605251706,-0.0012576380338994442,-0.005075124104145123,0.0008484669166686221,-0.0029830468713560876,0.002273818991441523,-0.0016598876904312387,0.013766621192314199,-0.010466539883045245,-0.025347384732557376,0.022032193888045004,0.017990825042036196,-0.003945646038211348,-0.26887032295735713,0.0033848612387303856,0.015534668572979804,0.016703374644890134,0.017377485288562422,-0.010362446321731333,0.013741631342549576,0.011622969375179704,-0.03277934531602089,-0.06981139896505018,0.010808624348632057,-0.01116359063428407,-0.04349428063754379,-0.009630584335853176,-0.011319416346743272,0.00016491853747724328,-0.00021551245104056704,-0.0008009334772931531,0.010936951953492535,-0.002909298147797723,0.001229819758301387,0.0032659896860232074,2.473816240922133e-05,-0.0025648649954346237,-0.11300843330838661,-0.024024129519191195,0.011036327846029481,-0.0009143691633727302,-0.0007563340224688853,-0.00113069883289596,7.560537372031106e-05,1.918480375051601e-05,-0.01674437827046782,0.010883832746265476,0.0005057606935923165
-0.0007612842657997998,0.004786713719471036,-0.006766099320606345,-1.0438098557385977e-05,0.0018278133973019806,-0.04376499920653887,0.001242672385116883,-0.04280686447971438,0.03297325275256968,-0.006956773931247162,-0.0003149064617188335,-0.02165064165569308,0.004301477938747578,-0.002651238711344206,-0.0032331930660305375,-0.01032673325949851,-0.010613263053703803,-0.002560693464802366,-0.0052137932645993645,0.00022695541454376134,-0.002989775210384349,0.002396581148243593,-0.0018539632682321727,0.012522359038476427,-0.009555522421987983,-0.025607137447208883,0.019598354055752942,0.01621489094974682,-0.003844256509850652,-0.2573190950432699,0.003418971588841746,0.01444734715601892,0.021244352862646698,0.021254786263789294,-0.008941128772059326,0.013349992571503932,0.011463500384214731,-0.03034452956582745,-0.06473853572463217,0.010538833008095994,-0.011486625087477886,-0.04109666770671272,-0.009627936176116236,-0.011015371340947766,0.00020631168106732822,-0.00011470045369232906,-0.0005370294013276045,0.00999779588753813,-0.0027399855179569554,0.0013274950228778781,0.0032181589208117867,2.9208661217694498e-05,-0.0025979590508168338,-0.1097208274733461,-0.02573529221698423,0.010634037878670899,-0.001088833098321973,-0.001139824080253038,-0.0011214106070199792,7.85455075078545e-05,1.2438332012143505e-05,-0.015641439443331295,0.012021337462447823,0.0006476410498055252
-0.0008555832538207353,0.00445321077884242,-0.006424562075076912,-9.889006839958192e-06,0.0019412000487726289,-0.039175805922807116,0.0014946628006557994,-0.04374517603147621,0.028832656943461377,-0.00686943524667738,-0.0002619000979576791,-0.021016853012746473,0.0035178739989878416,-0.002648428785146595,-0.003088153927609305,-0.012759571143084125,-0.012010397768552061,-0.0036525609780866386,-0.005320482910496138,-0.00038703077935087205,-0.002967060141777722,0.0024923190802492723,-0.002040035969884113,0.011414314509066381,-0.00845825617360263,-0.024432359013385363,0.017804700565805964,0.014691869727427864,-0.0036003639551190902,-0.24504566491553936,0.0033804184048786823,0.013376447123669699,0.024475054941496044,0.02395490801904554,-0.007711709715467419,0.01278658535718935,0.010848349001250757,-0.028009850735890907,-0.060433426647858,0.010146604802062198,-0.011429187497458138,-0.0388589407654073,-0.009575532794765307,-0.010685496106151549,0.0002352303015102919,3.4827929281000536e-05,-0.00028788627275522227,0.009066743991674286,-0.0025591750995147544,0.0014421031818951935,0.0032132510200826303,3.232756220028499e-05,-0.00259834718737173,-0.10558040208595931,-0.026559066007559085,0.01017685012080638,-0.0012061528794836684,-0.0014689825571756465,-0.0011048610414065019,8.114705742467976e-05,5.484603669447807e-06,-0.014569519527747099,0.012993162861404617,0.00098272513450115
-0.0009114717250782167,0.004131103586710649,-0.00610740883158889,-1.0647186063694747e-05,0.0020635974093263787,-0.0351216811912608,0.0017710536048975989,-0.044369430334232796,0.024631742890087516,-0.006787914768244918,-0.00020653699602957154,-0.020061631043309935,0.0027024100165993215,-0.0026337953270537673,-0.0028859127015895547,-0.014892197344816727,-0.012941521400480549,-0.004551486539405625,-0.005396927660861528,-0.0009845503403960176,-0.0029201675467573907,0.0025620305402742627,-0.0022163883617284386,0.010432233265491142,-0.007221692379018374,-0.02201137554103305,0.01656519232974607,0.013393295964309049,-0.0032425249972378722,-0.23217351399233277,0.0032776151175175627,0.012326132820753566,0.02654950020528868,0.025600724387431217,-0.006655142787213353,0.012080680276907785,0.009837054940086354,-0.025776212021598854,-0.05682849140023993,0.009650551386997108,-0.011034783677383642,-0.03677562488863817,-0.00947800410257027,-0.010331944828139705,0.0002527111108792113,0.00022494543163698033,-5.579349803352951e-05,0.008149745801568908,-0.0023723771226732415,0.0015692393895261336,0.0032451468385221727,3.423748157094231e-05,-0.0025692483409591738,-0.10070341175581099,-0.026610157955741287,0.009673018223548935,-0.0012750415911312318,-0.0017465510348197988,-0.0010820900319292726,8.339762719833388e-05,-1.5719753615472953e-06,-0.013530099137329055,0.013799822187244404,0.0014775078576647616
