time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.599,BreathSampleCollection,2.338293940269967e-05,0.6129932689140698,True,False,68,68,84,84
35.599,BreathSampleCollection,0.005260868488578545,0.07143296137942577,True,False,67,67,80,80
36.599,BreathSampleCollection,0.6517387554503998,4.7221304861534394e-05,False,True,75,75,85,85
37.599,BreathSampleCollection,0.0015369397903589861,8.808637043636674e-09,True,True,78,78,85,85
38.599,BreathSampleCollection,2.166296640078154e-11,1.9696526164269e-18,True,True,77,77,80,80
39.599,FeNOWindow,2.065759548787422e-23,8.144535958777952e-29,True,True,85,85,85,85
40.599,FeNOWindow,1.8808580818568368e-28,2.139981728306518e-29,True,True,85,85,85,85
41.599,FeNOWindow,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
42.599,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
43.599,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
44.599,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
45.599,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
46.599,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
47.599,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
48.599,FeNOMeasurement,3.130003938590977e-29,3.130003938590977e-29,True,True,84,84,85,85
49.599,FeNOMeasurement,4.302536391360101e-27,4.302536391360101e-27,True,True,79,79,77,77
50.599,FeNOMeasurement,5.624325247093792e-21,5.624325247093792e-21,True,True,62,62,57,57
51.599,FeNOMeasurement,1.9255471205705717e-16,1.9255471205705717e-16,True,True,50,50,42,42
52.599,FeNOMeasurement,6.885548839488151e-12,6.885548839488151e-12,True,True,39,39,27,27
53.599,FeNOMeasurement,9.824147755182239e-07,9.824147755182239e-07,True,True,23,23,7,7
54.599,,,,False,False,16,16,0,0
