time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.32,BreathSampleCollection,0.18561504257338968,0.00015792075709164603,False,True,81,81,80,80
35.32,BreathSampleCollection,0.18832032173346225,4.770559511464948e-07,False,True,80,80,80,80
36.32,BreathSampleCollection,0.06192791783265462,3.8035354577041184e-06,False,True,85,85,85,85
37.32,BreathSampleCollection,0.011487148005875537,0.03303003960675786,True,True,85,85,85,85
38.32,BreathSampleCollection,0.00019541378845041116,0.15521344644919302,True,False,80,80,80,80
39.32,BreathSampleCollection,8.599698544054416e-09,5.764605371576701e-07,True,True,85,85,85,85
40.32,FeNOWindow,2.5234778993459365e-13,9.824910519749894e-15,True,True,85,85,85,85
41.32,FeNOWindow,4.59017618137029e-17,1.9259842687763532e-23,True,True,80,80,80,80
42.32,FeNOWindow,2.5298233810528776e-21,1.4238383149032405e-28,True,True,85,85,85,85
43.32,FeNOWindow,3.624576714128637e-24,2.139981728306518e-29,True,True,85,85,85,85
44.32,FeNOMeasurement,2.6630697851198877e-24,9.385827100658193e-28,True,True,80,80,80,80
45.32,FeNOMeasurement,4.4714447451521245e-26,2.139981728306518e-29,True,True,85,85,85,85
46.32,FeNOMeasurement,2.0096737517213217e-26,2.139981728306518e-29,True,True,85,85,85,85
47.32,FeNOMeasurement,5.248853101790066e-25,9.385827100658193e-28,True,True,80,80,80,80
48.32,FeNOMeasurement,8.116310737423478e-26,2.139981728306518e-29,True,True,85,85,85,85
49.32,FeNOMeasurement,5.909945584861752e-25,4.5987696325339433e-29,True,True,83,83,85,85
50.32,FeNOMeasurement,8.633652708228331e-20,5.903557853151204e-23,True,True,63,63,68,68
51.32,FeNOMeasurement,2.86397011910416e-16,1.412241546730486e-18,True,True,48,48,57,57
52.32,FeNOMeasurement,2.0789568493234144e-12,6.169610342812845e-14,True,True,33,33,45,45
53.32,FeNOMeasurement,1.1686597207965152e-06,3.6760434077737095e-07,True,True,13,13,28,28
54.32,,,,False,False,0,0,17,17
