time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.327,BreathSampleCollection,0.006951891795764995,0.015457103311146539,True,True,65,65,67,67
35.327,BreathSampleCollection,0.21642762262836723,0.007183778299827401,False,True,64,64,70,70
36.327,BreathSampleCollection,0.24157966075692938,6.450748978160751e-05,False,True,68,68,78,78
37.327,BreathSampleCollection,0.0030909088183052134,1.5871482220195165e-06,True,True,67,67,81,81
38.327,BreathSampleCollection,2.7251877669908884e-08,8.407585778240878e-13,True,True,64,64,80,80
39.327,BreathSampleCollection,1.508863870179883e-16,1.593207164542884e-22,True,True,68,68,85,85
40.327,FeNOWindow,9.771630938848184e-24,3.411982563332372e-26,True,True,68,68,85,85
41.327,FeNOWindow,1.8551176247795753e-22,1.2357887362871192e-23,True,True,66,66,80,80
42.327,FeNOWindow,9.276620644508312e-20,8.731970438171884e-22,True,True,74,74,85,85
43.327,FeNOWindow,4.168116456070818e-17,9.51077904239154e-19,True,True,77,77,85,85
44.327,FeNOMeasurement,1.6675191027031508e-13,2.4441310702734342e-14,True,True,76,76,80,80
45.327,FeNOMeasurement,3.725540623948764e-12,1.6229310247523232e-12,True,True,84,84,85,85
46.327,FeNOMeasurement,1.4426404120037514e-11,1.1631008424806802e-11,True,True,85,85,85,85
47.327,FeNOMeasurement,1.0487966887464327e-11,1.5966348438627845e-12,True,True,80,80,80,80
48.327,FeNOMeasurement,1.122704352477197e-15,1.1323487115321611e-16,True,True,85,85,85,85
49.327,FeNOMeasurement,6.546968700939512e-18,4.787356086364708e-19,True,True,82,82,85,85
50.327,FeNOMeasurement,1.0199461402727207e-16,5.619870116571589e-18,True,True,65,65,68,68
51.327,FeNOMeasurement,1.6493850896286948e-16,6.20768358155438e-18,True,True,54,54,57,57
52.327,FeNOMeasurement,1.922436220238689e-15,1.0344897422511917e-15,True,True,42,42,45,45
53.327,FeNOMeasurement,6.740249487901766e-10,6.740249487901766e-10,True,True,25,25,27,27
54.327,,9.272574815604625e-06,9.272574815604625e-06,True,True,16,16,12,12
55.327,,4.2006470223637863e-05,4.2006470223637863e-05,True,True,17,17,9,9
56.327,,9.828492800629023e-05,9.828492800629023e-05,True,True,16,16,5,5
57.327,,,,False,False,16,16,2,2
58.327,,,,False,False,17,17,0,0
59.327,,,,False,False,17,17,0,0
60.327,,,,False,False,16,16,0,0
61.327,,,,False,False,17,17,0,0
62.327,,,,False,False,17,17,0,0
63.327,,,,False,False,14,14,0,0
