time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.327,BreathSampleCollection,1.6014652937225105e-07,0.8597865419857391,True,False,64,64,65,65
35.327,BreathSampleCollection,0.00013887166927394013,0.38040804210642876,True,False,67,67,64,64
36.327,BreathSampleCollection,0.6488711752963486,0.0046846799529607856,False,True,74,74,68,68
37.327,BreathSampleCollection,0.018922353801514566,4.101732098122075e-05,True,True,74,74,67,67
38.327,BreathSampleCollection,3.0188871427409287e-08,1.3439379582261943e-13,True,True,76,76,64,64
39.327,BreathSampleCollection,7.874357514638382e-19,2.4902497346376334e-25,True,True,84,84,68,68
40.327,FeNOWindow,4.455512421785626e-25,3.6444749660023584e-26,True,True,84,84,68,68
41.327,FeNOWindow,1.784628614817343e-22,3.104561385925666e-25,True,True,80,80,66,66
42.327,FeNOWindow,3.55613980292756e-20,1.8235355682320674e-27,True,True,85,85,74,74
43.327,FeNOWindow,4.733893186104435e-18,5.110455305522398e-28,True,True,85,85,77,77
44.327,FeNOMeasurement,4.594747122081153e-15,2.476693545933395e-26,True,True,80,80,76,76
45.327,FeNOMeasurement,2.24403499512302e-14,5.248493020687974e-27,True,True,85,85,84,84
46.327,FeNOMeasurement,1.0318472252982369e-14,2.656308650757966e-27,True,True,85,85,85,85
47.327,FeNOMeasurement,5.350491598176186e-16,7.032331546149937e-26,True,True,80,80,80,80
48.327,FeNOMeasurement,6.564995787124836e-20,1.2116963850797879e-27,True,True,85,85,85,85
49.327,FeNOMeasurement,1.067082097245055e-21,2.6229613205666942e-27,True,True,83,83,82,82
50.327,FeNOMeasurement,8.06145467617625e-20,8.322372477905964e-23,True,True,66,66,65,65
51.327,FeNOMeasurement,7.744606967244745e-19,2.3203357169537287e-19,True,True,55,55,54,54
52.327,FeNOMeasurement,2.1415753651772275e-15,2.1415753651772275e-15,True,True,43,43,42,42
53.327,FeNOMeasurement,9.69797407628411e-10,9.69797407628411e-10,True,True,26,26,25,25
54.327,,1.0556608808577624e-06,1.0556608808577624e-06,True,True,17,17,16,16
55.327,,2.5540871152431474e-06,2.5540871152431474e-06,True,True,14,14,17,17
56.327,,2.789324500423493e-05,2.789324500423493e-05,True,True,10,10,16,16
57.327,,8.1580375024984e-06,8.1580375024984e-06,True,True,7,7,16,16
58.327,,0.0003341687552213868,0.0003341687552213868,True,True,4,4,17,17
59.327,,,,False,False,0,0,17,17
60.327,,,,False,False,0,0,16,16
61.327,,,,False,False,0,0,17,17
62.327,,,,False,False,0,0,17,17
63.327,,,,False,False,0,0,14,14
