time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.599,BreathSampleCollection,1.2153159105208657e-05,2.7242154769772273e-06,True,True,68,68,85,85
35.599,BreathSampleCollection,0.0019749055053528354,3.8499374151898246e-08,True,True,67,67,80,80
36.599,BreathSampleCollection,0.9047401251506316,4.886937650194913e-13,False,True,75,75,85,85
37.599,BreathSampleCollection,0.007752605996378821,1.1946464516957872e-16,True,True,78,78,85,85
38.599,BreathSampleCollection,1.5973068058952351e-09,4.154571987977397e-23,True,True,77,77,80,80
39.599,FeNOWindow,9.269066469337387e-20,2.139981728306518e-29,True,True,85,85,85,85
40.599,FeNOWindow,8.982432404235085e-27,2.139981728306518e-29,True,True,85,85,85,85
41.599,FeNOWindow,1.0117992064398197e-27,9.385827100658193e-28,True,True,80,80,80,80
42.599,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
43.599,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
44.599,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
45.599,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
46.599,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
47.599,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
48.599,FeNOMeasurement,3.130003938590977e-29,3.130003938590977e-29,True,True,84,84,85,85
49.599,FeNOMeasurement,4.302536391360101e-27,4.302536391360101e-27,True,True,79,79,77,77
50.599,FeNOMeasurement,5.624325247093792e-21,5.624325247093792e-21,True,True,62,62,57,57
51.599,FeNOMeasurement,1.9255471205705717e-16,1.9255471205705717e-16,True,True,50,50,42,42
52.599,FeNOMeasurement,6.885548839488151e-12,6.885548839488151e-12,True,True,39,39,27,27
53.599,FeNOMeasurement,9.824147755182239e-07,9.824147755182239e-07,True,True,23,23,7,7
54.599,,,,False,False,16,16,0,0
