time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.327,BreathSampleCollection,0.5080017279947541,9.2261278693747e-05,False,True,65,65,80,80
35.327,BreathSampleCollection,0.6337751834737377,0.0010282729732696272,False,True,64,64,80,80
36.327,BreathSampleCollection,0.5145782820809512,0.09087222625976007,False,False,68,68,85,85
37.327,BreathSampleCollection,0.12977445561608472,0.8294887463173382,False,False,67,67,84,84
38.327,BreathSampleCollection,0.005106716806455176,0.041314068019507696,True,True,64,64,80,80
39.327,BreathSampleCollection,2.0688484994523684e-05,0.0001218238704757515,True,True,68,68,85,85
40.327,FeNOWindow,2.0844847577189615e-08,1.1574648236987695e-07,True,True,68,68,85,85
41.327,FeNOWindow,7.71899451287494e-12,2.911068083603635e-11,True,True,66,66,80,80
42.327,FeNOWindow,5.233244158119602e-14,1.0096153789400152e-13,True,True,74,74,85,85
43.327,FeNOWindow,8.564480891510373e-16,6.87680310674274e-16,True,True,77,77,85,85
44.327,FeNOMeasurement,1.6675191027031508e-13,1.6675191027031508e-13,True,True,76,76,80,80
45.327,FeNOMeasurement,3.725540623948764e-12,3.725540623948764e-12,True,True,84,84,85,85
46.327,FeNOMeasurement,1.4426404120037514e-11,1.4426404120037514e-11,True,True,85,85,85,85
47.327,FeNOMeasurement,5.73368595844769e-11,5.73368595844769e-11,True,True,80,80,80,80
48.327,FeNOMeasurement,1.4426404120037514e-11,1.4426404120037514e-11,True,True,85,85,85,85
49.327,FeNOMeasurement,9.756654158537936e-11,9.756654158537936e-11,True,True,82,82,82,82
50.327,FeNOMeasurement,7.383681297407659e-07,7.383681297407659e-07,True,True,65,65,62,62
51.327,FeNOMeasurement,4.74151539673323e-05,1.3791158671340841e-05,True,True,54,54,47,47
52.327,FeNOMeasurement,0.0008582905176766996,0.0002625526690032983,True,True,42,42,32,32
53.327,FeNOMeasurement,0.05769731672339217,0.02217703308576368,False,True,25,25,12,12
54.327,,,,False,False,16,16,0,0
55.327,,,,False,False,17,17,0,0
56.327,,,,False,False,16,16,0,0
57.327,,,,False,False,16,16,0,0
58.327,,,,False,False,17,17,0,0
59.327,,,,False,False,17,17,0,0
60.327,,,,False,False,16,16,0,0
61.327,,,,False,False,17,17,0,0
62.327,,,,False,False,17,17,0,0
63.327,,,,False,False,14,14,0,0
