time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.599,BreathSampleCollection,0.0001393149535355648,0.001119525965583081,True,True,68,68,85,85
35.599,BreathSampleCollection,0.010909586568331896,1.0037666546300919e-05,True,True,67,67,80,80
36.599,BreathSampleCollection,0.40218278688783915,1.971364832377705e-08,False,True,75,75,85,85
37.599,BreathSampleCollection,0.7712935931863021,3.305210535636235e-10,False,True,78,78,85,85
38.599,BreathSampleCollection,0.2171162011348967,6.157921630982005e-11,False,True,77,77,80,80
39.599,FeNOWindow,0.03764156112367682,2.145323472196296e-12,True,True,85,85,85,85
40.599,FeNOWindow,0.003568628436933387,5.600000199965025e-14,True,True,85,85,85,85
41.599,FeNOWindow,0.0005359757241591467,1.270010166099694e-15,True,True,80,80,80,80
42.599,FeNOWindow,7.3912428957447e-05,9.481056262568982e-20,True,True,85,85,84,84
43.599,FeNOWindow,1.4161020651683057e-05,6.338371160457939e-22,True,True,85,85,85,85
44.599,FeNOMeasurement,9.978710809366751e-06,5.660060185657315e-22,True,True,80,80,80,80
45.599,FeNOMeasurement,1.1111446719575916e-05,3.1900336217158457e-24,True,True,85,85,85,85
46.599,FeNOMeasurement,4.219089963361479e-05,5.9800233108298285e-25,True,True,85,85,85,85
47.599,FeNOMeasurement,0.0005063735676893627,1.0900776046798207e-23,True,True,80,80,81,81
48.599,FeNOMeasurement,0.0012615036747428302,4.965165118613125e-25,True,True,84,84,84,84
49.599,FeNOMeasurement,0.0038021517383104624,3.556543873510329e-24,True,True,79,79,81,81
50.599,FeNOMeasurement,0.023113604009731004,1.0488094876032954e-19,True,True,62,62,64,64
51.599,FeNOMeasurement,0.042451586062719315,1.061244477647184e-16,True,True,50,50,53,53
52.599,FeNOMeasurement,0.042256695998720166,1.1600215055829278e-13,True,True,39,39,41,41
53.599,FeNOMeasurement,0.03184843124488715,4.598905880205989e-09,True,True,23,23,25,25
54.599,,0.0007431125250616019,1.5449101737495915e-06,True,True,16,16,16,16
