time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.612,BreathSampleCollection,0.31284111840200335,1.1541797575633272e-12,False,True,72,72,85,85
35.612,BreathSampleCollection,0.6968376574930861,1.2118736131045859e-12,False,True,71,71,80,80
36.612,BreathSampleCollection,0.10612184650045312,7.259115063297844e-15,False,True,79,79,85,85
37.612,BreathSampleCollection,0.002222296173892463,7.886666993591787e-16,True,True,82,82,85,85
38.612,BreathSampleCollection,1.63506222205455e-07,1.1637531247945498e-19,True,True,80,80,80,80
39.612,FeNOWindow,1.898010105240714e-14,3.553922857404482e-25,True,True,85,85,85,85
40.612,FeNOWindow,6.149104734783385e-22,1.1154689955683478e-28,True,True,85,85,85,85
41.612,FeNOWindow,5.833500977688196e-27,9.385827100658193e-28,True,True,80,80,80,80
42.612,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
43.612,FeNOWindow,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
44.612,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
45.612,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
46.612,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
47.612,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
48.612,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
49.612,FeNOMeasurement,2.0773686841568992e-27,2.0773686841568992e-27,True,True,81,81,77,77
50.612,FeNOMeasurement,2.834246476177285e-21,2.834246476177285e-21,True,True,64,64,57,57
51.612,FeNOMeasurement,7.641396892170311e-17,7.641396892170311e-17,True,True,53,53,42,42
52.612,FeNOMeasurement,4.1686355534244205e-12,4.1686355534244205e-12,True,True,41,41,27,27
53.612,FeNOMeasurement,1.2814105767629005e-06,1.2814105767629005e-06,True,True,22,22,7,7
