time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.32,BreathSampleCollection,0.2868139224201115,0.283225947992239,False,False,64,64,81,81
35.32,BreathSampleCollection,0.4350938802715344,0.12564111562904276,False,False,66,66,80,80
36.32,BreathSampleCollection,0.4484816721355144,0.802318600695429,False,False,74,74,85,85
37.32,BreathSampleCollection,0.018516468078427425,0.01834839681800639,True,True,76,76,85,85
38.32,BreathSampleCollection,1.0909738138884344e-05,1.5271807854415858e-07,True,True,76,76,80,80
39.32,BreathSampleCollection,1.2644325687879152e-12,4.236815445102447e-17,True,True,84,84,85,85
40.32,FeNOWindow,5.850151782455668e-20,8.004877036970171e-25,True,True,85,85,85,85
41.32,FeNOWindow,3.912680277840212e-24,9.385827100658193e-28,True,True,80,80,80,80
42.32,FeNOWindow,1.8808580818568368e-28,2.139981728306518e-29,True,True,85,85,85,85
43.32,FeNOWindow,2.2967361138218756e-29,2.139981728306518e-29,True,True,85,85,85,85
44.32,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
45.32,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
46.32,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
47.32,FeNOMeasurement,9.385827100658193e-28,9.385827100658193e-28,True,True,80,80,80,80
48.32,FeNOMeasurement,2.139981728306518e-29,2.139981728306518e-29,True,True,85,85,85,85
49.32,FeNOMeasurement,9.708125692337245e-29,9.708125692337245e-29,True,True,83,83,83,83
50.32,FeNOMeasurement,1.2036645687605733e-22,1.2036645687605733e-22,True,True,66,66,63,63
51.32,FeNOMeasurement,2.7018151646367636e-18,2.7018151646367636e-18,True,True,55,55,48,48
52.32,FeNOMeasurement,1.0843648870144187e-13,1.0843648870144187e-13,True,True,43,43,33,33
53.32,FeNOMeasurement,5.16762516211617e-07,5.16762516211617e-07,True,True,26,26,13,13
54.32,,,,False,False,17,17,0,0
