"timestamp_iso","field_1","field_2","field_3","field_4","field_5","field_6","field_7","field_8","field_9","field_10","field_11","field_12","field_13","field_14","field_15","field_16","field_17","field_18","field_19","field_20","field_21","field_22","field_23","field_24","field_25","field_26","field_27","field_28","field_29","field_30","field_31","field_32","field_33","field_34","field_35","field_36"
2026-04-05T03:10:23.072Z,"10000","508152","1000000","118490","220588","699375","13185","194461","17688","45397","601744","84693","1000000","312901","9229","277179","190621","18612","131824","9517","83232","56946","52486","26238","164119","14038","19716","802780","295771","36139","97107","443115","1000000","31","39.07","100102_3747_0700410"
2026-04-05T03:10:24.042Z,"10000","507835","1000000","118510","220101","699004","13189","194416","17678","45351","602032","84743","1000000","313086","9231","276891","190514","18607","131922","9525","83269","56949","52488","26239","164152","14026","19713","803685","295771","36154","97208","442700","1000000","30.99","39.07","100102_3747_0700410"
2026-04-05T03:10:25.010Z,"10000","508911","1000000","118475","220675","699852","13195","194537","17688","45390","602616","84735","1000000","313025","9232","277044","190736","18616","131990","9519","83249","56958","52497","26241","164156","14027","19707","803591","295551","36154","97193","442952","1000000","31.01","39.1","100102_3747_0700410"
2026-04-05T03:10:25.978Z,"10000","508435","1000000","118423","220348","699902","13189","194291","17694","45408","601770","84746","1000000","312968","9232","276809","190603","18604","131914","9520","83241","56950","52491","26239","164141","14027","19700","803907","295677","36130","97179","443111","1000000","30.98","39.11","100102_3747_0700410"
2026-04-05T03:10:26.946Z,"10000","509381","1000000","118435","220241","699822","13191","194379","17687","45342","601894","84703","1000000","312803","9221","276480","190510","18623","131904","9521","83234","56957","52485","26241","164109","14027","19706","803822","295385","36139","97119","442754","1000000","30.99","39.11","100102_3747_0700410"
2026-04-05T03:10:27.915Z,"10000","508326","1000000","118515","219863","700661","13191","194357","17682","45402","602144","84713","1000000","312792","9226","276419","190632","18605","131865","9511","83220","56952","52479","26232","164093","14026","19701","802720","295428","36132","97115","442690","1000000","31.02","39.09","100102_3747_0700410"
2026-04-05T03:10:28.883Z,"10000","507575","1000000","118445","220156","699970","13188","194438","17685","45436","602646","84710","1000000","312626","9223","276636","190416","18601","131757","9517","83174","56947","52475","26234","164075","14021","19711","803910","295734","36120","97087","442614","1000000","30.98","39.07","100102_3747_0700410"
2026-04-05T03:10:29.850Z,"10000","507672","1000000","118645","220216","699434","13183","194485","17680","45406","602302","84694","1000000","312709","9225","277439","190497","18617","131796","9514","83226","56955","52484","26232","164080","14019","19709","803435","295334","36123","97126","442613","1000000","30.96","39.06","100102_3747_0700410"
2026-04-05T03:10:30.818Z,"10000","506370","1000000","118459","220126","698909","13181","194539","17683","45410","602314","84714","1000000","312706","9222","276439","190585","18617","131735","9518","83247","56945","52478","26237","164062","14032","19702","804010","295557","36129","97065","442634","1000000","30.99","39.07","100102_3747_0700410"
2026-04-05T03:10:31.781Z,"10000","507032","1000000","118361","220353","699328","13188","194883","17685","45387","602680","84710","1000000","312506","9224","277505","190463","18614","131809","9520","83273","56951","52472","26233","164061","14021","19703","803329","295333","36117","97092","443134","1000000","30.98","39.07","100102_3747_0700410"
2026-04-05T03:10:32.749Z,"10000","506388","1000000","118519","220110","699583","13182","194599","17679","45319","602293","84691","1000000","312650","9227","277416","190566","18626","131780","9517","83296","56952","52474","26233","164044","14017","19708","803177","295549","36120","97058","442558","1000000","31.01","39.06","100102_3747_0700410"
2026-04-05T03:10:33.717Z,"10000","508315","1000000","118647","220253","698020","13181","194221","17677","45372","602226","84688","1000000","312642","9226","276910","190446","18624","131735","9514","83261","56948","52468","26231","164039","14026","19709","803168","295046","36129","97026","443128","1000000","30.97","39.05","100102_3747_0700410"
2026-04-05T03:10:34.685Z,"10000","507243","1000000","118450","220418","699840","13181","194434","17685","45382","602414","84681","1000000","312577","9216","277280","190566","18605","131753","9520","83267","56951","52466","26234","164023","14018","19696","802978","295522","36118","97023","442721","1000000","31.02","39.02","100102_3747_0700410"
2026-04-05T03:10:35.646Z,"10000","506613","1000000","118540","220215","698693","13179","194299","17687","45380","602671","84681","1000000","312528","9221","276279","190728","18622","131708","9513","83288","56949","52472","26227","164032","14027","19709","803706","295290","36109","97053","443020","1000000","31.01","39","100102_3747_0700410"
2026-04-05T03:10:36.607Z,"10000","507289","1000000","118672","220477","698567","13184","194450","17676","45365","602539","84685","1000000","312592","9219","276406","190739","18631","131770","9516","83268","56945","52459","26229","164017","14019","19698","802726","295023","36127","97015","442528","1000000","31","39","100102_3747_0700410"
2026-04-05T03:10:37.579Z,"10000","506722","1000000","118418","219690","699263","13181","194517","17686","45407","602776","84686","1000000","312680","9222","276613","190647","18612","131796","9517","83229","56947","52471","26233","164028","14017","19687","802831","295013","36129","97064","442643","1000000","31.01","38.99","100102_3747_0700410"
2026-04-05T03:10:38.372Z,"10000","507348","1000000","118473","219664","698716","13183","194308","17685","45392","602310","84689","1000000","312884","9222","276790","190539","18620","131814","9516","83251","56950","52462","26220","164010","14024","19698","802979",,,,,,,,
