"timestamp_iso","field_1","field_2","field_3","field_4","field_5","field_6","field_7","field_8","field_9","field_10","field_11","field_12","field_13","field_14","field_15","field_16","field_17","field_18","field_19","field_20","field_21","field_22","field_23","field_24","field_25","field_26","field_27","field_28","field_29","field_30","field_31","field_32","field_33","field_34","field_35","field_36"
2026-04-05T03:10:11.464Z,"10000","506495","1000000","118330","220196","700799","13180","194535","17688","45434","602551","84732","1000000","312523","9221","276486","190634","18626","131823","9519","83184","56946","52477","26237","164097","14027","19704","803252","295575","36142","97050","443259","1000000","30.98","39.03","100102_3747_0700410"
2026-04-05T03:10:12.430Z,"10000","507169","1000000","118349","220768","700055","13189","194386","17691","45413","602743","84745","1000000","312901","9228","277342","190569","18617","131854","9515","83188","56951","52485","26240","164120","14029","19702","803025","295526","36142","97078","442831","1000000","31","39.05","100102_3747_0700410"
2026-04-05T03:10:13.400Z,"10000","507128","1000000","118391","220382","698975","13192","194599","17682","45401","602562","84742","1000000","312698","9225","277354","190557","18617","131908","9520","83235","56956","52487","26247","164150","14024","19713","803330","295360","36139","97115","442719","1000000","30.98","39.05","100102_3747_0700410"
2026-04-05T03:10:14.368Z,"10000","506915","1000000","118335","220429","700023","13180","194310","17691","45385","602173","84711","1000000","312781","9224","276794","190614","18636","131890","9521","83246","56957","52481","26241","164133","14028","19710","803424","295575","36140","97152","443411","1000000","30.97","39.06","100102_3747_0700410"
2026-04-05T03:10:15.336Z,"10000","506649","1000000","118363","220109","700153","13191","194222","17685","45392","602332","84717","1000000","312975","9227","277107","190664","18616","131896","9520","83281","56951","52484","26234","164114","14032","19715","803619","295681","36138","97135","443715","1000000","30.98","39.08","100102_3747_0700410"
2026-04-05T03:10:16.304Z,"10000","507122","1000000","118504","220658","699193","13187","194402","17685","45385","602338","84734","1000000","312956","9228","277029","190593","18614","131825","9520","83259","56962","52480","26237","164107","14020","19699","802161","295477","36131","97090","444055","1000000","31.01","39.09","100102_3747_0700410"
2026-04-05T03:10:17.272Z,"10000","506958","1000000","118530","219670","699359","13188","194334","17685","45372","602442","84717","1000000","312684","9227","276786","190513","18623","131885","9519","83221","56957","52483","26234","164106","14027","19710","804237","295769","36122","97109","443413","1000000","30.97","39.06","100102_3747_0700410"
2026-04-05T03:10:18.240Z,"10000","508397","1000000","118595","220124","698291","13189","194264","17680","45399","602465","84714","1000000","312780","9228","277108","190584","18608","131877","9518","83265","56950","52478","26236","164095","14022","19696","803584","295657","36118","97080","443372","1000000","31.01","39.07","100102_3747_0700410"
2026-04-05T03:10:19.208Z,"10000","506739","1000000","118299","220236","699171","13182","194516","17684","45345","602209","84689","1000000","312883","9224","276745","190530","18590","131814","9523","83231","56950","52481","26235","164077","14025","19708","803712","295608","36128","97097","443533","1000000","30.99","39.06","100102_3747_0700410"
2026-04-05T03:10:20.171Z,"10000","507124","1000000","118578","219984","699706","13180","194487","17687","45367","602591","84697","1000000","312801","9224","276727","190612","18598","131805","9524","83224","56941","52470","26238","164071","14023","19708","803867","295669","36121","97103","443202","1000000","31.01","39.04","100102_3747_0700410"
2026-04-05T03:10:21.139Z,"10000","507680","1000000","118545","219898","699912","13189","194473","17683","45403","602144","84702","1000000","312914","9225","276506","190369","18613","131860","9516","83207","56939","52474","26239","164084","14026","19708","803583","295684","36129","97080","443266","1000000","30.99","39.06","100102_3747_0700410"
2026-04-05T03:10:22.107Z,"10000","506738","1000000","118408","219887","699672","13185","194354","17685","45428","602092","84729","1000000","312943","9229","276805","190636","18617","131807","9522","83266","56946","52481","26240","164110","14024","19705","803338","295333","36129","97118","443617","1000000","31.02","39.04","100102_3747_0700410"
