component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.8281097412109,1049.8624267578125,5.643083572387695,6010.0205078125,6446.52197265625,4535.78515625,7876.08154296875,7030.22412109375,998.3465576171876,17538.626953125,730.4649047851562,685.7853393554688,582.3601684570312,696.5859375,586.9094848632812,837.50830078125,344.2843933105469,3131.233642578125,1468.9678955078125,487.9330139160156,64260.18359375,46582.82421875,15378.7548828125,14413.138671875,488.7621765136719,149.35777282714844,390.5343627929688,297.9583435058594,118.48681640625,142.32273864746094,139.6957550048828,172.30995178222656,342.8789367675781,302.0194091796875,315.7118225097656,280.0931396484375,1498.159423828125,1151.060791015625,441.3250732421875,545.5137939453125,378.79827880859375,771.3768920898438,14397.44921875,14841.9677734375,449.70892333984375,1170.126953125,463.5012817382813,198.7987060546875,50957.0,49992.828125,52883.859375,56580.6875,231.85633850097656,565.0812377929688,414.3714599609375,277.3121643066406,18661.1796875,17310.630859375,14615.3203125,16516.25,8100.17822265625,8539.9365234375,8654.5732421875,7663.66650390625,9242,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,22.92400932312012,21.936864852905277,1011.5797729492188,196391.953125,4.489187240600586,0,8153223,True,BME690,18517,0,0,0,8148860,24484,0,25.135690689086918,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:22.302,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.2,21470046.0,300.0,298.34,000000000DFEC3B8,15.0,15.22,22160332.0,-0.03,3700.0,3696.48,000000000DFEC3B1,22.64,16.34,1600.0,1597.84,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.85269165039065,1046.6376953125,5.649423122406006,6009.822265625,6446.7919921875,4535.25146484375,7875.83544921875,7029.62109375,998.962158203125,17515.76953125,730.3560791015625,685.1981811523438,582.0153198242188,696.4797973632812,586.73193359375,837.5393676757812,344.32232666015625,3119.49755859375,1466.841064453125,488.1022033691406,64261.4140625,46580.0390625,15379.26953125,14413.798828125,489.77392578125,149.3766326904297,390.66839599609375,297.9832763671875,118.49881744384766,142.36993408203125,139.6394500732422,172.31460571289062,342.8705749511719,302.03338623046875,315.69097900390625,280.0746765136719,1498.15625,1151.0977783203125,441.3051452636719,545.5109252929688,378.61767578125,771.7948608398438,14398.7705078125,14847.017578125,449.5050048828125,1170.4464111328125,464.0934143066406,198.85189819335935,50955.109375,49991.2890625,52886.3828125,56586.4921875,231.8264312744141,565.257568359375,413.97015380859375,277.4224548339844,18662.40234375,17315.13671875,14614.5673828125,16516.498046875,8100.13037109375,8539.103515625,8654.546875,7663.45263671875,9543,27.28205108642578,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,22.92467498779297,21.93683433532715,1011.5829467773438,194815.703125,4.48935079574585,0,8153663,True,BME690,18518,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:22.606,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.2,21470046.0,300.0,298.34,000000000DFEC3B8,15.0,15.22,22160332.0,-0.03,3700.0,3696.48,000000000DFEC3B1,22.64,16.34,1600.0,1597.84,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.83116149902344,1047.4952392578125,5.650673866271973,6009.7998046875,6446.96435546875,4534.52734375,7876.1484375,7030.29296875,998.4568481445312,17561.1484375,730.9058837890625,685.6646118164062,581.9029541015625,696.8067626953125,586.8187255859375,836.5250854492188,344.46209716796875,3152.00439453125,1465.296142578125,487.7405700683594,64268.453125,46580.12890625,15378.51171875,14413.6474609375,489.1442260742188,149.38587951660156,390.1974792480469,298.1908264160156,118.52526092529295,142.35000610351562,139.67869567871094,172.2918701171875,342.8837890625,302.0135192871094,315.73297119140625,280.08709716796875,1498.1822509765625,1151.1556396484375,441.3878173828125,545.5142211914062,378.7091064453125,771.3786010742188,14398.5771484375,14845.921875,449.9479675292969,1170.328369140625,464.0384826660156,198.84048461914065,50956.3046875,49988.53515625,52878.45703125,56587.25390625,231.8640594482422,565.2276611328125,413.9984436035156,277.0736694335937,18661.662109375,17312.50390625,14614.208984375,16515.96484375,8100.181640625,8539.66796875,8654.9716796875,7663.22314453125,9845,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,22.92500686645508,21.942901611328125,1011.5804443359376,195338.296875,4.490677833557129,0,8154104,True,BME690,18519,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:22.907,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.32,21470046.0,300.0,298.42,000000000DFEC3B8,15.0,15.15,22160332.0,-0.03,3700.0,3697.69,000000000DFEC3B1,22.64,16.34,1600.0,1597.84,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.8302764892578,1047.153564453125,5.6670427322387695,6009.80712890625,6447.18359375,4536.16845703125,7876.4189453125,7030.05712890625,998.0646362304688,17659.064453125,730.2928466796875,686.2392578125,582.1376953125,697.0570678710938,586.7191162109375,836.8348999023438,344.0151672363281,3125.32373046875,1465.49658203125,487.6614379882813,64278.421875,46580.3203125,15380.3876953125,14413.2958984375,489.4739074707031,149.35836791992188,390.2096557617188,298.1279296875,118.51116180419922,142.37510681152344,139.67481994628906,172.25567626953125,342.8782043457031,302.0119323730469,315.7263488769531,280.0850524902344,1498.17724609375,1151.1387939453125,441.2993469238281,545.5410766601562,378.6598510742188,773.8665771484375,14401.0029296875,14848.53125,450.21142578125,1170.6046142578125,463.7571716308594,198.8347320556641,50952.99609375,49985.84375,52874.99609375,56586.83203125,231.8490295410156,565.3921508789062,414.1396789550781,277.4472961425781,18658.251953125,17315.23828125,14616.1650390625,16516.671875,8100.42578125,8539.525390625,8654.1640625,7663.42236328125,10145,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,22.92500686645508,21.942901611328125,1011.5804443359376,195338.296875,4.490677833557129,0,8154104,True,BME690,18519,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:23.208,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.46,21470046.0,300.0,298.52,000000000DFEC3B8,15.0,15.08,22160332.0,-0.02,3700.0,3699.27,000000000DFEC3B1,22.64,16.35,1600.0,1597.84,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.836181640625,1047.0181884765625,5.628044128417969,6010.7548828125,6446.79541015625,4536.2158203125,7876.462890625,7030.544921875,998.3958129882812,17625.60546875,730.918701171875,686.009033203125,581.9165649414062,696.6241455078125,586.7777709960938,835.6552124023438,344.0939636230469,3149.89501953125,1465.7904052734375,487.6042785644531,64273.76171875,46580.33203125,15381.0625,14411.1357421875,490.0863037109375,149.41673278808594,390.7587890625,298.1112670898437,118.5317153930664,142.38661193847656,139.65634155273438,172.3190155029297,342.879638671875,302.0103454589844,315.7284545898437,280.0957946777344,1498.2708740234375,1151.189697265625,441.3250427246094,545.5247192382812,378.59710693359375,772.0917358398438,14395.9912109375,14844.5029296875,449.5924072265625,1169.2110595703125,463.1235046386719,198.91310119628903,50954.99609375,49994.75,52874.828125,56583.78125,231.8249969482422,565.3694458007812,414.1014099121094,277.4317321777344,18664.8125,17312.96875,14609.7490234375,16516.76953125,8100.06787109375,8540.3544921875,8654.7197265625,7663.57421875,10446,27.44322204589844,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,22.92500686645508,21.942901611328125,1011.5820922851562,195338.296875,4.490677833557129,0,8154544,True,BME690,18520,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:23.509,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.6,21470046.0,300.0,298.63,000000000DFEC3B8,15.0,15.0,22160332.0,-0.01,3700.0,3700.84,000000000DFEC3B1,22.64,16.35,1600.0,1597.84,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.866943359375,1048.0313720703125,5.645702838897705,6009.43798828125,6446.86083984375,4535.69970703125,7876.24365234375,7030.47998046875,999.3716430664062,17608.53515625,730.4539794921875,685.154296875,581.7730102539062,696.2265014648438,586.6353759765625,837.1310424804688,344.1273803710937,3151.809326171875,1465.6640625,487.7676696777344,64271.0859375,46577.1640625,15379.302734375,14413.390625,489.4689331054688,149.3844451904297,390.2150573730469,298.1750183105469,118.50765228271484,142.3909149169922,139.6973876953125,172.31065368652344,342.8818359375,302.0120544433594,315.6917419433594,280.1006774902344,1498.28369140625,1151.164306640625,441.3420104980469,545.50439453125,378.7222900390625,772.8262329101562,14402.6767578125,14851.126953125,449.8792114257813,1172.432861328125,463.1347351074219,198.83822631835935,50952.28125,49996.30078125,52870.703125,56583.5078125,231.79933166503903,565.3355102539062,413.9196166992188,277.4161376953125,18657.603515625,17314.33984375,14614.0458984375,16516.1328125,8099.99951171875,8540.7900390625,8654.7060546875,7663.318359375,10748,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,22.92567253112793,21.94895362854004,1011.5177612304688,195338.296875,4.492087841033936,0,8154984,True,BME690,18521,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:23.812,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.6,21470046.0,300.0,298.73,000000000DFEC3B8,15.0,14.96,22160332.0,-0.01,3700.0,3701.32,000000000DFEC3B1,22.64,16.36,1600.0,1597.93,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.8784637451172,1046.7481689453125,5.640597820281982,6009.8828125,6446.25341796875,4536.61279296875,7876.07177734375,7029.7724609375,997.8478393554688,17726.95703125,730.6127319335938,686.67041015625,581.5076293945312,696.6965942382812,586.6943359375,836.7633056640625,343.7275390625,3147.684326171875,1465.894775390625,487.4141845703125,64278.4296875,46575.43359375,15379.5966796875,14412.703125,489.5926513671875,149.4147186279297,390.68695068359375,298.1079406738281,118.51887512207033,142.39007568359375,139.68426513671875,172.29234313964844,342.8729248046875,302.0404052734375,315.7142639160156,280.1121826171875,1498.1343994140625,1151.1484375,441.3030700683594,545.50537109375,378.6352233886719,771.9126586914062,14398.884765625,14856.3818359375,449.0079040527344,1170.156982421875,463.4347229003906,198.96859741210935,50950.40625,49993.109375,52872.1171875,56584.89453125,231.83924865722656,565.2860107421875,413.9697570800781,277.48974609375,18658.138671875,17313.353515625,14614.625,16515.513671875,8099.56982421875,8542.181640625,8654.9130859375,7663.56591796875,11051,27.36263656616211,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,22.92567253112793,21.94895362854004,1011.5177612304688,195338.296875,4.492087841033936,0,8154984,True,BME690,18521,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:24.120,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.43,21470046.0,300.0,298.83,000000000DFEC3B8,15.0,14.96,22160332.0,-0.01,3700.0,3700.28,000000000DFEC3B1,22.64,16.38,1600.0,1598.12,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.8831024169922,1046.731201171875,5.650660037994385,6009.88623046875,6446.56298828125,4536.2412109375,7876.6865234375,7030.96826171875,1001.6524047851562,17561.9140625,730.4676513671875,686.8095703125,581.8582763671875,696.47900390625,587.091552734375,837.4507446289062,344.0449523925781,3158.6083984375,1465.3297119140625,487.51953125,64279.0390625,46574.86328125,15379.1708984375,14413.5341796875,488.8512573242188,149.3751983642578,390.8837890625,298.16021728515625,118.54025268554688,142.37213134765625,139.6826171875,172.27639770507812,342.8787841796875,301.9878234863281,315.6834716796875,280.06103515625,1498.235107421875,1151.0509033203125,441.3374633789063,545.5697631835938,378.6276245117188,772.0952758789062,14399.0966796875,14852.029296875,449.1670837402344,1172.81298828125,463.1783142089844,198.8349609375,50951.01171875,49995.875,52876.90234375,56588.4296875,231.8143615722656,565.3989868164062,413.7965698242188,277.31866455078125,18660.228515625,17312.068359375,14614.68359375,16515.943359375,8099.85986328125,8541.84765625,8654.935546875,7663.419921875,11350,27.36263656616211,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,22.92600440979004,21.948938369750977,1011.4607543945312,195338.296875,4.492170333862305,0,8155424,True,BME690,18522,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:24.413,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.27,21470046.0,300.0,298.93,000000000DFEC3B8,15.0,14.97,22160332.0,-0.01,3700.0,3699.29,000000000DFEC3B1,22.63,16.41,1600.0,1598.31,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.88070678710935,1047.4720458984375,5.641869068145752,6009.32763671875,6446.67626953125,4537.087890625,7876.44482421875,7030.501953125,994.9401245117188,17425.7734375,731.015625,686.6788940429688,581.8616333007812,696.8067016601562,587.189208984375,837.4351196289062,344.147705078125,3146.046875,1465.6060791015625,487.7845153808594,64283.22265625,46572.01953125,15378.7998046875,14412.6416015625,489.5384521484375,149.40025329589844,390.3964538574219,298.3330383300781,118.49476623535156,142.34605407714844,139.67520141601562,172.2803955078125,342.83746337890625,302.01812744140625,315.7493896484375,280.1040344238281,1498.0504150390625,1151.06396484375,441.3147888183594,545.5682983398438,378.6339721679688,771.8214111328125,14398.3427734375,14854.990234375,449.5009460449219,1175.180419921875,463.3822021484375,198.78111267089844,50955.45703125,49994.6875,52881.1171875,56585.5390625,231.80484008789065,565.6270751953125,413.8787841796875,277.2325134277344,18659.376953125,17309.951171875,14613.890625,16516.759765625,8099.98828125,8542.623046875,8654.4326171875,7663.392578125,11651,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,22.92633628845215,21.955005645751957,1011.4120483398438,194989.578125,4.493496894836426,0,8155864,True,BME690,18523,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:24.718,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.14,21470046.0,300.0,299.01,000000000DFEC3B8,15.0,14.97,22160332.0,-0.01,3700.0,3698.35,000000000DFEC3B1,22.63,16.44,1600.0,1598.48,22450161.0
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d82bc0f0-6ea9-4f09-bcdd-f013bd9295af,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,203.8819732666016,1045.9637451171875,5.636810302734375,6010.1220703125,6446.35400390625,4535.23974609375,7875.78564453125,7029.8779296875,1000.9234619140624,17537.291015625,730.4337768554688,687.125,581.9309692382812,697.4793701171875,586.730712890625,837.4189453125,344.1197509765625,3160.4580078125,1469.5186767578125,487.9493408203125,64279.3125,46572.7578125,15378.29296875,14412.5869140625,489.142822265625,149.3908233642578,390.9976501464844,298.21258544921875,118.50788116455078,142.3473663330078,139.668701171875,172.2806854248047,342.8545227050781,302.0453491210937,315.7364807128906,280.14044189453125,1498.080322265625,1151.040283203125,441.344482421875,545.5452880859375,378.7648620605469,771.4221801757812,14402.8994140625,14851.654296875,449.5203857421875,1171.3582763671875,463.4216003417969,198.9391021728516,50957.78125,49995.6015625,52876.30078125,56583.6171875,231.8041229248047,565.3681030273438,414.2428588867188,277.2884521484375,18659.53125,17312.212890625,14614.3212890625,16517.529296875,8099.63330078125,8540.7783203125,8654.734375,7663.34423828125,11952,27.44322204589844,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,22.92633628845215,21.955005645751957,1011.4120483398438,194989.578125,4.493496894836426,0,8155864,True,BME690,18523,0,0,0,8153862,24484,0,24.117576599121094,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:48:25.016,"{'cid': '547c43eb-64b3-4f20-8efd-af068bf9e750', 'uuid': '13abd7ba-645d-4ee3-920c-d972328cb5e2', 'annotationId': 'd82bc0f0-6ea9-4f09-bcdd-f013bd9295af', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413301749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:48:21.962Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1385.0,1383.3,21470046.0,300.0,298.93,000000000DFEC3B8,15.0,14.97,22160332.0,-0.0,3700.0,3698.53,000000000DFEC3B1,22.63,16.45,1600.0,1598.45,22450161.0
