component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.6356201171875,1042.0953369140625,5.649408340454102,6012.5107421875,6450.158203125,4539.984375,7879.560546875,7033.05859375,1000.7489013671876,17421.453125,730.190673828125,685.9408569335938,580.9205932617188,695.70556640625,586.7512817382812,838.4431762695312,343.92706298828125,3149.688232421875,1470.931884765625,487.9568786621094,64316.1484375,46611.94140625,15381.94921875,14413.587890625,489.4119262695313,149.33648681640625,390.68951416015625,298.3752136230469,118.40711212158205,142.22821044921875,139.60202026367188,172.20150756835938,342.9330139160156,302.0514831542969,315.846923828125,280.0761108398437,1499.059326171875,1151.651123046875,441.3822021484375,545.614501953125,378.5079040527344,770.4797973632812,14420.53125,14846.9658203125,448.9230346679688,1168.5767822265625,462.90472412109375,198.8396453857422,50974.46875,50022.58984375,52913.953125,56614.59375,231.77587890625,565.8292236328125,414.0160827636719,277.6156311035156,18670.955078125,17313.20703125,14616.71484375,16517.140625,8103.7451171875,8546.205078125,8658.0712890625,7665.4892578125,9300,27.28205108642578,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,22.76505470275879,22.321107864379883,1011.6148681640624,195338.296875,4.526493072509766,0,7973125,True,BME690,18108,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:22.273,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,16.36,-0.01,3700.0,3696.78,000000000DFEC3B1,0.0,0.01,22160332.0,1600.0,1596.72,22450161.0,1400.0,1397.92,21470046.0,300.0,305.66,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.67025756835935,1043.1468505859375,5.638083457946777,6012.71923828125,6450.58056640625,4539.6533203125,7879.61669921875,7032.56201171875,999.2952880859376,17372.373046875,730.0287475585938,685.1720581054688,580.59765625,698.348876953125,586.3750610351562,837.4793701171875,343.67169189453125,3147.597900390625,1469.77978515625,487.7702941894531,64312.76953125,46609.84375,15381.599609375,14413.8935546875,489.78857421875,149.31570434570312,390.87158203125,298.4231262207031,118.37696075439452,142.24453735351562,139.58718872070312,172.2401885986328,342.9699401855469,302.0364685058594,315.8089294433594,280.0928039550781,1498.9129638671875,1151.6312255859375,441.3923645019531,545.511962890625,378.3042602539063,770.6337280273438,14421.701171875,14838.9208984375,448.9233703613281,1167.67431640625,462.8002014160156,198.8423767089844,50978.4453125,50022.33984375,52913.66015625,56614.68359375,231.7182159423828,565.4898071289062,413.7819213867188,277.5666809082031,18668.43359375,17315.31640625,14616.22265625,16518.666015625,8103.734375,8545.5859375,8658.3056640625,7666.2578125,9601,27.04029083251953,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.76572036743164,22.327157974243164,1011.6163940429688,195863.71875,4.527891635894775,0,7973565,True,BME690,18109,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:22.572,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,16.36,-0.01,3700.0,3696.78,000000000DFEC3B1,0.0,0.01,22160332.0,1600.0,1596.72,22450161.0,1400.0,1397.92,21470046.0,300.0,305.66,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.6452178955078,1043.331298828125,5.645644664764404,6012.53466796875,6450.45556640625,4539.31494140625,7880.4306640625,7032.62109375,998.9678344726562,17495.294921875,729.9258422851562,684.8455200195312,580.7006225585938,697.9471435546875,587.0609741210938,836.6832885742188,343.7326354980469,3139.8203125,1471.57470703125,487.744384765625,64317.45703125,46608.52734375,15382.0751953125,14414.5478515625,489.156982421875,149.28775024414062,390.7072448730469,298.1956787109375,118.3837432861328,142.21463012695312,139.6337127685547,172.24851989746094,342.93365478515625,302.0709228515625,315.7769470214844,280.1259155273437,1498.8248291015625,1151.66259765625,441.37640380859375,545.5509643554688,378.4755859375,772.5194091796875,14422.076171875,14853.6171875,449.4213562011719,1171.5146484375,463.0937805175781,198.9964141845703,50978.94140625,50023.65625,52914.21875,56613.33203125,231.7635498046875,565.3959350585938,413.67236328125,277.6214294433594,18672.505859375,17314.390625,14616.802734375,16518.07421875,8103.5380859375,8544.7646484375,8658.1708984375,7666.4013671875,9902,27.04029083251953,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,22.7667179107666,22.333192825317383,1011.6187744140624,196391.953125,4.529374599456787,0,7974005,True,BME690,18110,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:22.874,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.59,16.35,-0.01,3700.0,3697.71,000000000DFEC3B1,0.0,0.02,22160332.0,1600.0,1597.08,22450161.0,1400.0,1397.92,21470046.0,300.0,305.66,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.661376953125,1041.5802001953125,5.643096446990967,6012.9140625,6450.55126953125,4539.86865234375,7879.69287109375,7032.74560546875,1000.40673828125,17401.33203125,730.2407836914062,685.7728881835938,580.46826171875,697.5342407226562,586.4115600585938,836.6137084960938,343.6045837402344,3143.506591796875,1469.8212890625,487.8723754882813,64323.109375,46608.38671875,15382.6240234375,14413.9599609375,489.4866333007813,149.30349731445312,390.29302978515625,298.0928649902344,118.39604949951172,142.2122344970703,139.5847625732422,172.20831298828125,342.9184875488281,302.0624389648437,315.7881164550781,280.10577392578125,1498.835693359375,1151.752197265625,441.3852233886719,545.5830078125,378.27093505859375,771.5999145507812,14423.435546875,14849.9130859375,448.96197509765625,1169.158203125,463.0560302734375,198.8214874267578,50980.55078125,50025.23046875,52914.578125,56615.83984375,231.78175354003903,565.1456298828125,413.6308288574219,277.7817687988281,18668.912109375,17312.912109375,14617.9482421875,16518.421875,8103.40087890625,8545.67578125,8658.37109375,7666.4150390625,10203,27.04029083251953,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,22.7667179107666,22.333192825317383,1011.615478515625,195513.125,4.529374599456787,0,7974445,True,BME690,18111,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:23.174,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.59,16.35,-0.01,3700.0,3699.48,000000000DFEC3B1,0.0,0.02,22160332.0,1600.0,1597.77,22450161.0,1400.0,1397.92,21470046.0,300.0,305.66,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.6685333251953,1044.686767578125,5.639372825622559,6012.296875,6450.45556640625,4539.6396484375,7880.17138671875,7032.9794921875,1001.6492309570312,17435.34375,730.0151977539062,685.2105102539062,580.6932373046875,696.1317138671875,586.4996948242188,836.4253540039062,343.5209655761719,3147.109375,1474.8720703125,488.0431213378906,64317.6328125,46605.640625,15382.4453125,14414.068359375,489.0708312988281,149.26846313476562,390.3529357910156,298.3962707519531,118.40086364746094,142.2145538330078,139.57594299316406,172.21913146972656,342.9248046875,302.06591796875,315.789794921875,280.1029052734375,1498.9453125,1151.755615234375,441.3991088867188,545.5960083007812,378.2827453613281,770.8287963867188,14418.4072265625,14847.4775390625,449.4019470214844,1171.496337890625,462.9089050292969,198.8136444091797,50985.57421875,50022.4296875,52909.796875,56613.02734375,231.78347778320312,565.0261840820312,413.7886047363281,277.6174011230469,18669.3125,17312.99609375,14616.328125,16518.69140625,8103.6044921875,8545.5791015625,8658.1357421875,7666.51220703125,10504,27.120880126953125,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.7667179107666,22.333192825317383,1011.615478515625,195513.125,4.529374599456787,0,7974445,True,BME690,18111,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:23.476,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.59,16.37,-0.01,3700.0,3701.26,000000000DFEC3B1,0.0,0.03,22160332.0,1600.0,1598.46,22450161.0,1400.0,1397.92,21470046.0,300.0,305.66,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.66624450683597,1045.632568359375,5.665771961212158,6012.8564453125,6451.00634765625,4538.68896484375,7879.97119140625,7033.19482421875,997.7634887695312,17450.8984375,730.1664428710938,685.3151245117188,580.5164184570312,696.4216918945312,586.8328247070312,835.8656005859375,343.570068359375,3145.880615234375,1473.4071044921875,488.04290771484375,64312.921875,46604.171875,15383.0693359375,14414.4150390625,489.8493347167969,149.32980346679688,390.5419921875,298.257568359375,118.3661651611328,142.26905822753906,139.62734985351562,172.2383270263672,342.9289245605469,302.044921875,315.7931823730469,280.0989074707031,1498.9566650390625,1151.8001708984375,441.3729248046875,545.5473022460938,378.4937438964844,772.8921508789062,14421.19921875,14850.3330078125,449.3095397949219,1168.049560546875,462.9706115722656,198.7760162353516,50981.4453125,50019.97265625,52907.82421875,56607.265625,231.8355407714844,565.7078857421875,413.9051818847656,277.50128173828125,18671.720703125,17311.1171875,14616.8994140625,16518.38671875,8103.548828125,8545.580078125,8658.4345703125,7666.1865234375,10805,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,22.76704978942871,22.33317756652832,1011.6146240234376,194468.84375,4.529456615447998,0,7974885,True,BME690,18112,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:23.776,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,16.39,-0.0,3700.0,3702.71,000000000DFEC3B1,0.0,0.04,22160332.0,1600.0,1599.04,22450161.0,1400.0,1397.99,21470046.0,300.0,305.02,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.6622314453125,1044.34033203125,5.622991561889648,6012.41357421875,6450.62646484375,4538.88671875,7879.64501953125,7032.91064453125,1000.5785522460938,17442.1640625,730.3568725585938,684.8572998046875,580.7286376953125,694.9562377929688,586.7710571289062,835.6087036132812,343.6395568847656,3141.72021484375,1472.5703125,488.1399536132813,64319.3046875,46603.2578125,15383.630859375,14413.970703125,489.9738464355469,149.34469604492188,390.4929504394531,298.22296142578125,118.3680191040039,142.24331665039062,139.58853149414062,172.2007293701172,342.9529724121094,302.0736083984375,315.7916259765625,280.0967102050781,1498.988525390625,1151.7578125,441.3655090332031,545.595703125,378.4562683105469,772.0595092773438,14422.7822265625,14847.859375,449.0650329589844,1171.115234375,462.4485168457031,198.73031616210935,50975.08984375,50021.33203125,52912.70703125,56609.30859375,231.80479431152344,565.2218017578125,413.8377075195313,277.410400390625,18671.662109375,17311.927734375,14616.0361328125,16518.2734375,8103.98828125,8545.3388671875,8658.48828125,7666.27587890625,11106,27.201465606689453,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,22.767383575439453,22.339242935180664,1011.5510864257812,195513.125,4.530774116516113,0,7975325,True,BME690,18113,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:24.078,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,16.4,-0.01,3700.0,3702.55,000000000DFEC3B1,0.0,0.03,22160332.0,1600.0,1599.04,22450161.0,1400.0,1398.33,21470046.0,300.0,301.28,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.6466064453125,1043.7569580078125,5.617895603179932,6011.88232421875,6450.24169921875,4539.1748046875,7880.32373046875,7033.34228515625,1000.6116943359376,17469.439453125,730.0137939453125,686.4661865234375,580.8486328125,696.7297973632812,586.5482177734375,835.1130981445312,343.7920227050781,3139.73095703125,1470.9639892578125,487.880859375,64316.46484375,46603.86328125,15383.8681640625,14414.08203125,490.2396240234375,149.33493041992188,390.5588684082031,298.3063049316406,118.36599731445312,142.25994873046875,139.6163330078125,172.22525024414062,342.9212646484375,302.0555419921875,315.7723083496094,280.0878295898437,1498.963134765625,1151.702392578125,441.36236572265625,545.5684204101562,378.55859375,772.457275390625,14418.3359375,14845.765625,448.9247131347656,1169.345947265625,462.98236083984375,198.74935913085935,50976.5703125,50020.9453125,52910.91796875,56611.87890625,231.8064727783203,565.5115356445312,413.4554748535156,277.5200500488281,18671.43359375,17313.47265625,14616.693359375,16517.298828125,8103.72509765625,8544.3330078125,8658.6328125,7666.19970703125,11407,27.28205108642578,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,22.767383575439453,22.339242935180664,1011.5510864257812,195513.125,4.530774116516113,0,7975325,True,BME690,18113,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:24.380,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.58,16.42,-0.01,3700.0,3702.39,000000000DFEC3B1,0.0,0.03,22160332.0,1600.0,1599.04,22450161.0,1400.0,1398.68,21470046.0,300.0,297.55,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.64620971679688,1044.349365234375,5.661940097808838,6011.75048828125,6450.76025390625,4538.39697265625,7880.29931640625,7033.30517578125,1001.7023315429688,17554.345703125,729.6832885742188,685.0733642578125,580.3834838867188,697.0125732421875,586.383056640625,834.0761108398438,343.4472045898437,3139.265380859375,1470.4375,487.481689453125,64316.328125,46603.5234375,15383.630859375,14413.853515625,489.876953125,149.29312133789062,390.3814392089844,298.11346435546875,118.40245056152344,142.23861694335938,139.59349060058594,172.2101287841797,342.9519348144531,302.0655822753906,315.8081359863281,280.0934143066406,1499.0615234375,1151.6927490234375,441.333984375,545.5567626953125,378.3326721191406,771.1871948242188,14417.1484375,14847.2021484375,449.0231628417969,1170.24560546875,462.425537109375,198.8142242431641,50975.1328125,50020.3671875,52908.21875,56616.14453125,231.7518615722656,565.2691650390625,414.1596374511719,277.8499450683594,18672.373046875,17313.287109375,14615.5380859375,16516.689453125,8103.7275390625,8544.7802734375,8658.7294921875,7666.509765625,11709,27.120880126953125,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,22.76771545410156,22.3392276763916,1011.4974365234376,196745.71875,4.530857563018799,0,7975765,True,BME690,18114,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:24.681,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.59,16.45,-0.01,3700.0,3702.23,000000000DFEC3B1,0.0,0.02,22160332.0,1600.0,1599.04,22450161.0,1400.0,1399.03,21470046.0,300.0,293.82,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,333ef77c-2f7d-4b9d-9af6-593bf400cde5,f07410b8-5d79-460a-bd0e-b42e6a0f7a3f,203.67495727539065,1043.8575439453125,5.61789608001709,6012.02587890625,6450.8955078125,4538.83544921875,7879.97119140625,7032.60888671875,999.5923461914062,17481.5078125,729.8667602539062,685.7907104492188,580.8871459960938,696.7318115234375,586.5648193359375,835.554443359375,343.7381286621094,3133.05859375,1470.9168701171875,487.856201171875,64311.05859375,46603.23046875,15383.564453125,14414.318359375,489.96966552734375,149.34805297851562,390.5792846679688,298.2534484863281,118.38162994384766,142.2254638671875,139.61756896972656,172.22447204589844,342.9181823730469,302.0987854003906,315.8078308105469,280.11639404296875,1499.015869140625,1151.6024169921875,441.383056640625,545.5172729492188,378.3384094238281,771.4603881835938,14422.4716796875,14845.5751953125,449.15478515625,1170.889404296875,462.8984680175781,198.8536834716797,50977.82421875,50025.796875,52905.79296875,56617.86328125,231.8050537109375,564.9664306640625,413.5331115722656,277.6114196777344,18668.994140625,17314.4453125,14610.7353515625,16516.689453125,8103.68994140625,8546.7900390625,8658.5751953125,7666.029296875,12009,27.201465606689453,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,22.76838111877441,22.333118438720703,1011.4495239257812,195163.78125,4.52979040145874,0,7976205,True,BME690,18115,0,0,0,7973551,24484,0,24.088132858276367,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:45:24.981,"{'cid': '84571c63-9063-4444-bcad-1af6c65709cb', 'uuid': 'e1e0f4f5-5ac7-4d54-a3ba-0c03e07ec4e7', 'annotationId': '333ef77c-2f7d-4b9d-9af6-593bf400cde5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773413121788, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:45:22.026Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.59,16.47,-0.01,3700.0,3702.07,000000000DFEC3B1,0.0,0.03,22160332.0,1600.0,1599.1,22450161.0,1400.0,1399.37,21470046.0,300.0,295.96,000000000DFEC3B8
