component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,T0_093225,H0_093225,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.2183074951172,1050.387451171875,5.6456298828125,6015.7978515625,6454.373046875,4540.5302734375,7886.40869140625,7038.7568359375,1000.2850952148438,17266.44921875,732.441162109375,685.913330078125,582.8444213867188,698.2972412109375,587.67236328125,840.2427978515625,343.9513854980469,3167.212890625,1478.1580810546875,488.7067565917969,64370.31640625,46647.09375,15386.5625,14418.0869140625,489.6141662597656,149.31275939941406,390.7232055664063,298.3489685058594,118.4998550415039,142.35812377929688,139.63551330566406,172.27806091308594,343.0653076171875,302.1783447265625,315.9190979003906,280.1468505859375,1499.99609375,1152.4786376953125,441.3822326660156,545.5845336914062,379.1111450195313,773.5219116210938,14428.171875,14855.4365234375,450.69622802734375,1171.12939453125,463.824462890625,199.09552001953125,51010.26171875,50066.6796875,52944.70703125,56661.68359375,232.0494537353516,565.4894409179688,414.0884399414063,277.8329162597656,18680.0078125,17319.9296875,14621.841796875,16520.408203125,8109.47705078125,8551.296875,8665.2421875,7672.30224609375,9175,27.120880126953125,28.571428298950195,0,0,0,0,0,0,0,0,0,0,0,1,22.583816528320312,22.766775131225582,1011.7301635742188,197993.953125,4.569211006164551,0,7793472,True,BME690,17700,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:22.246,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.36,21470046.0,1600.0,1595.68,22450161.0,22.49,16.48,60.0,59.48,22160332.0,300.0,298.05,000000000DFEC3B8,3700.0,3699.61,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.20286560058597,1050.984619140625,5.663254261016846,6016.24853515625,6454.65185546875,4542.1357421875,7886.84375,7038.99755859375,997.891845703125,17322.10546875,732.3856811523438,686.2880859375,582.719970703125,698.1085815429688,587.3314208984375,839.0241088867188,344.0254821777344,3130.224365234375,1477.2769775390625,488.7933654785156,64375.80078125,46649.109375,15387.013671875,14417.0400390625,490.6532897949219,149.3842010498047,391.05572509765625,298.22528076171875,118.49627685546876,142.3455352783203,139.6066436767578,172.2633819580078,343.06903076171875,302.1630554199219,315.90167236328125,280.1520690917969,1500.142333984375,1152.4620361328125,441.3864440917969,545.5892333984375,379.02154541015625,774.9332275390625,14420.8369140625,14851.544921875,449.6071472167969,1172.0701904296875,464.3651123046875,199.10906982421875,51010.46484375,50066.06640625,52942.55078125,56656.1328125,232.04771423339844,565.2679443359375,414.33489990234375,277.89508056640625,18686.375,17317.216796875,14621.7099609375,16520.443359375,8109.85546875,8551.0693359375,8665.0849609375,7672.19775390625,9475,27.120880126953125,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.583816528320312,22.766775131225582,1011.7301635742188,197993.953125,4.569211006164551,0,7793472,True,BME690,17700,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:22.543,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.36,21470046.0,1600.0,1595.68,22450161.0,22.49,16.48,60.0,59.48,22160332.0,300.0,298.05,000000000DFEC3B8,3700.0,3699.61,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.26353454589844,1050.71484375,5.626783847808838,6016.2705078125,6454.52392578125,4541.458984375,7886.509765625,7038.71484375,1001.2550659179688,17301.849609375,731.9098510742188,686.1679077148438,582.9696044921875,698.079833984375,587.8101806640625,839.6412963867188,344.0235900878906,3126.45458984375,1480.5137939453125,489.0862731933594,64369.6171875,46648.5,15386.01953125,14417.587890625,489.8584289550781,149.3638916015625,391.087646484375,298.27459716796875,118.53350067138672,142.3298797607422,139.65773010253906,172.2713623046875,343.077880859375,302.1539001464844,315.89727783203125,280.1849365234375,1500.16845703125,1152.4447021484375,441.4008483886719,545.6362915039062,379.0047302246094,773.1583251953125,14415.9658203125,14855.427734375,449.3852233886719,1168.2049560546875,464.1221923828125,199.1298828125,51007.92578125,50069.0234375,52944.42578125,56655.734375,232.04342651367188,565.72021484375,414.4546813964844,277.7948303222656,18688.7421875,17319.888671875,14621.3544921875,16518.826171875,8109.10009765625,8551.6201171875,8665.310546875,7672.07080078125,9776,26.959705352783203,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.583816528320312,22.772850036621094,1011.728515625,198714.375,4.570430278778076,0,7793912,True,BME690,17701,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:22.848,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.36,21470046.0,1600.0,1595.73,22450161.0,22.49,16.48,60.0,59.49,22160332.0,300.0,298.03,000000000DFEC3B8,3700.0,3699.62,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.20957946777344,1051.9564208984375,5.595286846160889,6016.05078125,6454.37060546875,4540.80126953125,7886.59033203125,7038.73193359375,1001.0086669921876,17408.78125,732.3273315429688,687.0028076171875,583.477783203125,698.8436279296875,587.3342895507812,838.3948364257812,344.03448486328125,3145.6845703125,1478.2027587890625,488.9815979003906,64375.5625,46645.66796875,15387.2646484375,14418.5791015625,489.9234313964844,149.36245727539062,390.8156127929688,298.4039611816406,118.51896667480467,142.29441833496094,139.5978240966797,172.3021240234375,343.080322265625,302.1550598144531,315.9368896484375,280.1901550292969,1499.9869384765625,1152.4288330078125,441.3353576660156,545.6047973632812,379.09515380859375,773.1680297851562,14424.947265625,14852.2880859375,450.0831909179688,1171.5821533203125,463.6876525878906,198.95323181152344,51007.84375,50067.83203125,52941.16796875,56661.85546875,232.0700836181641,565.1069946289062,414.1166076660156,277.8447570800781,18689.345703125,17318.896484375,14620.5537109375,16520.404296875,8109.32421875,8550.375,8665.1103515625,7671.69775390625,10378,27.04029083251953,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.584482192993164,22.76674461364746,1011.7284545898438,197993.953125,4.569378852844238,0,7794352,True,BME690,17702,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:23.444,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.26,21470046.0,1600.0,1597.15,22450161.0,22.48,16.48,60.0,59.7,22160332.0,300.0,297.34,000000000DFEC3B8,3700.0,3700.31,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.22702026367188,1049.9287109375,5.650702476501465,6016.11572265625,6453.9716796875,4541.4267578125,7886.42919921875,7039.47119140625,1000.8955078125,17309.9609375,732.5427856445312,686.8572998046875,583.112060546875,697.4110717773438,587.6324462890625,838.6897583007812,343.9706420898437,3146.333984375,1477.177490234375,488.9403991699219,64379.8828125,46647.98828125,15387.10546875,14418.1767578125,490.2380981445313,149.360107421875,390.772216796875,298.4638061523437,118.53060913085938,142.35659790039062,139.6156463623047,172.26882934570312,343.05499267578125,302.1614685058594,315.9094543457031,280.17071533203125,1500.148193359375,1152.4833984375,441.4031982421875,545.6412353515625,379.1549682617188,772.4002075195312,14422.1904296875,14850.955078125,450.1712036132813,1170.5068359375,463.9837951660156,198.99072265625,51005.5078125,50064.8203125,52939.90234375,56659.30078125,232.01559448242188,564.8724365234375,414.2382507324219,278.0693664550781,18691.328125,17319.296875,14620.533203125,16520.63671875,8109.87158203125,8551.3642578125,8664.9228515625,7672.43212890625,10679,26.959705352783203,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.584482192993164,22.7728214263916,1011.7235107421876,198353.515625,4.570598602294922,0,7794792,True,BME690,17703,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:23.745,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.21,21470046.0,1600.0,1597.87,22450161.0,22.47,16.48,60.0,59.81,22160332.0,300.0,296.99,000000000DFEC3B8,3700.0,3700.66,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.24952697753903,1051.261962890625,5.624180793762207,6015.77685546875,6454.14111328125,4541.92724609375,7886.75439453125,7038.5146484375,999.6995239257812,17355.4140625,732.2799682617188,687.1275024414062,582.406005859375,697.9944458007812,587.2000122070312,838.956298828125,344.0257873535156,3159.710205078125,1476.160888671875,489.0500793457031,64374.828125,46649.27734375,15386.7490234375,14418.80078125,489.29150390625,149.3575897216797,391.1343078613281,298.4007263183594,118.51075744628906,142.34725952148438,139.60940551757812,172.26686096191406,343.057373046875,302.1850891113281,315.9294738769531,280.1996459960937,1500.097412109375,1152.438720703125,441.4035339355469,545.6416015625,379.0337829589844,773.2671508789062,14425.3115234375,14851.7822265625,450.4278259277344,1170.3802490234375,463.52252197265625,198.9408416748047,51008.34375,50062.8515625,52940.546875,56656.12890625,232.1246490478516,565.5841064453125,413.8514099121094,278.059326171875,18679.6796875,17321.13671875,14621.90625,16521.375,8109.25732421875,8551.3076171875,8665.158203125,7671.74169921875,10980,27.04029083251953,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.584814071655277,22.77888298034668,1011.6583862304688,197635.703125,4.571901798248291,0,7795232,True,BME690,17704,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:24.046,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.17,21470046.0,1600.0,1598.28,22450161.0,22.48,16.5,60.0,59.86,22160332.0,300.0,296.07,000000000DFEC3B8,3700.0,3700.57,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.26742553710935,1046.779541015625,5.619221687316895,6016.03369140625,6454.47021484375,4541.91943359375,7887.18896484375,7038.80859375,998.3450927734376,17341.193359375,732.7681884765625,686.8428955078125,582.812744140625,697.2146606445312,587.331787109375,838.0200805664062,344.1617126464844,3150.96240234375,1471.8831787109375,488.8747253417969,64373.07421875,46648.33203125,15387.193359375,14416.5341796875,489.5809326171875,149.38107299804688,391.1368408203125,298.1752624511719,118.50433349609376,142.32696533203125,139.6532440185547,172.2593231201172,343.0484924316406,302.1288452148437,315.9133605957031,280.1708374023437,1500.0654296875,1152.4366455078125,441.3749694824219,545.5944213867188,379.158447265625,772.7847290039062,14435.017578125,14850.056640625,450.2306518554688,1170.0087890625,463.9909362792969,199.08612060546875,51010.828125,50064.73046875,52933.29296875,56658.21484375,232.09597778320312,565.2330322265625,414.3247680664063,277.8555908203125,18686.751953125,17317.068359375,14622.4560546875,16519.103515625,8110.02001953125,8552.7822265625,8665.4404296875,7671.85888671875,11281,27.201465606689453,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.584814071655277,22.77888298034668,1011.6583862304688,197635.703125,4.571901798248291,0,7795232,True,BME690,17704,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:24.350,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.12,21470046.0,1600.0,1598.57,22450161.0,22.49,16.53,60.0,59.89,22160332.0,300.0,294.87,000000000DFEC3B8,3700.0,3700.25,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.23423767089844,1047.943603515625,5.622964382171631,6015.52880859375,6454.1103515625,4540.96240234375,7886.8017578125,7039.01611328125,1000.9808959960938,17330.9140625,731.9579467773438,687.63671875,582.9312744140625,699.464111328125,587.4180908203125,838.63330078125,344.2561950683594,3140.9609375,1469.24365234375,488.8289794921875,64370.359375,46649.82421875,15387.5478515625,14416.712890625,489.0960083007813,149.39273071289062,391.5046997070313,298.30865478515625,118.477783203125,142.32003784179688,139.59371948242188,172.29843139648438,343.0806884765625,302.1712341308594,315.9103088378906,280.1336975097656,1500.0018310546875,1152.4034423828125,441.3880004882813,545.64013671875,379.2310485839844,773.6649169921875,14421.998046875,14850.9443359375,450.58636474609375,1171.4620361328125,463.9804992675781,199.0453338623047,51006.234375,50063.15625,52933.05078125,56656.09375,232.03489685058597,564.9932861328125,413.9089660644531,278.02374267578125,18682.8046875,17319.052734375,14621.14453125,16519.564453125,8109.4990234375,8551.19140625,8665.2529296875,7672.3076171875,11582,26.959705352783203,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.585147857666016,22.77279281616211,1011.5982055664062,196745.71875,4.570766925811768,0,7795672,True,BME690,17705,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:24.648,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.07,21470046.0,1600.0,1598.85,22450161.0,22.49,16.56,60.0,59.91,22160332.0,300.0,293.68,000000000DFEC3B8,3700.0,3699.93,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.2393798828125,1046.272216796875,5.635580062866211,6015.62060546875,6454.59912109375,4541.35791015625,7886.35205078125,7039.20068359375,1001.2843017578124,17307.751953125,732.3589477539062,686.5744018554688,582.7257690429688,699.5257568359375,587.45947265625,840.1661376953125,344.11004638671875,3157.732421875,1472.3692626953125,488.6315612792969,64375.453125,46647.43359375,15386.48828125,14418.6435546875,489.983154296875,149.3750762939453,390.8882141113281,298.3298034667969,118.54146575927734,142.34385681152344,139.59767150878906,172.26893615722656,343.0752868652344,302.1352233886719,315.914794921875,280.1698608398437,1500.126708984375,1152.386474609375,441.3909912109375,545.57763671875,379.038330078125,771.9730834960938,14425.298828125,14853.2314453125,450.6606140136719,1172.628662109375,463.72113037109375,198.9333648681641,51005.2734375,50065.6953125,52942.9375,56652.73828125,232.0680084228516,565.3102416992188,413.8190307617188,277.9137268066406,18681.89453125,17319.828125,14620.6875,16520.921875,8108.96044921875,8551.62890625,8665.015625,7672.0078125,11883,26.959705352783203,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.586145401000977,22.772748947143555,1011.546142578125,198173.578125,4.571018695831299,0,7796112,True,BME690,17706,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:24.950,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1339.02,21470046.0,1600.0,1599.17,22450161.0,22.5,16.58,60.0,59.92,22160332.0,300.0,293.49,000000000DFEC3B8,3700.0,3699.39,000000000DFEC3B1,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,3e4eb34a-5f9f-493d-93e9-6da167ec86e4,abf3d6e6-cbae-42a9-8225-203c3276d984,204.2404937744141,1048.464111328125,5.65949821472168,6015.51513671875,6454.58349609375,4541.14892578125,7886.869140625,7038.61962890625,998.6476440429688,17297.5,732.0681762695312,687.4746704101562,582.7376098632812,699.1348266601562,587.599853515625,838.90771484375,344.0799865722656,3156.89794921875,1467.229736328125,488.8462524414063,64367.328125,46646.46484375,15386.8046875,14419.7646484375,489.22259521484375,149.4119110107422,390.8678283691406,298.3222351074219,118.51287078857422,142.37474060058594,139.61065673828125,172.26377868652344,343.00262451171875,302.1368103027344,315.92535400390625,280.1800842285156,1500.0316162109375,1152.44287109375,441.3739929199219,545.6474609375,379.0506591796875,772.4655151367188,14432.2392578125,14851.5400390625,450.3519592285156,1170.791015625,464.0427856445313,199.0372314453125,51005.8046875,50066.0,52943.21875,56655.21484375,232.11572265625,564.90283203125,414.2119140625,277.87811279296875,18680.7578125,17317.4296875,14621.41015625,16518.95703125,8108.91845703125,8550.4912109375,8665.12109375,7672.02490234375,12184,27.04029083251953,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.586809158325195,22.76664352416992,1011.503173828125,197814.65625,4.569967269897461,0,7796552,True,BME690,17707,0,0,0,7793242,24484,0,24.06577491760254,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 4, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:42:25.251,"{'cid': 'a3e071bd-fe9a-41e1-8f7d-fcb59c29c8b3', 'uuid': 'c92bb678-5841-42a0-a496-d79759926d65', 'annotationId': '3e4eb34a-5f9f-493d-93e9-6da167ec86e4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773412941892, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T14:42:22.102Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1340.0,1338.98,21470046.0,1600.0,1599.53,22450161.0,22.5,16.57,60.0,59.9,22160332.0,300.0,295.38,000000000DFEC3B8,3700.0,3698.4,000000000DFEC3B1,-0.01
