component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,T0_093225,H0_093225,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,455.41253662109375,594.6404418945312,5033.24755859375,5451.50341796875,5441.16455078125,5424.08056640625,7433.98974609375,6600.30322265625,206.9276428222656,180366416,3128.583740234375,23900.890625,196.5211334228516,2349.19677734375,2523.234375,2711.81201171875,151.90386962890625,2777.91357421875,2285.6953125,13545.4638671875,137110.203125,70958.1171875,27009.7109375,21546.349609375,107.43492126464844,117.34759521484376,756.0382690429688,434.2551574707031,210.42056274414065,1007.1729736328124,294.76776123046875,139.5298614501953,469.6416931152344,396.63275146484375,422.5376586914063,267.7391967773437,2520.656005859375,2180.0078125,709.3826904296875,809.0975952148438,345.3327331542969,24850.08203125,13926.0546875,7615.6044921875,1898.7835693359373,175374096,1190.005859375,457.648193359375,65406.2578125,65612.3359375,59601.671875,79582.515625,325.91754150390625,21187.412109375,357.6244812011719,295.6386413574219,21115.513671875,23085.216796875,20639.3046875,22674.90234375,9266.0732421875,8812.482421875,8403.54296875,7736.23779296875,10004,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.534128189086918,19.655981063842773,992.2767333984376,300210.71875,4.16477632522583,0,12821210,True,BME690,29108,0,0,0,12817389,24484,0,32.022727966308594,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:23.168,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.96,22450161.0,300.0,297.95,000000000DFEC3B8,0.0,0.64,21470046.0,-0.01,22.78,17.62,0.0,0.08,22160332.0,3700.0,3701.27,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,455.14007568359375,594.6788330078125,5033.955078125,5451.0205078125,5439.6279296875,5423.81884765625,7433.88427734375,6601.06396484375,206.86956787109372,180412784,3121.92236328125,23866.302734375,196.5255889892578,2343.669677734375,2527.123291015625,2717.72265625,151.9290008544922,2763.656494140625,2289.837890625,13613.1025390625,137128.96875,70962.7890625,27008.44140625,21541.181640625,107.45284271240234,117.34522247314452,754.9207153320312,434.0676574707031,210.44244384765625,1005.5739135742188,294.7299499511719,139.5322265625,469.693359375,396.6326599121094,422.6333312988281,267.7833557128906,2520.7275390625,2180.204345703125,709.3993530273438,809.2156982421875,345.3937072753906,24847.056640625,13926.9599609375,7614.96044921875,1904.62109375,175089232,1191.349853515625,457.6531372070313,65401.28125,65605.4609375,59604.64453125,79575.84375,325.9579467773437,21015.751953125,357.27490234375,295.7896423339844,21115.9296875,23085.712890625,20640.1171875,22673.71484375,9267.5634765625,8812.3564453125,8403.8623046875,7735.91943359375,10305,27.28205108642578,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.533796310424805,19.66193580627441,992.2742919921876,301038.125,4.165959358215332,0,12821650,True,BME690,29109,0,0,0,12817389,24484,0,32.022727966308594,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:23.468,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.96,22450161.0,300.0,297.95,000000000DFEC3B8,0.0,0.64,21470046.0,-0.01,22.78,17.62,0.0,0.08,22160332.0,3700.0,3701.27,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,455.1548156738281,594.9691162109375,5033.40966796875,5451.77294921875,5441.08154296875,5423.8681640625,7434.35302734375,6600.0634765625,206.9609222412109,180313008,3127.88525390625,23815.6328125,196.5668029785156,2346.435302734375,2524.752685546875,2721.7861328125,151.93264770507812,2772.768798828125,2286.728515625,13528.6953125,137116.1875,70957.1875,27008.005859375,21542.447265625,107.394775390625,117.3669662475586,755.61279296875,434.1842956542969,210.4884033203125,1004.9884033203124,294.7720947265625,139.4977264404297,469.6812133789063,396.62603759765625,422.6339111328125,267.73712158203125,2519.857177734375,2179.6162109375,709.3133544921875,809.1228637695312,345.3817443847656,24910.421875,13924.578125,7615.51953125,1902.932861328125,175413680,1190.7615966796875,457.7010192871094,65406.21484375,65605.46875,59600.3828125,79577.9375,325.97900390625,21140.783203125,357.3546447753906,295.4373779296875,21114.541015625,23082.380859375,20639.60546875,22674.353515625,9269.27734375,8812.5517578125,8403.552734375,7736.21142578125,10607,27.28205108642578,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.533796310424805,19.67975616455078,992.2726440429688,299798.71875,4.169735908508301,0,12822090,True,BME690,29110,0,0,0,12817389,24484,0,32.022727966308594,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:23.766,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.91,22450161.0,300.0,298.82,000000000DFEC3B8,0.0,0.59,21470046.0,-0.01,22.78,17.62,0.0,0.08,22160332.0,3700.0,3701.27,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,455.01959228515625,594.63330078125,5033.52685546875,5451.4287109375,5440.7734375,5423.7939453125,7434.23876953125,6600.11279296875,206.9686279296875,180084016,3119.307373046875,23813.5546875,196.49937438964844,2348.4697265625,2526.268310546875,2720.87158203125,151.89524841308594,2771.5771484375,2291.027587890625,13448.7333984375,137150.265625,70960.4765625,27013.056640625,21531.705078125,107.41764068603516,117.35979461669922,752.6093139648438,434.6974487304688,210.40711975097656,1005.2401733398438,294.8628845214844,139.54354858398438,469.7662353515625,396.6645202636719,422.4997863769531,267.7118835449219,2520.22021484375,2179.74267578125,709.3369140625,809.14794921875,345.45361328125,24867.283203125,13926.8662109375,7615.529296875,1900.443603515625,175058320,1191.4176025390625,457.8569641113281,65413.7265625,65601.828125,59602.66015625,79583.0,325.8623962402344,21006.234375,357.7369689941406,295.8041381835937,21114.16015625,23086.65234375,20638.658203125,22672.666015625,9266.6455078125,8813.6044921875,8403.533203125,7736.6689453125,10907,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.533796310424805,19.67975616455078,992.2726440429688,299798.71875,4.169735908508301,0,12822090,True,BME690,29110,0,0,0,12817389,24484,0,32.022727966308594,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:24.066,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.87,22450161.0,300.0,299.72,000000000DFEC3B8,0.0,0.55,21470046.0,-0.01,22.78,17.62,0.0,0.08,22160332.0,3700.0,3701.27,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,455.1891479492188,594.7132568359375,5032.04150390625,5451.5634765625,5440.60400390625,5424.03173828125,7434.6943359375,6601.61181640625,206.91683959960935,179871328,3132.47998046875,23950.447265625,196.51919555664065,2351.060791015625,2525.068115234375,2718.212646484375,151.9503631591797,2766.470947265625,2292.0576171875,13426.66015625,137146.75,70971.2421875,27005.892578125,21540.658203125,107.40264129638672,117.3696517944336,752.7521362304688,434.1779174804688,210.46115112304688,1006.9725952148438,294.7919616699219,139.5293731689453,469.7105407714844,396.6082763671875,422.4728088378906,267.7791442871094,2519.2314453125,2180.91064453125,709.3701782226562,809.174560546875,345.53533935546875,24913.3046875,13924.1064453125,7614.8154296875,1901.653076171875,175260048,1191.49462890625,458.1007995605469,65404.18359375,65602.765625,59595.1484375,79580.6796875,325.5471496582031,21037.650390625,357.43798828125,296.4190368652344,21112.41796875,23089.00390625,20639.92578125,22673.552734375,9267.4013671875,8813.8232421875,8403.2197265625,7736.5,11208,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.534128189086918,19.66786003112793,992.2734375,299182.84375,4.167293071746826,0,12822530,True,BME690,29111,0,0,0,12822423,24484,0,32.493507385253906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:24.367,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.82,22450161.0,300.0,300.62,000000000DFEC3B8,0.0,0.5,21470046.0,-0.01,22.77,17.62,0.0,0.08,22160332.0,3700.0,3701.27,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,455.3561401367188,594.75439453125,5032.68701171875,5451.5166015625,5441.1953125,5424.09814453125,7434.44580078125,6599.52001953125,206.9882049560547,180896800,3140.473876953125,24006.927734375,196.5517425537109,2355.875732421875,2526.945068359375,2717.806640625,151.91107177734375,2771.01611328125,2298.994140625,13565.259765625,137182.484375,70951.2578125,27013.943359375,21535.779296875,107.43267059326172,117.33000183105467,754.2464599609375,433.8544006347656,210.46121215820312,1005.358642578125,294.73883056640625,139.497314453125,469.6907348632813,396.6060791015625,422.5338134765625,267.7531433105469,2518.8154296875,2179.87548828125,709.336669921875,809.1410522460938,345.42803955078125,24924.62890625,13925.4453125,7615.28662109375,1904.1116943359373,174922176,1189.9268798828125,457.9526977539063,65400.1953125,65601.0625,59596.3828125,79580.5546875,325.98712158203125,20975.982421875,357.6966857910156,295.8833923339844,21114.26171875,23086.060546875,20640.17578125,22673.765625,9266.8447265625,8812.1865234375,8402.5498046875,7736.14404296875,11510,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.534460067749023,19.679723739624023,992.27587890625,298569.46875,4.169885635375977,0,12822971,True,BME690,29112,0,0,0,12822423,24484,0,32.493507385253906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:24.668,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.78,22450161.0,300.0,300.14,000000000DFEC3B8,0.0,0.45,21470046.0,-0.01,22.77,17.62,0.0,0.07,22160332.0,3700.0,3700.97,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,454.9852294921875,594.7545776367188,5033.78564453125,5451.6171875,5440.96728515625,5424.015625,7434.5078125,6599.9482421875,206.97157287597656,180852368,3129.893310546875,23994.93359375,196.5554656982422,2356.9931640625,2525.725341796875,2711.316650390625,151.94064331054688,2759.2021484375,2291.50732421875,13477.1357421875,137200.5625,70949.171875,27004.259765625,21536.27734375,107.414794921875,117.38663482666016,754.1013793945312,433.9156799316406,210.42210388183597,1008.46142578125,294.7273254394531,139.5329132080078,469.6972351074219,396.5510559082031,422.52093505859375,267.7734069824219,2519.874267578125,2179.533203125,709.3121337890625,809.109375,345.43927001953125,24896.021484375,13928.556640625,7614.70361328125,1903.1455078125,175342304,1189.7735595703125,458.1900329589844,65396.81640625,65601.9375,59593.22265625,79581.2734375,325.73199462890625,20974.751953125,357.2565612792969,295.7261657714844,21114.646484375,23085.791015625,20640.125,22675.26171875,9267.8271484375,8812.4267578125,8403.0224609375,7736.0126953125,11811,27.36263656616211,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.534460067749023,19.679723739624023,992.27587890625,298569.46875,4.169885635375977,0,12822971,True,BME690,29112,0,0,0,12822423,24484,0,32.493507385253906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:24.970,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.74,22450161.0,300.0,298.77,000000000DFEC3B8,0.0,0.4,21470046.0,-0.01,22.77,17.63,0.0,0.06,22160332.0,3700.0,3700.48,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,454.8456115722656,594.6033935546875,5033.7861328125,5452.16796875,5441.74951171875,5423.5810546875,7434.81640625,6599.85498046875,206.96446228027344,180722656,3134.075927734375,23870.720703125,196.48114013671875,2355.66357421875,2529.065673828125,2710.732177734375,151.9222869873047,2769.594970703125,2289.107177734375,13485.486328125,137148.578125,70954.3984375,27006.322265625,21545.828125,107.4401397705078,117.30936431884766,755.9926147460938,433.7119445800781,210.45558166503903,1007.59814453125,294.6765441894531,139.53834533691406,469.7139587402344,396.6309814453125,422.6456909179688,267.7896728515625,2520.609619140625,2179.02783203125,709.2802124023438,809.1510009765625,345.4108581542969,24881.072265625,13926.8193359375,7614.73583984375,1901.14111328125,175197824,1190.8753662109375,458.4091796875,65407.42578125,65598.5234375,59597.3984375,79586.4375,325.52325439453125,20987.392578125,357.2222900390625,295.9115295410156,21111.078125,23084.14453125,20639.787109375,22675.404296875,9266.65234375,8812.986328125,8402.1142578125,7736.16845703125,12111,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.534128189086918,19.691621780395508,992.2717895507812,300210.71875,4.172327995300293,0,12823411,True,BME690,29113,0,0,0,12822423,24484,0,32.493507385253906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:25.270,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.71,22450161.0,300.0,297.41,000000000DFEC3B8,0.0,0.36,21470046.0,-0.01,22.77,17.64,0.0,0.06,22160332.0,3700.0,3699.98,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,454.62298583984375,594.9188842773438,5034.5146484375,5451.7392578125,5441.76806640625,5423.83837890625,7434.9560546875,6599.06884765625,207.0730133056641,179206048,3124.19873046875,23993.47265625,196.6481170654297,2354.572509765625,2526.5654296875,2707.40234375,151.894775390625,2774.692138671875,2291.69921875,13524.7861328125,137165.203125,70951.125,26996.455078125,21539.587890625,107.41637420654295,117.35455322265624,755.392333984375,433.52630615234375,210.4143218994141,1005.345458984375,294.8377990722656,139.5260467529297,469.7118225097656,396.65863037109375,422.6408081054688,267.74664306640625,2520.560302734375,2179.581298828125,709.3493041992188,809.1961669921875,345.34307861328125,24874.45703125,13922.4345703125,7615.07470703125,1903.2554931640625,175604400,1190.5435791015625,457.7190551757813,65412.9921875,65597.71875,59604.14453125,79577.828125,325.43878173828125,21062.541015625,357.4506530761719,295.8050842285156,21111.2109375,23083.67578125,20639.98046875,22674.20703125,9266.078125,8819.3896484375,8403.6962890625,7736.09033203125,12412,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.534460067749023,19.679723739624023,992.2709350585938,300210.71875,4.169885635375977,0,12823852,True,BME690,29114,0,0,0,12822423,24484,0,32.493507385253906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:25.571,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.67,22450161.0,300.0,296.34,000000000DFEC3B8,0.0,0.39,21470046.0,-0.01,22.77,17.65,0.0,0.05,22160332.0,3700.0,3699.98,000000000DFEC3B1
0000000045-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,8fd2eac2-1dd4-415a-b11d-423ce281a58c,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,454.99072265625,594.778564453125,5034.30126953125,5452.029296875,5441.7626953125,5423.65087890625,7435.0888671875,6599.107421875,207.0233154296875,179402784,3124.241943359375,23893.162109375,196.6748504638672,2355.84814453125,2534.941650390625,2715.17041015625,151.8835906982422,2767.8359375,2286.207763671875,13506.32421875,137160.78125,70949.1640625,26998.529296875,21545.791015625,107.39276123046876,117.3591766357422,755.2904052734375,434.0653381347656,210.4662322998047,1005.0668334960938,294.8125305175781,139.49346923828125,469.7255859375,396.6598815917969,422.6136474609375,267.7865905761719,2519.68798828125,2179.885009765625,709.3128662109375,809.1546630859375,345.46148681640625,24872.5234375,13925.2255859375,7614.88623046875,1901.2239990234373,175447680,1190.508056640625,457.6832580566406,65418.36328125,65596.140625,59601.609375,79576.0546875,325.3585510253906,21040.67578125,357.4291381835937,295.640869140625,21112.064453125,23082.771484375,20640.70703125,22673.65234375,9265.5517578125,8812.404296875,8402.623046875,7736.33837890625,12713,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.534460067749023,19.679723739624023,992.2709350585938,300210.71875,4.169885635375977,0,12823852,True,BME690,29114,0,0,0,12822423,24484,0,32.493507385253906,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28.5, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:17:25.871,"{'cid': 'bbff5e5d-cbcd-40ed-b72c-910718a6d7c5', 'uuid': 'c2e2a4f9-2dc1-4021-ba60-4a93be903e1b', 'annotationId': '8fd2eac2-1dd4-415a-b11d-423ce281a58c', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773681442555, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-16T17:17:22.844Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.63,22450161.0,300.0,296.17,000000000DFEC3B8,0.0,0.65,21470046.0,-0.01,22.77,17.66,0.0,0.05,22160332.0,3700.0,3701.46,000000000DFEC3B1
