component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225,SETP0_454625,FLW0_454625,ANLT0_454625,T0_093225,H0_093225,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.6134338378906,597.8489379882812,5033.49267578125,5455.42919921875,5445.58056640625,5427.6650390625,7437.05712890625,6603.775390625,207.414306640625,181608160,3118.334716796875,24158.94921875,196.6127166748047,2351.920654296875,2534.642822265625,2718.80615234375,152.25733947753906,2755.669677734375,2300.802734375,13154.28515625,137240.546875,71045.53125,27045.0078125,21560.537109375,107.46377563476562,117.3982391357422,756.2113647460938,435.03521728515625,210.38677978515625,1004.3318481445312,295.90924072265625,139.63131713867188,469.9041442871094,396.7588806152344,422.8377075195313,267.9557800292969,2522.048095703125,2180.865966796875,709.6676635742188,809.6796264648438,347.30718994140625,24610.958984375,13931.4833984375,7619.30029296875,1905.538330078125,174320208,1195.1153564453125,458.3885192871094,65494.13671875,65680.5,59669.08203125,79671.1484375,327.1202697753906,21352.220703125,358.1769104003906,297.2714538574219,21123.041015625,23097.8671875,20652.4453125,22690.3671875,9279.48046875,8810.7685546875,8410.75,7740.96240234375,10335,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.466243743896484,19.49299049377441,992.806640625,299593.125,4.114323616027832,0,11921427,True,BME690,27065,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:23.316,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.24,22450161.0,-0.01,3700.0,3697.36,000000000DFEC3B1,22.68,17.83,15.0,14.86,22160332.0,300.0,298.14,000000000DFEC3B8,1385.0,1383.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.5765686035156,597.61962890625,5032.73486328125,5455.36474609375,5446.048828125,5427.40283203125,7437.93603515625,6604.22509765625,207.40972900390625,181789088,3122.68603515625,24102.705078125,196.635986328125,2360.29541015625,2541.01611328125,2721.395751953125,152.30380249023438,2761.91552734375,2303.38818359375,13091.4365234375,137247.46875,71062.3515625,27048.599609375,21564.365234375,107.4957275390625,117.38714599609376,756.684326171875,435.3139953613281,210.43295288085935,1004.4932861328124,295.92999267578125,139.60092163085938,469.8468017578125,396.7618713378906,422.8776550292969,267.89862060546875,2522.353759765625,2181.44873046875,709.6961059570312,809.625244140625,347.3448791503906,24607.046875,13930.8359375,7619.66748046875,1909.767333984375,174221072,1194.3116455078125,458.8531799316406,65502.58203125,65676.1171875,59666.95703125,79674.203125,327.09295654296875,21452.890625,358.3588562011719,297.37750244140625,21125.90625,23100.642578125,20652.435546875,22689.517578125,9278.802734375,8810.7890625,8409.70703125,7740.86669921875,10636,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.466575622558597,19.504854202270508,992.8057861328124,299182.84375,4.116905689239502,0,11921867,True,BME690,27066,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:23.620,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.24,22450161.0,-0.01,3700.0,3697.36,000000000DFEC3B1,22.68,17.83,15.0,14.86,22160332.0,300.0,298.14,000000000DFEC3B8,1385.0,1383.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.2457885742188,597.5911865234375,5035.01513671875,5455.55908203125,5445.365234375,5427.4775390625,7438.20654296875,6603.45849609375,207.4898834228516,180495936,3123.1923828125,24162.439453125,196.68109130859372,2346.528564453125,2541.876953125,2714.47998046875,152.27098083496094,2764.360595703125,2300.08203125,13124.9345703125,137296.21875,71055.0703125,27037.96875,21567.158203125,107.50601196289062,117.41129302978516,756.58642578125,434.9631958007813,210.4177703857422,1006.3958740234376,295.87030029296875,139.66259765625,469.8195190429688,396.7433166503906,422.7646179199219,267.89111328125,2522.138671875,2181.920166015625,709.6880493164062,809.6689453125,347.2115173339844,24657.91015625,13931.6796875,7620.14990234375,1906.7171630859373,173968672,1198.3231201171875,459.36041259765625,65507.375,65668.7890625,59673.8828125,79668.75,326.505859375,21452.8515625,358.4190368652344,297.4985046386719,21125.0625,23098.00390625,20652.5390625,22691.07421875,9279.5810546875,8811.109375,8411.1455078125,7740.59423828125,10937,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.467241287231445,19.50481986999512,992.807373046875,298978.09375,4.11705493927002,0,11922308,True,BME690,27067,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:23.918,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.67,22450161.0,-0.01,3700.0,3697.19,000000000DFEC3B1,22.68,17.83,15.0,14.86,22160332.0,300.0,298.14,000000000DFEC3B8,1385.0,1383.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.1639099121094,597.9385375976562,5034.294921875,5456.02880859375,5444.69482421875,5427.216796875,7437.57666015625,6604.6025390625,207.50816345214844,180750240,3131.58740234375,24128.0625,196.77853393554688,2355.267333984375,2539.345703125,2716.527099609375,152.2962646484375,2753.662353515625,2304.7763671875,13092.6728515625,137321.65625,71040.890625,27042.546875,21563.337890625,107.4594268798828,117.3678207397461,755.85498046875,435.2799682617188,210.3956298828125,1006.2821044921876,295.810302734375,139.60997009277344,469.86468505859375,396.7752075195313,422.792236328125,267.93426513671875,2521.96142578125,2180.909423828125,709.7055053710938,809.7488403320312,347.3407897949219,24685.9765625,13935.474609375,7620.1337890625,1910.301025390625,173926560,1193.10302734375,459.2591552734375,65494.71484375,65676.03125,59666.59375,79677.453125,326.6932373046875,21432.890625,358.1455383300781,297.13116455078125,21125.79296875,23099.4140625,20653.470703125,22691.353515625,9278.75,8818.6845703125,8411.52734375,7740.8720703125,11540,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.467575073242188,19.50480461120605,992.8064575195312,298773.625,4.117129802703857,0,11922748,True,BME690,27068,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:24.521,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.58,22450161.0,-0.01,3700.0,3696.81,000000000DFEC3B1,22.69,17.84,15.0,14.86,22160332.0,300.0,298.14,000000000DFEC3B8,1385.0,1383.44,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.677490234375,597.9193725585938,5033.40234375,5454.97998046875,5446.1455078125,5427.64111328125,7438.01953125,6603.0849609375,207.3401031494141,180596672,3130.345703125,24083.06640625,196.6941680908203,2357.40966796875,2537.78515625,2717.263916015625,152.30165100097656,2759.658935546875,2303.97607421875,13119.31640625,137281.09375,71054.875,27038.6640625,21562.89453125,107.46625518798828,117.40763092041016,754.8783569335938,435.3743896484375,210.4268951416016,1005.2061157226562,295.92559814453125,139.5894012451172,469.9205932617188,396.7721862792969,422.7672424316406,267.9260559082031,2522.275146484375,2181.373291015625,709.6592407226562,809.63134765625,347.2126159667969,24751.033203125,13930.896484375,7619.34765625,1910.5841064453125,173816832,1194.83349609375,458.7319641113281,65498.58984375,65668.4140625,59664.984375,79689.0703125,327.1312561035156,21462.8125,357.8352966308594,297.1504211425781,21126.388671875,23100.3828125,20653.40234375,22691.466796875,9279.193359375,8811.19921875,8411.4052734375,7740.82861328125,11840,26.959705352783203,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.467906951904297,19.49884796142578,992.7281494140624,297958.625,4.115950107574463,0,11923188,True,BME690,27069,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:24.821,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.03,22450161.0,-0.01,3700.0,3696.62,000000000DFEC3B1,22.69,17.85,15.0,14.87,22160332.0,300.0,298.75,000000000DFEC3B8,1385.0,1383.65,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.7286071777344,597.67236328125,5032.89453125,5455.365234375,5446.77294921875,5427.50537109375,7437.60888671875,6602.7275390625,207.39935302734372,180539376,3127.5,23917.0703125,196.61106872558597,2349.629150390625,2542.46630859375,2717.622314453125,152.28311157226562,2752.23291015625,2301.179931640625,13129.146484375,137328.546875,71052.6875,27036.24609375,21567.5,107.51326751708984,117.42272186279295,754.9029541015625,435.3289184570313,210.44602966308597,1004.2258911132812,295.9922180175781,139.62533569335938,469.8820495605469,396.6947021484375,422.8257141113281,267.9039306640625,2521.555419921875,2181.189208984375,709.6665649414062,809.6669311523438,347.3457946777344,24661.568359375,13933.658203125,7620.53125,1909.1585693359373,173656160,1194.593505859375,458.7435302734375,65496.20703125,65671.1640625,59661.87890625,79668.8359375,326.546142578125,21465.89453125,357.9169921875,297.1908874511719,21124.0078125,23099.6953125,20653.412109375,22690.296875,9280.76953125,8811.34765625,8411.103515625,7740.55908203125,12142,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.467906951904297,19.49884796142578,992.7281494140624,297958.625,4.115950107574463,0,11923188,True,BME690,27069,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:25.124,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.49,22450161.0,-0.01,3700.0,3696.43,000000000DFEC3B1,22.68,17.89,15.0,14.91,22160332.0,300.0,299.78,000000000DFEC3B8,1385.0,1384.01,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.3439636230469,597.8539428710938,5034.3154296875,5455.0908203125,5445.3515625,5427.6103515625,7437.484375,6603.21435546875,207.44358825683597,180481984,3127.33447265625,23965.9609375,196.8326568603516,2347.530517578125,2540.69921875,2719.601318359375,152.25375366210938,2752.011474609375,2301.437255859375,13072.3955078125,137328.796875,71058.921875,27036.177734375,21576.90234375,107.48731994628906,117.39738464355467,755.72119140625,435.18988037109375,210.4497528076172,1004.6478881835938,295.8526916503906,139.62818908691406,469.8771362304688,396.8039245605469,422.75970458984375,267.9320678710937,2520.83349609375,2180.58447265625,709.720947265625,809.6964721679688,347.3096008300781,24698.119140625,13933.265625,7619.556640625,1912.260986328125,173400752,1194.0838623046875,458.7687072753906,65491.46875,65678.6953125,59670.8671875,79664.5703125,326.5904541015625,21393.30859375,357.984375,297.1910095214844,21123.416015625,23099.294921875,20652.46484375,22690.369140625,9279.95703125,8818.50390625,8411.92578125,7740.55224609375,12442,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.467906951904297,19.50478744506836,992.6572875976562,298978.09375,4.117204189300537,0,11923628,True,BME690,27070,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:25.425,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.94,22450161.0,-0.01,3700.0,3696.24,000000000DFEC3B1,22.67,17.92,15.0,14.94,22160332.0,300.0,300.8,000000000DFEC3B8,1385.0,1384.37,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,458.495361328125,597.8123168945312,5033.9912109375,5454.5947265625,5445.2158203125,5427.6728515625,7437.2333984375,6602.65966796875,207.4249267578125,180385456,3127.6640625,23922.75390625,196.7994537353516,2348.20263671875,2541.728271484375,2719.427978515625,152.2877960205078,2759.98388671875,2304.6865234375,13074.6181640625,137313.390625,71039.1015625,27036.62890625,21573.75,107.47175598144533,117.38788604736328,755.3110961914062,434.846435546875,210.3802490234375,1004.4486083984376,295.9360656738281,139.6023712158203,469.7944946289063,396.7208862304688,422.8155212402344,267.8886108398437,2521.264892578125,2181.27783203125,709.6416015625,809.7205810546875,347.2405700683594,24660.861328125,13933.1064453125,7619.62939453125,1910.4326171875,173345744,1194.4906005859375,458.8572387695313,65486.79296875,65680.671875,59664.265625,79663.53125,326.5202331542969,21344.505859375,358.09722900390625,297.2923278808594,21123.8125,23096.185546875,20652.486328125,22689.99609375,9280.2607421875,8811.806640625,8411.1376953125,7741.14013671875,12744,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.467906951904297,19.510726928710938,992.597900390625,300004.59375,4.118457794189453,0,11924068,True,BME690,27071,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:25.729,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.41,22450161.0,-0.01,3700.0,3696.49,000000000DFEC3B1,22.66,17.95,15.0,14.96,22160332.0,300.0,301.67,000000000DFEC3B8,1385.0,1384.59,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,457.8640441894531,597.6480102539062,5034.94873046875,5454.16259765625,5445.53515625,5427.6123046875,7436.97998046875,6603.10693359375,207.4668426513672,180223632,3121.85888671875,23965.90234375,196.6768493652344,2353.092529296875,2540.467041015625,2714.03466796875,152.2969207763672,2761.237060546875,2300.032958984375,12946.330078125,137259.109375,71039.265625,27036.490234375,21566.5390625,107.51638793945312,117.4139404296875,756.5105590820312,435.19818115234375,210.4351806640625,1006.7132568359376,295.8656921386719,139.61343383789062,469.7908325195313,396.7308654785156,422.92041015625,267.890625,2521.738037109375,2181.527099609375,709.6471557617188,809.640380859375,347.3749694824219,24774.443359375,13931.9833984375,7620.08056640625,1905.546630859375,173226400,1194.0537109375,458.1274108886719,65485.55078125,65668.828125,59661.3359375,79669.640625,326.44781494140625,21301.708984375,358.0010681152344,297.1977844238281,21127.310546875,23095.07421875,20652.998046875,22690.337890625,9279.8642578125,8818.7177734375,8410.89453125,7741.1943359375,13044,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.467906951904297,19.510726928710938,992.597900390625,300004.59375,4.118457794189453,0,11924068,True,BME690,27071,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:26.025,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1599.9,22450161.0,-0.01,3700.0,3698.06,000000000DFEC3B1,22.66,17.94,15.0,14.97,22160332.0,300.0,302.07,000000000DFEC3B8,1385.0,1384.38,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e3c0579b-4a20-4a91-bf3b-b243bde49e58,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,457.6372680664063,597.6128540039062,5033.1904296875,5454.84619140625,5445.42919921875,5427.017578125,7438.4765625,6604.34326171875,207.4187774658203,180160256,3122.146240234375,24198.8359375,196.68832397460935,2352.4462890625,2537.944580078125,2717.411865234375,152.28497314453125,2759.52490234375,2300.38916015625,13084.3115234375,137274.28125,71047.7578125,27041.83203125,21564.24609375,107.49406433105467,117.38367462158205,755.7312622070312,435.15869140625,210.4171295166016,1005.75732421875,295.841552734375,139.6617431640625,469.8515930175781,396.7278442382813,422.834716796875,267.9395751953125,2521.663818359375,2181.02685546875,709.6915893554688,809.7247924804688,347.3981018066406,24631.259765625,13930.7275390625,7619.26513671875,1910.53662109375,173846912,1192.7958984375,458.7850646972656,65493.90625,65658.859375,59662.87109375,79651.5234375,326.103759765625,21269.35546875,357.9646301269531,297.3957214355469,21129.12890625,23095.701171875,20653.03515625,22690.208984375,9278.8271484375,8811.328125,8411.4052734375,7741.009765625,13345,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.46857261657715,19.498815536499023,992.54833984375,297552.78125,4.116098403930664,0,11924508,True,BME690,27072,0,0,0,11919906,24484,0,31.52363967895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:02:26.327,"{'cid': '220f7d8a-9cbf-4079-a5fa-210f8588c66b', 'uuid': '379b9b61-7ee5-4f2e-80ab-29dde5505afa', 'annotationId': 'e3c0579b-4a20-4a91-bf3b-b243bde49e58', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680542710, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:02:22.937Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1600.41,22450161.0,-0.01,3700.0,3699.67,000000000DFEC3B1,22.66,17.93,15.0,14.98,22160332.0,300.0,302.48,000000000DFEC3B8,1385.0,1384.16,21470046.0
