component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,T0_093225,H0_093225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,689.2188720703125,581.4402465820312,5149.57958984375,6637.77880859375,4283.5478515625,4069.35107421875,7077.7626953125,6731.2373046875,264.7787780761719,9700.4921875,7803.72509765625,2481.15576171875,1872.37548828125,2007.4193115234373,22952.03515625,14977.1513671875,628.8041381835938,1824.712158203125,7260.17041015625,756.9111938476562,84542.28125,60338.2578125,18954.19921875,17549.55078125,111.14927673339844,124.83830261230467,1156.148681640625,1233.8115234375,105.03900146484376,120.3892822265625,516.765625,631.6301879882812,375.6680603027344,404.26995849609375,360.3684387207031,318.2040405273437,3505.13037109375,2158.56689453125,905.7469482421876,736.5573120117188,873.1467895507812,5213.576171875,7266.89453125,8495.0361328125,21035.5390625,798.708740234375,917.1737670898438,1028.1929931640625,86189.765625,87323.5703125,69563.953125,72949.15625,39541.984375,225.3014373779297,474.2547607421875,215.88897705078125,21031.28515625,16993.91796875,15131.49609375,15833.703125,7398.20703125,7023.83642578125,6596.38720703125,6080.23291015625,10798,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.029165267944336,23.187480926513672,987.64599609375,130083.3671875,5.053030490875244,0,8434902,True,BME690,19153,0,0,0,8431274,24484,0,26.654804229736328,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:53.751,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1593.76,22450161.0,1250.0,1246.16,21470046.0,-0.0,300.0,300.2,000000000DFEC3B8,150.0,149.23,22160332.0,3700.0,3700.68,000000000DFEC3B1,22.64,21.12
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,688.9219360351562,581.276123046875,5149.4609375,6637.83837890625,4285.064453125,4068.994873046875,7076.04052734375,6730.544921875,264.6710205078125,9752.509765625,7808.48046875,2480.83984375,1870.4423828125,2005.4346923828125,22950.0546875,14939.6259765625,628.5504760742188,1827.5255126953125,7280.5869140625,757.256591796875,84545.6875,60340.3671875,18944.294921875,17545.25,111.16313934326172,124.83650970458984,1160.3341064453125,1230.891845703125,105.06360626220705,120.38192749023438,516.36181640625,632.5609741210938,375.6438598632813,404.2879943847656,360.4573669433594,318.2528076171875,3505.4716796875,2157.993896484375,905.9906005859376,736.5850830078125,871.208251953125,5232.06884765625,7267.1123046875,8495.494140625,21054.900390625,798.5582275390625,918.261474609375,1030.060546875,86193.9765625,87321.6484375,69570.3984375,72956.6953125,39650.54296875,225.3809814453125,474.2262878417969,215.97659301757807,21033.744140625,16994.37890625,15131.4951171875,15833.107421875,7397.4609375,7024.77392578125,6596.1552734375,6079.8330078125,11099,27.765565872192383,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,24.029165267944336,23.187480926513672,987.64599609375,130083.3671875,5.053030490875244,0,8434902,True,BME690,19153,0,0,0,8431274,24484,0,26.654804229736328,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:54.052,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1593.76,22450161.0,1250.0,1246.16,21470046.0,-0.0,300.0,300.2,000000000DFEC3B8,150.0,149.23,22160332.0,3700.0,3700.68,000000000DFEC3B1,22.64,21.12
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,688.928466796875,581.1210327148438,5149.49755859375,6636.97802734375,4284.892578125,4068.99951171875,7076.6611328125,6730.2705078125,264.7066345214844,9722.1455078125,7833.787109375,2482.330322265625,1873.9664306640625,2006.415771484375,22862.732421875,14940.68359375,628.6281127929688,1827.443359375,7276.26318359375,757.0458374023438,84541.515625,60349.2421875,18943.373046875,17545.849609375,111.1371841430664,124.82036590576172,1154.7542724609375,1232.3470458984375,105.0572738647461,120.43114471435548,517.1676635742188,631.8728637695312,375.687744140625,404.2395629882813,360.4689331054688,318.3539123535156,3505.33544921875,2157.7177734375,905.547119140625,736.6303100585938,871.3251953125,5219.85302734375,7267.07958984375,8496.15234375,21048.109375,798.7003173828125,918.5393676757812,1026.9439697265625,86181.3984375,87315.0703125,69567.46875,72954.4375,39917.13671875,225.28733825683597,474.6144714355469,216.05413818359372,21032.6875,16993.66015625,15131.783203125,15833.603515625,7397.58203125,7025.40380859375,6596.4482421875,6079.10888671875,11400,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,24.029165267944336,23.19329833984375,987.6443481445312,131334.671875,5.054297924041748,0,8435342,True,BME690,19154,0,0,0,8431274,24484,0,26.654804229736328,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:54.354,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1594.89,22450161.0,1250.0,1246.84,21470046.0,-0.0,300.0,298.49,000000000DFEC3B8,150.0,149.46,22160332.0,3700.0,3700.6,000000000DFEC3B1,22.63,21.19
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,688.690673828125,581.28466796875,5150.8701171875,6637.06787109375,4285.1669921875,4069.2998046875,7077.0478515625,6733.498046875,264.6128234863281,9712.6064453125,7813.18115234375,2478.86181640625,1874.476318359375,2004.9886474609373,22792.01171875,14987.490234375,628.5779418945312,1825.8131103515625,7285.958984375,756.8424682617188,84543.359375,60356.08203125,18947.859375,17546.669921875,111.1537628173828,124.84867095947266,1156.4002685546875,1232.4154052734375,105.10124206542967,120.43310546875,517.0578002929688,631.960693359375,375.7059326171875,404.2906188964844,360.4626159667969,318.2552795410156,3504.594482421875,2157.319580078125,905.7861328125,736.5682983398438,871.9229125976562,5214.12060546875,7267.21875,8496.658203125,21065.07421875,798.4869995117188,917.6805419921876,1026.7701416015625,86166.6328125,87298.5234375,69561.328125,72952.0,39840.80859375,225.29815673828125,474.09283447265625,215.9124755859375,21032.62890625,16993.583984375,15132.4150390625,15831.8779296875,7397.40771484375,7024.7578125,6596.33837890625,6079.166015625,11701,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.029165267944336,23.199115753173828,987.6427612304688,131651.265625,5.05556583404541,0,8435782,True,BME690,19155,0,0,0,8431274,24484,0,26.654804229736328,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:54.655,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1596.03,22450161.0,1250.0,1247.53,21470046.0,-0.0,300.0,296.71,000000000DFEC3B8,150.0,149.7,22160332.0,3700.0,3700.51,000000000DFEC3B1,22.62,21.28
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,688.7911376953125,581.2947998046875,5150.80517578125,6636.791015625,4284.6435546875,4069.1865234375,7076.08154296875,6736.30126953125,264.6506652832031,9746.22265625,7794.7373046875,2481.55810546875,1878.5718994140625,2007.56201171875,22767.072265625,15008.841796875,628.8036499023438,1827.435302734375,7290.736328125,757.3912963867188,84557.0,60345.6015625,18948.322265625,17550.5,111.14348602294922,124.83245849609376,1155.8980712890625,1233.43310546875,105.07538604736328,120.39543151855467,516.7105712890625,631.9163208007812,375.6643981933594,404.2403869628906,360.4566345214844,318.2274475097656,3505.333740234375,2157.9794921875,905.691162109375,736.609619140625,872.8270263671875,5201.80517578125,7266.0654296875,8496.1220703125,21054.349609375,798.5319213867188,918.2479858398438,1030.316162109375,86166.7421875,87321.8984375,69563.609375,72955.4453125,39823.9609375,225.24786376953125,474.5613403320313,215.91778564453125,21031.783203125,16993.87890625,15133.1630859375,15832.416015625,7398.52978515625,7024.95703125,6596.7412109375,6078.83447265625,12002,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,24.029165267944336,23.199115753173828,987.6427612304688,131651.265625,5.05556583404541,0,8435782,True,BME690,19155,0,0,0,8431274,24484,0,26.654804229736328,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:54.957,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.18,22450161.0,1250.0,1248.22,21470046.0,-0.0,300.0,294.93,000000000DFEC3B8,150.0,149.94,22160332.0,3700.0,3700.43,000000000DFEC3B1,22.61,21.37
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,689.4424438476562,581.3386840820312,5150.19580078125,6636.6416015625,4284.3662109375,4069.3115234375,7076.576171875,6741.47705078125,264.5313720703125,9749.96484375,7820.44580078125,2482.155029296875,1879.2919921875,2006.3077392578125,22769.146484375,15034.6298828125,629.16845703125,1822.4017333984373,7278.4267578125,757.1257934570312,84551.9453125,60347.9375,18945.337890625,17549.90625,111.12308502197266,124.8446273803711,1158.42236328125,1231.6326904296875,105.0410614013672,120.41374206542967,516.9215087890625,631.5167846679688,375.7198791503906,404.2706604003906,360.4045104980469,318.2534484863281,3504.76318359375,2157.76513671875,905.7894897460938,736.5947875976562,871.5635986328125,5195.517578125,7265.79541015625,8496.1494140625,21050.244140625,798.5816650390625,918.2046508789062,1027.226318359375,86168.5859375,87320.8984375,69568.2421875,72953.53125,39753.76953125,225.3332672119141,474.3453979492188,215.859130859375,21031.173828125,16993.70703125,15131.7548828125,15832.470703125,7398.14990234375,7025.203125,6596.80615234375,6079.4287109375,12303,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,24.02883720397949,23.199127197265625,987.6419677734376,131492.78125,5.055474281311035,0,8436222,True,BME690,19156,0,0,0,8436277,24484,0,27.79396247863769,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:55.258,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.63,22450161.0,1250.0,1248.79,21470046.0,-0.0,300.0,294.35,000000000DFEC3B8,150.0,149.97,22160332.0,3700.0,3700.09,000000000DFEC3B1,22.61,21.42
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,689.0067749023438,581.5018920898438,5148.74658203125,6636.2236328125,4285.75390625,4069.11376953125,7076.263671875,6733.9658203125,264.6744689941406,9743.3583984375,7789.3642578125,2482.55517578125,1870.6939697265625,2006.8194580078125,22792.892578125,15003.8515625,628.465576171875,1827.064453125,7276.0,756.5619506835938,84540.9609375,60349.31640625,18949.466796875,17553.982421875,111.15925598144533,124.80511474609376,1158.679443359375,1228.730712890625,105.07991790771484,120.41180419921876,516.8818359375,631.9357299804688,375.6707458496094,404.215576171875,360.3861389160156,318.2044677734375,3505.08447265625,2158.141845703125,905.498291015625,736.6109619140625,872.4456787109375,5192.65478515625,7267.77392578125,8496.15234375,21060.603515625,798.58740234375,917.2095947265624,1029.057373046875,86166.1640625,87318.2109375,69561.1640625,72952.3203125,39700.53125,225.31448364257807,474.1047668457031,215.9220733642578,21030.900390625,16993.392578125,15132.515625,15832.9697265625,7398.365234375,7024.62548828125,6596.388671875,6079.7607421875,12604,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.028181076049805,23.20497131347656,987.5758666992188,130941.0625,5.05656099319458,0,8436662,True,BME690,19157,0,0,0,8436277,24484,0,27.79396247863769,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:55.562,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.68,22450161.0,1250.0,1249.3,21470046.0,-0.0,300.0,294.52,000000000DFEC3B8,150.0,149.87,22160332.0,3700.0,3699.59,000000000DFEC3B1,22.62,21.44
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,689.4181518554688,582.0997924804688,5148.74755859375,6635.70947265625,4284.5068359375,4069.023681640625,7076.04248046875,6732.798828125,264.6829528808594,9750.85546875,7786.66552734375,2482.913330078125,1874.9830322265625,2008.563720703125,22786.126953125,14972.4248046875,628.8185424804688,1827.7132568359373,7299.171875,756.9990844726562,84541.7578125,60346.7109375,18944.337890625,17549.0859375,111.11207580566406,124.81644439697266,1158.6348876953125,1232.755615234375,105.07853698730467,120.44129180908205,516.596923828125,631.6713256835938,375.7013244628906,404.2471618652344,360.4227600097656,318.22283935546875,3504.989501953125,2157.65234375,905.6494140625,736.667724609375,872.2169189453125,5204.94384765625,7266.60888671875,8496.1220703125,21058.60546875,798.5465087890625,917.910888671875,1027.49462890625,86164.7265625,87308.1015625,69564.953125,72947.59375,39826.6953125,225.28114318847656,474.4194030761719,215.9484100341797,21031.322265625,16992.955078125,15133.67578125,15834.1201171875,7397.98486328125,7023.82080078125,6595.9326171875,6079.458984375,12906,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.02850914001465,23.19914054870605,987.5204467773438,130393.953125,5.055383682250977,0,8437103,True,BME690,19158,0,0,0,8436277,24484,0,27.79396247863769,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:55.860,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.73,22450161.0,1250.0,1249.8,21470046.0,-0.0,300.0,294.7,000000000DFEC3B8,150.0,149.77,22160332.0,3700.0,3699.1,000000000DFEC3B1,22.62,21.46
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,689.7853393554688,581.6074829101562,5147.4892578125,6634.53125,4284.70361328125,4069.16162109375,7076.71337890625,6732.14453125,264.72967529296875,9775.607421875,7816.06396484375,2485.42578125,1874.9635009765625,2006.4990234375,22833.93359375,15096.8505859375,628.244384765625,1827.217041015625,7287.49609375,757.071533203125,84526.328125,60346.92578125,18944.06640625,17548.125,111.1277313232422,124.84357452392578,1158.8873291015625,1229.6053466796875,105.01535034179688,120.41038513183594,516.900390625,631.704833984375,375.7291259765625,404.222412109375,360.2555847167969,318.2240295410156,3503.7607421875,2157.79296875,905.7290649414062,736.7416381835938,871.910400390625,5198.20166015625,7266.7451171875,8495.9677734375,21054.33203125,798.5445556640625,917.4328002929688,1024.08251953125,86157.6796875,87293.5234375,69564.921875,72948.8984375,39843.05078125,225.31881713867188,474.6498107910156,216.13067626953125,21032.1015625,16992.572265625,15133.4404296875,15834.025390625,7396.83935546875,7025.3271484375,6596.04248046875,6079.05859375,13206,27.84615135192871,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.02850914001465,23.19914054870605,987.5204467773438,130393.953125,5.055383682250977,0,8437103,True,BME690,19158,0,0,0,8436277,24484,0,27.79396247863769,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:56.159,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1597.95,22450161.0,1250.0,1250.13,21470046.0,-0.0,300.0,295.41,000000000DFEC3B8,150.0,149.72,22160332.0,3700.0,3698.58,000000000DFEC3B1,22.63,21.47
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,b6afc3af-8271-4589-a696-fa14d493c7f0,8ace83d2-b948-4266-8dcc-696a43a086a8,688.754150390625,581.6592407226562,5148.51220703125,6636.10498046875,4284.24169921875,4068.700927734375,7075.740234375,6736.30419921875,264.7608947753906,9715.4853515625,7817.47900390625,2482.654541015625,1870.98828125,2008.008544921875,22879.11328125,15010.4638671875,629.3297119140625,1829.2841796875,7281.13818359375,757.0145874023438,84515.28125,60351.21484375,18946.43359375,17550.5234375,111.15115356445312,124.81626892089844,1158.562255859375,1228.1767578125,105.07523345947266,120.42125701904295,516.7528076171875,631.875244140625,375.7483215332031,404.1794738769531,360.3747253417969,318.1882629394531,3503.5634765625,2157.449462890625,905.6229248046876,736.57373046875,872.75244140625,5194.7822265625,7266.138671875,8495.478515625,21049.8828125,798.7138671875,917.7178344726562,1027.3541259765625,86164.1796875,87298.3046875,69559.25,72946.96875,39836.66796875,225.36691284179688,474.95208740234375,216.12876892089844,21032.17578125,16993.392578125,15132.8095703125,15832.2275390625,7396.76220703125,7025.66552734375,6595.91162109375,6079.19287109375,13508,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,24.02850914001465,23.19914054870605,987.4692993164062,130706.0234375,5.055383682250977,0,8437543,True,BME690,19159,0,0,0,8436277,24484,0,27.79396247863769,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:12:56.463,"{'cid': 'ce5ca599-1cd1-401a-b5d2-87c875d10238', 'uuid': '111af993-5f8f-4abe-a27c-47f934cc4e90', 'annotationId': 'b6afc3af-8271-4589-a696-fa14d493c7f0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773695573136, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:12:53.361Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",1600.0,1598.65,22450161.0,1250.0,1250.02,21470046.0,-0.0,300.0,297.7,000000000DFEC3B8,150.0,149.78,22160332.0,3700.0,3697.96,000000000DFEC3B1,22.62,21.41
